model_name,n_instances,single_exact_match,single_exact_match_ci_low,single_exact_match_ci_high,multi_exact_match,multi_exact_match_ci_low,multi_exact_match_ci_high,delta_exact_match,delta_exact_match_pct,single_similarity,single_similarity_ci_low,single_similarity_ci_high,multi_similarity,multi_similarity_ci_low,multi_similarity_ci_high,delta_similarity,delta_similarity_pct,single_bleu3,single_bleu3_ci_low,single_bleu3_ci_high,multi_bleu3,multi_bleu3_ci_low,multi_bleu3_ci_high,delta_bleu3,delta_bleu3_pct,single_rouge_l,single_rouge_l_ci_low,single_rouge_l_ci_high,multi_rouge_l,multi_rouge_l_ci_low,multi_rouge_l_ci_high,delta_rouge_l,delta_rouge_l_pct
groq:qwen/qwen3-32b,1899,0.0,0.0,0.0,0.11321748288572933,0.0995260663507109,0.12743549236440233,0.11321748288572933,0.0,0.5863066489767239,0.5749330370803375,0.5964955433236183,0.905211701417904,0.8978128216775187,0.9124456325835942,0.31890505244118006,54.392194425521595,0.6152431491407442,0.6029606551413849,0.6261019057618902,0.9109311028657809,0.9035405656176487,0.9180559232621615,0.29568795372503676,48.0603407186245,0.6535384517699807,0.6423068137968422,0.6640026571319434,0.9324234765255095,0.9259678318462183,0.9386977551308455,0.2788850247555288,42.67308587585373
local:meta-llama/Llama-3.1-8B-Instruct,1897,0.0,0.0,0.0,0.11966262519768055,0.10542962572482868,0.13442277279915657,0.11966262519768055,0.0,0.5173434793488665,0.5042034066593575,0.5305887668626017,0.9028773748078056,0.8954753156383597,0.9101204513202874,0.3855338954589391,74.52184300151532,0.4611310246222346,0.44535354330113336,0.4768747150444681,0.9081010327335153,0.9007575176235366,0.9152231045859676,0.4469700081112807,96.92906879936027,0.6151950312354936,0.6028010561568111,0.627484085814543,0.9301373422962006,0.9235564146065642,0.9364278592907401,0.314942311060707,51.1938970684158
openai/gpt-5-nano,1896,0.05168776371308017,0.041666666666666664,0.061708860759493674,0.06962025316455696,0.058544303797468354,0.08069620253164557,0.01793248945147679,34.6938775510204,0.8712600544086163,0.8634363534581342,0.877985106826976,0.8592188063355529,0.850372935720893,0.867478917168528,-0.012041248073063393,-1.382049826815096,0.8930880059780214,0.8852360700931464,0.8998328225829466,0.8651384251248554,0.8559657259490893,0.8736658773103675,-0.02794958085316601,-3.129543859740721,0.9110155602816596,0.904626268007092,0.9167129738989794,0.8970891053409624,0.8891215481325035,0.9043805616342314,-0.01392645494069722,-1.5286736635312312
