model_name,wins,ties,losses,total,win_pct,tie_pct,loss_pct,metric
openai/gpt-5-nano,101,887,47,1035,9.758454106280194,85.70048309178743,4.541062801932367,exact_match
openrouter/meta-llama/llama-3.1-8b-instruct,218,1087,28,1333,16.35408852213053,81.54538634658665,2.100525131282821,exact_match
openai/gpt-5-nano,509,60,466,1035,49.17874396135266,5.797101449275362,45.02415458937198,similarity
openrouter/meta-llama/llama-3.1-8b-instruct,1045,12,276,1333,78.39459864966241,0.900225056264066,20.705176294073517,similarity
openai/gpt-5-nano,418,153,464,1035,40.38647342995169,14.782608695652174,44.830917874396135,bleu3
openrouter/meta-llama/llama-3.1-8b-instruct,890,71,372,1333,66.76669167291823,5.326331582895724,27.906976744186046,bleu3
openai/gpt-5-nano,425,166,444,1035,41.06280193236715,16.03864734299517,42.89855072463768,rouge_l
openrouter/meta-llama/llama-3.1-8b-instruct,969,76,288,1333,72.69317329332333,5.701425356339085,21.605401350337583,rouge_l
