model_name,wins,ties,losses,total,win_pct,tie_pct,loss_pct,metric
groq:qwen/qwen3-32b,215,1684,0,1899,11.321748288572934,88.67825171142707,0.0,exact_match
local:meta-llama/Llama-3.1-8B-Instruct,227,1670,0,1897,11.966262519768055,88.03373748023195,0.0,exact_match
openai/gpt-5-nano,106,1718,72,1896,5.590717299578059,90.61181434599156,3.7974683544303796,exact_match
groq:qwen/qwen3-32b,1815,0,84,1899,95.57661927330174,0.0,4.423380726698262,similarity
local:meta-llama/Llama-3.1-8B-Instruct,1721,0,176,1897,90.72219293621508,0.0,9.277807063784923,similarity
openai/gpt-5-nano,970,14,912,1896,51.16033755274262,0.7383966244725738,48.10126582278481,similarity
groq:qwen/qwen3-32b,1775,0,124,1899,93.47024749868352,0.0,6.529752501316483,bleu3
local:meta-llama/Llama-3.1-8B-Instruct,1680,0,217,1897,88.56088560885608,0.0,11.439114391143912,bleu3
openai/gpt-5-nano,752,96,1048,1896,39.66244725738397,5.063291139240507,55.27426160337553,bleu3
groq:qwen/qwen3-32b,1822,0,77,1899,95.94523433385993,0.0,4.0547656661400735,rouge_l
local:meta-llama/Llama-3.1-8B-Instruct,1704,0,193,1897,89.82604111755403,0.0,10.173958882445968,rouge_l
openai/gpt-5-nano,890,103,903,1896,46.94092827004219,5.432489451476793,47.62658227848101,rouge_l
