model_name,n_scenarios,single_exact_match,single_exact_match_ci_low,single_exact_match_ci_high,multi_exact_match,multi_exact_match_ci_low,multi_exact_match_ci_high,delta_exact_match,delta_exact_match_pct,single_similarity,single_similarity_ci_low,single_similarity_ci_high,multi_similarity,multi_similarity_ci_low,multi_similarity_ci_high,delta_similarity,delta_similarity_pct,single_bleu3,single_bleu3_ci_low,single_bleu3_ci_high,multi_bleu3,multi_bleu3_ci_low,multi_bleu3_ci_high,delta_bleu3,delta_bleu3_pct,single_rouge_l,single_rouge_l_ci_low,single_rouge_l_ci_high,multi_rouge_l,multi_rouge_l_ci_low,multi_rouge_l_ci_high,delta_rouge_l,delta_rouge_l_pct
groq:qwen/qwen3-32b,1888,0.0,0.0,0.0,0.14792176039119803,0.1363080684596577,0.16075794621026895,0.14792176039119803,0.0,0.5694450027613578,0.5609471610878642,0.5783860418220772,0.8960535495347167,0.8897926096902966,0.902369093398175,0.32660854677335893,57.35559100344473,0.5973505297057499,0.5881634386128286,0.6070183947766025,0.9010873794938722,0.8948806430429868,0.9075412952011837,0.3037368497881223,50.84733915574507,0.6378684356610381,0.6292647309194852,0.6468764376903686,0.9252444585865828,0.9196838391749751,0.9308317755114004,0.28737602292554465,45.052554235220946
local:meta-llama/Llama-3.1-8B-Instruct,1888,0.0,0.0,0.0,0.1580073349633252,0.14578239608801957,0.1699342909535452,0.1580073349633252,0.0,0.5368312406834411,0.5263507472419734,0.547554351397669,0.8932836457590357,0.8870040669671013,0.8994534394796762,0.3564524050755946,66.3993408099339,0.48773566562557247,0.47481274950956426,0.5013531709376785,0.897511939653565,0.8907816371628777,0.9039723028256346,0.40977627402799255,84.0160568332462,0.6342630130288676,0.6242580889399222,0.6443058333123574,0.9227649094834791,0.9168488525189015,0.9282056590186455,0.28850189645461155,45.486161186807344
openai/gpt-5-nano,1888,0.06815403422982885,0.059290953545232276,0.07701711491442542,0.11338630806845966,0.10299511002444987,0.12408312958435208,0.04523227383863081,66.3677130044843,0.8640446195485004,0.8571340612516057,0.870398818339886,0.8531892859406226,0.8458095425840734,0.8603646372894757,-0.010855333607877826,-1.2563394716293927,0.8853194978992973,0.8784415770604923,0.8920655790101378,0.8581915525488699,0.8504527271502732,0.8656218494513956,-0.027127945350427396,-3.0641983391077563,0.9052549977881266,0.8992102073884659,0.9106452197615339,0.8920344613424238,0.8854370345316784,0.8985421676346347,-0.013220536445702757,-1.4604212600875364
