model_name,total_instances,count_A,pct_A,count_B,pct_B,count_MIX,pct_MIX
groq:qwen/qwen3-32b,1899,1895,99.78936282253818,4,0.210637177461822,0,0.0
local:meta-llama/Llama-3.1-8B-Instruct,1897,1155,60.88560885608856,742,39.11439114391143,0,0.0
openai/gpt-5-nano,1896,929,48.99789029535865,961,50.68565400843882,6,0.31645569620253167
