model_name,eval_method,n_instances,exact_match,exact_match_ci_low,exact_match_ci_high,similarity,similarity_ci_low,similarity_ci_high,bleu3,bleu3_ci_low,bleu3_ci_high,rouge_l,rouge_l_ci_low,rouge_l_ci_high
Baselines,base_a,1363,0.12252384446074835,0.10564930300807043,0.1401320616287601,0.9119216998273432,0.9031992092521862,0.9200831421036866,0.9179362170595317,0.9097369792252737,0.9257196274329259,0.9365789964127906,0.9288291895011705,0.9437832492155377
Baselines,base_b,1363,0.10931768158473955,0.09244314013206163,0.12545854732208364,0.8950587464003658,0.8859608060876517,0.9037017430848224,0.8979348589758546,0.8888147284612266,0.9070300930945462,0.9234479627493923,0.915219622057237,0.931253456492059
openai/gpt-5-nano,agent,1036,0.0859073359073359,0.0694980694980695,0.10231660231660232,0.894836780155798,0.8855023294563638,0.9042184228617794,0.9166328142538114,0.9077685559489233,0.9250571910897717,0.928365843508029,0.920463450662358,0.9359948507275162
openai/gpt-5-nano,better_judge,1036,0.13416988416988418,0.1138996138996139,0.1554054054054054,0.8963024349324759,0.8869933636378963,0.9056911434122347,0.9133479369241654,0.9045094785923605,0.9223197169474406,0.9288995928696914,0.9215036667049713,0.936368454208122
openrouter/meta-llama/llama-3.1-8b-instruct,agent,1360,0.027205882352941177,0.01911764705882353,0.03676470588235294,0.7666166145543494,0.7532432029779413,0.7797507282802865,0.7871708165638697,0.7719467768688831,0.8014178119463686,0.8167412651696342,0.8038643067484817,0.8292112865149682
openrouter/meta-llama/llama-3.1-8b-instruct,better_judge,1336,0.1317365269461078,0.11302395209580839,0.1504491017964072,0.9169610112113102,0.9084803266729617,0.9246022279660893,0.9235988717203559,0.9159063306325471,0.930873810154061,0.9406884953991054,0.9339704137481692,0.9470512743794506
