model_name,total,count_A,pct_A,count_B,pct_B,count_MIX,pct_MIX
groq:qwen/qwen3-32b,3272,3267,99.84718826405869,5,0.1528117359413203,0,0.0
local:meta-llama/Llama-3.1-8B-Instruct,3272,2116,64.66992665036675,1156,35.33007334963325,0,0.0
openai/gpt-5-nano,3272,1582,48.34963325183374,1681,51.37530562347188,9,0.27506112469437655
