label,display_name,n_with_label,n_without_label,agent_exact_match_with,bypass_exact_match_with,delta_exact_match_with,delta_exact_match_ci_low,delta_exact_match_ci_high,bypass_win_rate_exact_match_with,delta_exact_match_without,bypass_win_rate_exact_match_without,agent_similarity_with,bypass_similarity_with,delta_similarity_with,delta_similarity_ci_low,delta_similarity_ci_high,bypass_win_rate_similarity_with,delta_similarity_without,bypass_win_rate_similarity_without,agent_bleu3_with,bypass_bleu3_with,delta_bleu3_with,delta_bleu3_ci_low,delta_bleu3_ci_high,bypass_win_rate_bleu3_with,delta_bleu3_without,bypass_win_rate_bleu3_without,agent_rouge_l_with,bypass_rouge_l_with,delta_rouge_l_with,delta_rouge_l_ci_low,delta_rouge_l_ci_high,bypass_win_rate_rouge_l_with,delta_rouge_l_without,bypass_win_rate_rouge_l_without
favored simplicity,Favored Simplicity,148,161,0.0,0.07432432432432433,0.07432432432432433,0.033783783783783786,0.11503378378378287,7.4324324324324325,0.024844720496894408,2.484472049689441,0.48952742577251457,0.886676761178352,0.3971493354058377,0.33776228809487696,0.4552200755810687,90.54054054054055,0.46011540136450346,93.16770186335404,0.4342821580633173,0.89634400461177,0.4620618465484525,0.39148090468873975,0.5317366110607651,85.13513513513513,0.5353630048084932,92.54658385093168,0.5819789731737437,0.9246528294888857,0.3426738563151418,0.28915025171786235,0.3968316259904915,89.1891891891892,0.3797539646065158,92.54658385093168
favored complexity,Favored Complexity,153,156,0.0,0.0196078431372549,0.0196078431372549,0.0,0.0457516339869281,1.9607843137254901,0.07692307692307693,7.6923076923076925,0.44997895052005776,0.8996459970656647,0.4496670465456069,0.3929884365340296,0.5050957674028895,90.84967320261438,0.4106257893478921,92.94871794871794,0.38022384940803067,0.902749990548653,0.5225261411406226,0.45329145854556274,0.5900121097992871,88.88888888888889,0.4784108812104047,89.1025641025641,0.5560376858054781,0.9331877187888372,0.3771500329833593,0.325086347129826,0.4291080601216437,89.54248366013071,0.347129256345103,92.3076923076923
feature-oriented,Feature-Oriented,13,296,0.0,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,7.6923076923076925,0.0472972972972973,4.72972972972973,0.3826746473745511,0.8930812459392315,0.5104065985646804,0.2973174267596531,0.6950496679912761,84.61538461538461,0.42642363337300065,92.22972972972973,0.3439811938604485,0.8924828839111314,0.5485016900506829,0.28605209435659484,0.7821614896005143,84.61538461538461,0.49813538882662,89.1891891891892,0.47258283923573213,0.9201977414524148,0.44761490221668276,0.23721360463714916,0.6348007225157942,84.61538461538461,0.3582335314441661,91.21621621621621
fix-oriented,Fix-Oriented,26,283,0.0,0.11538461538461539,0.11538461538461539,0.0,0.23076923076923078,11.538461538461538,0.04240282685512368,4.240282685512367,0.5145595906792015,0.8744278857588815,0.35986829507968005,0.19102661183841524,0.5263902311634561,92.3076923076923,0.4363961328186479,91.87279151943463,0.46197083507062053,0.8878460603379209,0.4258752252673004,0.23310312703882272,0.6145153782099037,92.3076923076923,0.5070877781144474,88.69257950530036,0.6220155329749433,0.902153731318234,0.28013819834329057,0.12303236183307303,0.4301644238546359,88.46153846153847,0.36951422572213594,91.1660777385159
structural-change-bias,Structural Change Bias,115,194,0.0,0.034782608695652174,0.034782608695652174,0.008695652173913044,0.06956521739130435,3.4782608695652173,0.05670103092783505,5.670103092783505,0.4306601543649833,0.9041347822434365,0.4734746278784532,0.4074748472627699,0.5381913689893848,90.43478260869566,0.40416030440065415,92.78350515463917,0.3518081398224831,0.904561194082151,0.552753054259668,0.4706338440559284,0.6336506270775162,89.56521739130434,0.46913399909008546,88.65979381443299,0.5376436894201663,0.9361053391160192,0.398461649695853,0.33850946921671976,0.45784531868864065,89.56521739130434,0.3403764398003451,91.75257731958763
unclear,Unclear,22,287,0.0,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,4.545454545454546,0.04878048780487805,4.878048780487805,0.5626568043198467,0.9248382170074582,0.3621814126876115,0.17877287459078994,0.5380864993759826,90.9090909090909,0.43515223059450026,91.98606271777004,0.516863172151506,0.9189094027358543,0.4020462305843482,0.1981463008953666,0.5939864013749537,86.36363636363636,0.5077825086776402,89.19860627177701,0.6435110081735931,0.9382113745815199,0.2947003664079268,0.11877129025162332,0.46656474520821456,86.36363636363636,0.36715230304988034,91.28919860627178
vague-commit-message,Vague Commit Message,63,246,0.0,0.06349206349206349,0.06349206349206349,0.015873015873015872,0.12698412698412698,6.349206349206349,0.044715447154471545,4.471544715447155,0.45373111002990535,0.8549904077813215,0.40125929775141617,0.29724478756672795,0.5016809075547528,84.12698412698413,0.43730628252605613,93.90243902439025,0.38200261816073666,0.8678830374310904,0.48588041927035386,0.3645706854183737,0.6028174124432663,85.71428571428571,0.5039354904443336,89.83739837398375,0.5402818110842802,0.8991221404948504,0.3588403294105702,0.26184692503124,0.45453056836199796,87.3015873015873,0.36280153773749646,91.869918699187
simple-commit-message,Simple Commit Message,89,220,0.0,0.0449438202247191,0.0449438202247191,0.011235955056179775,0.0898876404494382,4.49438202247191,0.05,5.0,0.4819827486764723,0.8847542713521783,0.40277152267570604,0.33181971456995396,0.4773577101578911,88.76404494382022,0.44095461700732363,93.18181818181819,0.41771909989932693,0.8816214540281769,0.46390235412885006,0.374699088475507,0.5560156166059217,83.14606741573034,0.5149603979357761,91.36363636363636,0.5887049714014002,0.9180575580817496,0.3293525866803493,0.2657148910881883,0.39684343832614705,87.64044943820225,0.37519881282608614,92.27272727272727
detailed-commit-message,Detailed Commit Message,28,281,0.0,0.0,0.0,0.0,0.0,0.0,0.05338078291814947,5.338078291814947,0.4260866382604103,0.9176380077719303,0.49155136951152023,0.37255491685324044,0.6112024714559101,100.0,0.4238193697986707,91.1032028469751,0.3681783482418077,0.9157399640397912,0.5475616157979833,0.40612902932575323,0.6902372298941241,92.85714285714286,0.4955404691138606,88.61209964412811,0.5456916135023641,0.947680260181902,0.40198864667953765,0.29413745768195665,0.5158957474746828,96.42857142857143,0.3580086723461316,90.39145907473309
modification-bias,Modification Bias,73,236,0.0,0.0410958904109589,0.0410958904109589,0.0,0.0958904109589041,4.109589041095891,0.05084745762711865,5.084745762711864,0.4632656513671206,0.9004951725947171,0.43722952122759656,0.3609475370789785,0.5134203524380669,90.41095890410959,0.42770731444972243,92.37288135593221,0.4003952135560181,0.9041032262087567,0.5037080126527385,0.4081542636510882,0.5979703584978445,87.67123287671232,0.4991860683885105,89.40677966101696,0.5728235881283574,0.9361492392224519,0.36332565109409437,0.2913226600426398,0.4348355241491539,89.04109589041096,0.3615819767221235,91.52542372881356
