label,display_name,n_bypass_wins,n_agent_wins,n_ties,count_in_bypass_wins,count_in_agent_wins,count_in_ties,pct_in_bypass_wins,pct_in_agent_wins,pct_in_ties,pct_diff_vs_agent,pct_diff_vs_tie,odds_ratio_vs_agent,odds_ratio_vs_tie,chi2_pval_vs_agent,chi2_pval_vs_tie
favored simplicity,Favored Simplicity,107,0,74,28,0,40,26.168224299065418,0,54.054054054054056,26.168224299065418,-27.885829754988638,,0.3012658227848101,,0.00025994596709042074
structural-change-bias,Structural Change Bias,107,0,74,34,0,35,31.775700934579437,0,47.2972972972973,31.775700934579437,-15.521596362717862,,0.5189823874755382,,0.050220316484682365
vague-commit-message,Vague Commit Message,107,0,74,24,0,27,22.429906542056074,0,36.486486486486484,22.429906542056074,-14.05657994443041,,0.5033467202141901,,0.057614433959852655
modification-bias,Modification Bias,107,0,74,31,0,27,28.971962616822427,0,36.486486486486484,28.971962616822427,-7.514523869664057,,0.7100389863547758,,0.3664835123172355
favored complexity,Favored Complexity,107,0,74,68,0,52,63.55140186915887,0,70.27027027027027,63.55140186915887,-6.718868401111401,,0.73767258382643,,0.43527235868189884
fix-oriented,Fix-Oriented,107,0,74,7,0,2,6.5420560747663545,0,2.7027027027027026,6.5420560747663545,3.839353372063652,,2.52,,0.4119684273980454
unclear,Unclear,107,0,74,14,0,8,13.084112149532709,0,10.81081081081081,13.084112149532709,2.2733013387218985,,1.2419354838709677,,0.8190290139005119
feature-oriented,Feature-Oriented,107,0,74,2,0,3,1.8691588785046727,0,4.054054054054054,1.8691588785046727,-2.1848951755493817,,0.4507936507936508,,0.6741356800460396
refactor-oriented,Refactor-Oriented,107,0,74,2,0,3,1.8691588785046727,0,4.054054054054054,1.8691588785046727,-2.1848951755493817,,0.4507936507936508,,0.6741356800460396
detailed-commit-message,Detailed Commit Message,107,0,74,8,0,7,7.476635514018691,0,9.45945945945946,7.476635514018691,-1.982823945440769,,0.7734487734487735,,0.8403154429995131
simple-commit-message,Simple Commit Message,107,0,74,26,0,17,24.299065420560748,0,22.972972972972975,24.299065420560748,1.3260924475877722,,1.0762527233115469,,0.9772957474298558
test-oriented,Test-Oriented,107,0,74,2,0,1,1.8691588785046727,0,1.3513513513513513,1.8691588785046727,0.5178075271533213,,1.3904761904761904,,1.0
lost information (compression),Lost Information,107,0,74,0,0,0,0.0,0,0.0,0.0,0.0,,,,
misprioritization,Misprioritization,107,0,74,0,0,0,0.0,0,0.0,0.0,0.0,,,,
accurate,Accurate,107,0,74,0,0,0,0.0,0,0.0,0.0,0.0,,,,
