bucket,n,mean_delta,ci_low,ci_high,std_delta,median_delta,win_rate,wins,losses,characteristic,metric,granularity,model
easy,877,-0.009122006841505131,-0.0330672748004561,0.014823261117445839,0.3666965910713981,0.0,0.06271379703534778,55,63,difficulty,exact_match,instance,gpt-5-nano
hard,633,0.03317535545023697,0.017377567140600316,0.05055292259083728,0.2114544440031865,0.0,0.03949447077409163,25,4,difficulty,exact_match,instance,gpt-5-nano
medium,378,0.05291005291005291,0.023809523809523808,0.082010582010582,0.2767049071956165,0.0,0.06613756613756613,25,5,difficulty,exact_match,instance,gpt-5-nano
easy,877,-0.027145457144449946,-0.04006171681646606,-0.01459494208024887,0.18967090619622615,-1.2141079331340343e-05,0.4880273660205245,428,439,difficulty,similarity,instance,gpt-5-nano
hard,633,-0.005629628958716576,-0.020497473519275042,0.00910604371464661,0.1835105624811153,0.00040013305920183484,0.5086887835703001,322,311,difficulty,similarity,instance,gpt-5-nano
medium,378,0.007941159242263438,-0.016842408136757994,0.032496911658994626,0.25548443535699106,0.005583200382712317,0.5767195767195767,218,158,difficulty,similarity,instance,gpt-5-nano
easy,877,-0.03952132754504491,-0.053556078144096735,-0.026292062702090686,0.2034670731563783,-0.003652856940349003,0.3238312428734322,284,514,difficulty,bleu3,instance,gpt-5-nano
hard,633,-0.0233043358573539,-0.03887095540595039,-0.008543094780366972,0.19411857154214154,-0.006332745945956897,0.4312796208530806,273,354,difficulty,bleu3,instance,gpt-5-nano
medium,378,-0.014079410628074034,-0.0410327493710106,0.012265585188693482,0.2726263719576529,9.874070716098249e-05,0.5052910052910053,191,178,difficulty,bleu3,instance,gpt-5-nano
easy,877,-0.025100981720093132,-0.03646321801856284,-0.014248486064665814,0.16643641007776247,0.0,0.4047890535917902,355,436,difficulty,rouge_l,instance,gpt-5-nano
hard,633,-0.006774386927612075,-0.019887692053734418,0.0061687951421383995,0.16702107362311397,9.635916749939355e-05,0.5039494470774092,319,308,difficulty,rouge_l,instance,gpt-5-nano
medium,378,-0.004108905439956952,-0.025953879671109358,0.01818692331554707,0.2247265616641581,0.0028131970481414803,0.5608465608465608,212,156,difficulty,rouge_l,instance,gpt-5-nano
huge,97,-0.020618556701030927,-0.09278350515463918,0.05154639175257732,0.35112136836961655,0.0,0.05154639175257732,5,7,project_size,exact_match,instance,gpt-5-nano
large,600,0.023333333333333334,-4.1666666666593244e-05,0.05,0.3100358402220979,0.0,0.06,36,22,project_size,exact_match,instance,gpt-5-nano
medium,1088,0.022058823529411766,0.004595588235294118,0.04044117647058824,0.2931048739410992,0.0,0.05422794117647059,59,35,project_size,exact_match,instance,gpt-5-nano
small,103,-0.02912621359223301,-0.0970873786407767,0.038834951456310676,0.3540695636662227,0.0,0.04854368932038835,5,8,project_size,exact_match,instance,gpt-5-nano
huge,97,0.03659425943339548,-0.009346846018491008,0.08537716332269375,0.24038348611806482,0.01437727636638364,0.6597938144329897,64,33,project_size,similarity,instance,gpt-5-nano
large,600,0.00922114793152071,-0.004771010651432167,0.023706003943866894,0.1792217881376513,0.0014870520309427926,0.555,333,262,project_size,similarity,instance,gpt-5-nano
medium,1088,-0.027807657153732013,-0.0412863809104434,-0.015437899683841428,0.21390520723781078,-0.00013599737161756886,0.484375,527,555,project_size,similarity,instance,gpt-5-nano
small,103,-0.03102877469578616,-0.06264305554731757,-0.001587776497680626,0.15421353781159988,-0.005761086261443005,0.42718446601941745,44,58,project_size,similarity,instance,gpt-5-nano
huge,97,0.0215472457374588,-0.0285230590312975,0.07431392103515219,0.260554535775203,0.0029511868983047584,0.5463917525773195,53,40,project_size,bleu3,instance,gpt-5-nano
large,600,-0.00792163518660523,-0.02273911856509955,0.00658853731297361,0.18652118024144437,-0.0007254220960488666,0.4266666666666667,256,306,project_size,bleu3,instance,gpt-5-nano
medium,1088,-0.043491924486140074,-0.05737749913423145,-0.029866917228835305,0.22921921716642277,-0.004634091577013,0.3805147058823529,414,628,project_size,bleu3,instance,gpt-5-nano
small,103,-0.046133533551178225,-0.08106454001243836,-0.014074024039469083,0.1723240299220875,-0.014860961347995305,0.24271844660194175,25,72,project_size,bleu3,instance,gpt-5-nano
huge,97,0.025118717938815937,-0.01620693741029291,0.06756428847801592,0.21256145091900827,0.007932696903047098,0.6082474226804123,59,34,project_size,rouge_l,instance,gpt-5-nano
large,600,0.004512543088211686,-0.007428906626630891,0.016420653986813114,0.1513702819389613,0.00011140766378148204,0.505,303,257,project_size,rouge_l,instance,gpt-5-nano
medium,1088,-0.02793584718197359,-0.03953991493741957,-0.016632486642012816,0.19370412542960755,-6.99159115657988e-05,0.44669117647058826,486,550,project_size,rouge_l,instance,gpt-5-nano
small,103,-0.025288872902997472,-0.05132800947137919,-0.0009834127550438774,0.12800905568948753,-0.002567007053374204,0.36893203883495146,38,59,project_size,rouge_l,instance,gpt-5-nano
