bucket,n,mean_delta,ci_low,ci_high,std_delta,median_delta,win_rate,wins,losses,characteristic,metric,granularity,model
easy,877,-0.009122006841505131,-0.0330672748004561,0.014823261117445839,0.3666965910713981,0.0,0.06271379703534778,55,63,difficulty,exact_match,file,gpt-5-nano
hard,633,0.05529225908372828,0.02843601895734597,0.08214849921011058,0.3622484875293883,0.0,0.0947867298578199,60,25,difficulty,exact_match,file,gpt-5-nano
medium,378,0.05291005291005291,0.023809523809523808,0.082010582010582,0.2767049071956165,0.0,0.06613756613756613,25,5,difficulty,exact_match,file,gpt-5-nano
easy,877,-0.027145457144449946,-0.04006171681646606,-0.01459494208024887,0.18967090619622615,-1.2141079331340343e-05,0.4880273660205245,428,439,difficulty,similarity,file,gpt-5-nano
hard,633,-0.006573918067070946,-0.026785754378961,0.014330339304863344,0.2568750963875062,0.0007189779100588156,0.5576619273301737,353,277,difficulty,similarity,file,gpt-5-nano
medium,378,0.007941159242263438,-0.016842408136757994,0.032496911658994626,0.25548443535699106,0.005583200382712317,0.5767195767195767,218,158,difficulty,similarity,file,gpt-5-nano
easy,877,-0.03952132754504491,-0.053556078144096735,-0.026292062702090686,0.2034670731563783,-0.003652856940349003,0.3238312428734322,284,514,difficulty,bleu3,file,gpt-5-nano
hard,633,-0.02695079370810622,-0.04822454160165165,-0.005436161614785687,0.2743964368066469,-0.0002900544663649862,0.4296998420221169,272,322,difficulty,bleu3,file,gpt-5-nano
medium,378,-0.014079410628074034,-0.0410327493710106,0.012265585188693482,0.2726263719576529,9.874070716098249e-05,0.5052910052910053,191,178,difficulty,bleu3,file,gpt-5-nano
easy,877,-0.025100981720093132,-0.03646321801856284,-0.014248486064665814,0.16643641007776247,0.0,0.4047890535917902,355,436,difficulty,rouge_l,file,gpt-5-nano
hard,633,-0.006205521363051973,-0.024301182386333733,0.013152855063345783,0.2345685602265565,0.0,0.4913112164296998,311,278,difficulty,rouge_l,file,gpt-5-nano
medium,378,-0.004108905439956952,-0.025953879671109358,0.01818692331554707,0.2247265616641581,0.0028131970481414803,0.5608465608465608,212,156,difficulty,rouge_l,file,gpt-5-nano
huge,97,-0.030927835051546393,-0.1134020618556701,0.05154639175257732,0.3920237802439493,0.0,0.061855670103092786,6,9,project_size,exact_match,file,gpt-5-nano
large,600,0.041666666666666664,0.011666666666666667,0.07,0.3650532685634919,0.0,0.08833333333333333,53,28,project_size,exact_match,file,gpt-5-nano
medium,1088,0.02665441176470588,0.006433823529411764,0.04779411764705882,0.33790419976056885,0.0,0.07077205882352941,77,48,project_size,exact_match,file,gpt-5-nano
small,103,-0.038834951456310676,-0.10679611650485436,0.02912621359223301,0.33911163488491225,0.0,0.038834951456310676,4,8,project_size,exact_match,file,gpt-5-nano
huge,97,0.0410761225663952,-0.00697862703298465,0.09189589319002656,0.24794457969737227,0.010033444816053616,0.6804123711340206,66,31,project_size,similarity,file,gpt-5-nano
large,600,0.012246186367965995,-0.004639870576964392,0.028528812618263674,0.2049453903250915,0.0015499423177812721,0.57,342,252,project_size,similarity,file,gpt-5-nano
medium,1088,-0.030794664706579575,-0.04538586184684903,-0.016834747943458055,0.23996378160395665,6.083689705782547e-06,0.5018382352941176,546,535,project_size,similarity,file,gpt-5-nano
small,103,-0.0271223142478086,-0.06588751653876217,0.006318115596131289,0.184680734294959,-0.00450270162097266,0.4368932038834951,45,56,project_size,similarity,file,gpt-5-nano
huge,97,0.022199562371872702,-0.029548841866829257,0.07619057401461336,0.2727968421908915,0.0,0.4845360824742268,47,42,project_size,bleu3,file,gpt-5-nano
large,600,-0.00534346660961444,-0.022005764765891625,0.011081678468833464,0.21479648695523781,0.0,0.42833333333333334,257,298,project_size,bleu3,file,gpt-5-nano
medium,1088,-0.04654863443098351,-0.0617827585284119,-0.03142170047440875,0.25698244195878944,-0.0027942912752425553,0.3851102941176471,419,603,project_size,bleu3,file,gpt-5-nano
small,103,-0.05188773995184981,-0.09397350740803882,-0.013666546536147553,0.20936048779989028,-0.02079475522107821,0.23300970873786409,24,71,project_size,bleu3,file,gpt-5-nano
huge,97,0.028414671531811448,-0.013603511809035183,0.07241459920960593,0.21733342178123008,0.0072719408512765815,0.5773195876288659,56,33,project_size,rouge_l,file,gpt-5-nano
large,600,0.007365620541172383,-0.00626259197732817,0.021140332582546547,0.17437515209169566,0.0,0.49666666666666665,298,254,project_size,rouge_l,file,gpt-5-nano
medium,1088,-0.029643142545624473,-0.0429707427761406,-0.016540483904958058,0.2195926583311121,0.0,0.44669117647058826,486,526,project_size,rouge_l,file,gpt-5-nano
small,103,-0.02348231671152444,-0.05486172537421215,0.0037625117152212365,0.1520837539201847,-0.002108814846056406,0.36893203883495146,38,57,project_size,rouge_l,file,gpt-5-nano
Python,1886,0.024390243902439025,0.008483563096500531,0.03923647932131495,0.34988109537618234,0.0,0.07370095440084835,139,93,file_type,exact_match,file,gpt-5-nano
Python,1886,-0.013286648181069534,-0.023749581992710923,-0.0029118022404278545,0.228356802294985,0.00024302423139499485,0.5286320254506893,997,874,file_type,similarity,file,gpt-5-nano
Python,1886,-0.03026433087212954,-0.04137828857027934,-0.018900390529578724,0.24393979018716028,-0.001591986508852672,0.3955461293743372,746,1013,file_type,bleu3,file,gpt-5-nano
Python,1886,-0.014611327150564048,-0.023964195001226894,-0.005247893445222435,0.20387429961228934,0.0,0.46447507953340406,876,870,file_type,rouge_l,file,gpt-5-nano
1000+ tokens,1254,0.05263157894736842,0.03827751196172249,0.06698564593301436,0.25340789812182507,0.0,0.05980861244019139,75,9,conflict_size_bucket,exact_match,file,gpt-5-nano
201-500 tokens,247,-0.08502024291497975,-0.14979757085020243,-0.016194331983805668,0.5293590001192277,0.0,0.10121457489878542,25,46,conflict_size_bucket,exact_match,file,gpt-5-nano
501-1000 tokens,330,0.01818181818181818,-0.030303030303030304,0.06666666666666667,0.43306836569575374,0.0,0.10303030303030303,34,28,conflict_size_bucket,exact_match,file,gpt-5-nano
51-200 tokens,57,-0.07017543859649122,-0.21052631578947367,0.07017543859649122,0.525144896389325,0.0,0.10526315789473684,6,10,conflict_size_bucket,exact_match,file,gpt-5-nano
1000+ tokens,1254,-0.0030859392215711744,-0.01722505422826788,0.010724737588349624,0.25283261788780026,0.0034561339365267174,0.5574162679425837,699,552,conflict_size_bucket,similarity,file,gpt-5-nano
201-500 tokens,247,-0.024646873207628626,-0.04442057620926331,-0.0064916332285855725,0.14767063580735668,0.0,0.47368421052631576,117,123,conflict_size_bucket,similarity,file,gpt-5-nano
501-1000 tokens,330,-0.04629726741241168,-0.06611642041688881,-0.026711318091596558,0.1807267521352881,-0.002354369355048014,0.45151515151515154,149,179,conflict_size_bucket,similarity,file,gpt-5-nano
51-200 tokens,57,0.0047288746257446454,-0.03527762314111784,0.04803487294898099,0.161810779769991,0.0014727540500736325,0.5964912280701754,34,20,conflict_size_bucket,similarity,file,gpt-5-nano
1000+ tokens,1254,-0.02162859432093054,-0.03649585214508103,-0.006837701136773228,0.26744484213604547,-0.0014432099029369483,0.45773524720893144,574,652,conflict_size_bucket,bleu3,file,gpt-5-nano
201-500 tokens,247,-0.038235043683983345,-0.06036515775783124,-0.01859212449827152,0.16131067124511558,-0.0014621693618855902,0.23076923076923078,57,146,conflict_size_bucket,bleu3,file,gpt-5-nano
501-1000 tokens,330,-0.05959824676045095,-0.08183164865172968,-0.0371633090707562,0.20342143107210797,-0.005128723335683705,0.3212121212121212,106,198,conflict_size_bucket,bleu3,file,gpt-5-nano
51-200 tokens,57,-0.014181392847508923,-0.06219896991732505,0.035873873397111046,0.19003129782523215,0.0,0.17543859649122806,10,18,conflict_size_bucket,bleu3,file,gpt-5-nano
1000+ tokens,1254,-0.00843516527978838,-0.021314432709395325,0.003931174922313829,0.22812310830139462,0.001474749402680664,0.5390749601275917,676,545,conflict_size_bucket,rouge_l,file,gpt-5-nano
201-500 tokens,247,-0.01657769257757272,-0.03373171269784785,-0.0008478857635151303,0.12905885429974154,0.0,0.29959514170040485,74,123,conflict_size_bucket,rouge_l,file,gpt-5-nano
501-1000 tokens,330,-0.03771371568199235,-0.054749133503148605,-0.021260822520087878,0.15223654939986206,-0.001864869743226083,0.3515151515151515,116,187,conflict_size_bucket,rouge_l,file,gpt-5-nano
51-200 tokens,57,-0.006612434123942753,-0.04141083382640569,0.032028530380001176,0.14183347942259417,0.0,0.21052631578947367,12,15,conflict_size_bucket,rouge_l,file,gpt-5-nano
Large (5K-10K),500,0.06,0.036,0.084,0.2835489375751565,0.0,0.072,36,6,context_size_bucket,exact_match,file,gpt-5-nano
Medium (1K-5K),756,0.0013227513227513227,-0.0278108465608465,0.03042328042328042,0.40006394536604795,0.0,0.08068783068783068,61,60,context_size_bucket,exact_match,file,gpt-5-nano
Small (<1K),140,-0.08571428571428572,-0.17142857142857143,0.0,0.5276052946462683,0.0,0.1,14,26,context_size_bucket,exact_match,file,gpt-5-nano
Very Large (10K+),492,0.056910569105691054,0.036585365853658534,0.07723577235772358,0.2402848244899455,0.0,0.05894308943089431,29,1,context_size_bucket,exact_match,file,gpt-5-nano
Large (5K-10K),500,-0.014020429304954727,-0.03377955128058086,0.005702725081429192,0.21581001663334778,8.296498126736385e-05,0.514,257,240,context_size_bucket,similarity,file,gpt-5-nano
Medium (1K-5K),756,-0.06667701245226655,-0.08205104084332442,-0.05149485226500132,0.21574031769120802,-0.007283892516239121,0.39814814814814814,301,448,context_size_bucket,similarity,file,gpt-5-nano
Small (<1K),140,-0.06757393950865817,-0.11155097015783824,-0.023048849115623885,0.26359036866017305,0.0,0.4928571428571429,69,67,context_size_bucket,similarity,file,gpt-5-nano
Very Large (10K+),492,0.08518758077040668,0.0661530801910668,0.10349559889019293,0.21535808672369355,0.018037386844357406,0.7560975609756098,372,119,context_size_bucket,similarity,file,gpt-5-nano
Large (5K-10K),500,-0.028884357919480366,-0.04903159749592453,-0.008222262722840278,0.22260751711053983,-0.004215962786550842,0.396,198,285,context_size_bucket,bleu3,file,gpt-5-nano
Medium (1K-5K),756,-0.08724468358971547,-0.10399393451884666,-0.0708572907733233,0.23181238387243286,-0.014831006573663597,0.2552910052910053,193,497,context_size_bucket,bleu3,file,gpt-5-nano
Small (<1K),140,-0.09810860069344718,-0.14738668773056088,-0.04789510750301149,0.2867814333911826,-3.855181325879142e-05,0.20714285714285716,29,70,context_size_bucket,bleu3,file,gpt-5-nano
Very Large (10K+),492,0.07539083325000015,0.05516400960060591,0.09510451682329282,0.23310872039391095,0.008370581378165654,0.6646341463414634,327,162,context_size_bucket,bleu3,file,gpt-5-nano
Large (5K-10K),500,-0.017805727573535025,-0.035399589222547524,-9.331962667106116e-05,0.1899606476587511,0.0,0.486,243,234,context_size_bucket,rouge_l,file,gpt-5-nano
Medium (1K-5K),756,-0.054972831687184934,-0.06932591974390352,-0.041563576416623255,0.19362868794939944,-0.004805820120639515,0.31746031746031744,240,447,context_size_bucket,rouge_l,file,gpt-5-nano
Small (<1K),140,-0.06057339123398935,-0.10021904475008017,-0.020725836537743944,0.2368259343048984,0.0,0.25,35,62,context_size_bucket,rouge_l,file,gpt-5-nano
Very Large (10K+),492,0.0639182460719523,0.046585420214038234,0.08150434826332734,0.19954494547544727,0.010451809407375778,0.7317073170731707,360,127,context_size_bucket,rouge_l,file,gpt-5-nano
