bucket,n,mean_delta,ci_low,ci_high,std_delta,median_delta,win_rate,wins,losses,characteristic,metric,granularity,model
easy,877,0.1516533637400228,0.12770809578107184,0.17559863169897377,0.3586845703488779,0.0,0.1516533637400228,133,0,difficulty,exact_match,instance,all_models
hard,633,0.05529225908372828,0.037914691943127965,0.07424960505529225,0.2285498308228342,0.0,0.05529225908372828,35,0,difficulty,exact_match,instance,all_models
medium,378,0.12169312169312169,0.08994708994708994,0.15343915343915343,0.32693104139207213,0.0,0.12169312169312169,46,0,difficulty,exact_match,instance,all_models
easy,877,0.32989674193652,0.3104089348029185,0.3496852483414695,0.2900809632766489,0.29575638364683365,0.9600912200684151,842,35,difficulty,similarity,instance,all_models
hard,633,0.3225797094187856,0.3067079428051916,0.3371203667255789,0.19965056874105844,0.32435299664915884,0.957345971563981,606,27,difficulty,similarity,instance,all_models
medium,378,0.2872767472744186,0.26005997960770066,0.3138694262790486,0.2701930362848326,0.2350408117611415,0.9444444444444444,357,21,difficulty,similarity,instance,all_models
easy,877,0.3150443258167315,0.2948842863416464,0.33611676152665293,0.30327721886810644,0.2691707319534118,0.9418472063854048,826,51,difficulty,bleu3,instance,all_models
hard,633,0.2972602183197496,0.27989623520206625,0.3134299749716237,0.2151045585619931,0.30292275635705435,0.943127962085308,597,36,difficulty,bleu3,instance,all_models
medium,378,0.2480466400557321,0.21966391310303426,0.27566833846951455,0.28479443620491385,0.18669677874426804,0.9047619047619048,342,36,difficulty,bleu3,instance,all_models
easy,877,0.2883503040396562,0.2697625291709538,0.30772916194290023,0.2819965615692081,0.2374542836515957,0.9646522234891676,846,31,difficulty,rouge_l,instance,all_models
hard,633,0.28387389402708363,0.2684539973848598,0.29848376783305114,0.1950511073855936,0.2826987863998732,0.9605055292259084,608,25,difficulty,rouge_l,instance,all_models
medium,378,0.2483772675083181,0.22209361156321603,0.2736351947307201,0.26272803367746805,0.1840163796079693,0.9470899470899471,358,20,difficulty,rouge_l,instance,all_models
huge,97,0.061855670103092786,0.020618556701030927,0.1134020618556701,0.24089322568140045,0.0,0.061855670103092786,6,0,project_size,exact_match,instance,all_models
large,600,0.09666666666666666,0.07333333333333333,0.12166666666666667,0.29550333707459586,0.0,0.09666666666666666,58,0,project_size,exact_match,instance,all_models
medium,1088,0.1213235294117647,0.1029181985294118,0.140625,0.3265028799610156,0.0,0.1213235294117647,132,0,project_size,exact_match,instance,all_models
small,103,0.17475728155339806,0.10679611650485436,0.2524271844660194,0.3797593634098631,0.0,0.17475728155339806,18,0,project_size,exact_match,instance,all_models
huge,97,0.2821458607155541,0.23062849162258117,0.3304870525233478,0.2580673072814912,0.24746281205887388,0.9381443298969072,91,6,project_size,similarity,instance,all_models
large,600,0.3256416875638206,0.3062973549313631,0.34505651909421337,0.24778505216704083,0.2978334380880638,0.9566666666666667,574,26,project_size,similarity,instance,all_models
medium,1088,0.31207503220391236,0.2960983464606564,0.3281007911596288,0.2705302221981074,0.2958363316360768,0.9549632352941176,1039,49,project_size,similarity,instance,all_models
small,103,0.38652634120962936,0.3489702996244388,0.42398611383422297,0.18463158608413566,0.3818100952676565,0.9805825242718447,101,2,project_size,similarity,instance,all_models
huge,97,0.26940397450508635,0.2155005320111971,0.3207772404789502,0.2739738525268854,0.22075975146864169,0.9278350515463918,90,7,project_size,bleu3,instance,all_models
large,600,0.3095465324026508,0.2881965647858064,0.3296418906465878,0.2690723639442642,0.27615566791097446,0.935,561,39,project_size,bleu3,instance,all_models
medium,1088,0.28529529786996805,0.2688988679359487,0.30193960954498505,0.28192866982332426,0.25937276041504276,0.9310661764705882,1013,75,project_size,bleu3,instance,all_models
small,103,0.34912459055953965,0.30915176813369666,0.3875043175154332,0.19722559373817602,0.3533402839329186,0.9805825242718447,101,2,project_size,bleu3,instance,all_models
huge,97,0.25724319041481686,0.20615000527572488,0.3065484395009681,0.2574005983914247,0.21520404270274762,0.9381443298969072,91,6,project_size,rouge_l,instance,all_models
large,600,0.28590262724836524,0.2673327179827225,0.3041363568599861,0.23987871547725156,0.24797135582472069,0.9616666666666667,577,23,project_size,rouge_l,instance,all_models
medium,1088,0.2717141824634456,0.2559785254725037,0.28720032335271595,0.26372755014465715,0.2418241514159603,0.9577205882352942,1042,46,project_size,rouge_l,instance,all_models
small,103,0.3334252654425393,0.29691030767234616,0.3696483776604339,0.17897539641474675,0.32691453599702713,0.9902912621359223,102,1,project_size,rouge_l,instance,all_models
