bucket,n,mean_delta,ci_low,ci_high,std_delta,median_delta,win_rate,wins,losses,characteristic,metric,granularity,model
easy,877,0.1516533637400228,0.12770809578107184,0.17559863169897377,0.3586845703488779,0.0,0.1516533637400228,133,0,difficulty,exact_match,file,qwen3-32b
hard,633,0.14533965244865718,0.11848341232227488,0.17377567140600317,0.35244295690900207,0.0,0.14533965244865718,92,0,difficulty,exact_match,file,qwen3-32b
medium,378,0.12169312169312169,0.08994708994708994,0.15343915343915343,0.32693104139207213,0.0,0.12169312169312169,46,0,difficulty,exact_match,file,qwen3-32b
easy,877,0.32989674193652,0.3104089348029185,0.3496852483414695,0.2900809632766489,0.29575638364683365,0.9600912200684151,842,35,difficulty,similarity,file,qwen3-32b
hard,633,0.33223144327001425,0.31121891989987593,0.35342209988317386,0.2684301039434012,0.30274593733257016,0.9447077409162717,598,35,difficulty,similarity,file,qwen3-32b
medium,378,0.2872767472744186,0.26005997960770066,0.3138694262790486,0.2701930362848326,0.2350408117611415,0.9444444444444444,357,21,difficulty,similarity,file,qwen3-32b
easy,877,0.3150443258167315,0.2948842863416464,0.33611676152665293,0.30327721886810644,0.2691707319534118,0.9418472063854048,826,51,difficulty,bleu3,file,qwen3-32b
hard,633,0.31348611745598587,0.29135362507476803,0.336222146563009,0.28529250470693807,0.281968512393737,0.9320695102685624,590,43,difficulty,bleu3,file,qwen3-32b
medium,378,0.2480466400557321,0.21966391310303426,0.27566833846951455,0.28479443620491385,0.18669677874426804,0.9047619047619048,342,36,difficulty,bleu3,file,qwen3-32b
easy,877,0.2883503040396562,0.2697625291709538,0.30772916194290023,0.2819965615692081,0.2374542836515957,0.9646522234891676,846,31,difficulty,rouge_l,file,qwen3-32b
hard,633,0.2958561177783534,0.27483718493941,0.3172329571500069,0.2636247156010987,0.25151324059938873,0.95260663507109,603,30,difficulty,rouge_l,file,qwen3-32b
medium,378,0.2483772675083181,0.22209361156321603,0.2736351947307201,0.26272803367746805,0.1840163796079693,0.9470899470899471,358,20,difficulty,rouge_l,file,qwen3-32b
huge,97,0.061855670103092786,0.020618556701030927,0.1134020618556701,0.24089322568140045,0.0,0.061855670103092786,6,0,project_size,exact_match,file,qwen3-32b
large,600,0.14166666666666666,0.115,0.17,0.3487079325484613,0.0,0.14166666666666666,85,0,project_size,exact_match,file,qwen3-32b
medium,1088,0.14705882352941177,0.12683823529411764,0.16819852941176472,0.35416454643506756,0.0,0.14705882352941177,160,0,project_size,exact_match,file,qwen3-32b
small,103,0.1941747572815534,0.1259708737864082,0.2815533980582524,0.3955640541255021,0.0,0.1941747572815534,20,0,project_size,exact_match,file,qwen3-32b
huge,97,0.2953129956702642,0.23997974448131987,0.3476991809355814,0.27995551495811943,0.2405799767921093,0.9381443298969072,91,6,project_size,similarity,file,qwen3-32b
large,600,0.33248332976553807,0.3115015330531073,0.3535856195526807,0.26776054173908886,0.29161838813767954,0.955,573,27,project_size,similarity,file,qwen3-32b
medium,1088,0.3121207685300206,0.295186531453509,0.32923185424950513,0.29047897091032937,0.2712465180853177,0.9485294117647058,1032,56,project_size,similarity,file,qwen3-32b
small,103,0.39310487512598546,0.34930609084081166,0.4355890873163752,0.20656165972961207,0.3818100952676565,0.9805825242718447,101,2,project_size,similarity,file,qwen3-32b
huge,97,0.2894842755135444,0.23000044247481283,0.34569294764479536,0.3040759231148183,0.22870264229014037,0.9175257731958762,89,8,project_size,bleu3,file,qwen3-32b
large,600,0.3188532705112873,0.29589005638566135,0.34124647864538543,0.2900907224615937,0.26729879168474135,0.9316666666666666,559,41,project_size,bleu3,file,qwen3-32b
medium,1088,0.2869877233336768,0.2696400881775477,0.30474297710790443,0.30147200292853876,0.24044885515457276,0.9273897058823529,1009,79,project_size,bleu3,file,qwen3-32b
small,103,0.3578411263432311,0.3134412836936938,0.40186034634053236,0.2221056966330223,0.3533402839329186,0.9805825242718447,101,2,project_size,bleu3,file,qwen3-32b
huge,97,0.2745228731069984,0.21813245803849204,0.3287623719016833,0.29000286514685686,0.20674729166435935,0.9381443298969072,91,6,project_size,rouge_l,file,qwen3-32b
large,600,0.2940047292721005,0.2737860637156229,0.3144587364839603,0.26004945298523824,0.22981480042401448,0.9633333333333334,578,22,project_size,rouge_l,file,qwen3-32b
medium,1088,0.27211764062107613,0.2556728691670681,0.2886344136046016,0.28266564250849824,0.216402953355689,0.9522058823529411,1036,52,project_size,rouge_l,file,qwen3-32b
small,103,0.3393320103325295,0.296977083125176,0.3802778003317229,0.2021266476898077,0.3202049985959001,0.9902912621359223,102,1,project_size,rouge_l,file,qwen3-32b
Python,1886,0.14316012725344646,0.1283138918345705,0.15906680805938495,0.35023607069835555,0.0,0.14316012725344646,270,0,file_type,exact_match,file,qwen3-32b
Python,1886,0.3222353378010365,0.3096978662259331,0.33540665881960835,0.2797029608001664,0.2847280797821848,0.9517497348886532,1795,91,file_type,similarity,file,qwen3-32b
Python,1886,0.3013752972156238,0.28802279952703264,0.31541235417690877,0.2948796771683862,0.2551317398119167,0.9316012725344645,1757,129,file_type,bleu3,file,qwen3-32b
Python,1886,0.282974510016006,0.2706277267409391,0.295713451306735,0.27282113186692963,0.22900245517959056,0.957051961823966,1805,81,file_type,rouge_l,file,qwen3-32b
1-50 tokens,42,0.2619047619047619,0.14285714285714285,0.40476190476190477,0.4396710788718902,0.0,0.2619047619047619,11,0,conflict_size_bucket,exact_match,file,qwen3-32b
1000+ tokens,652,0.14263803680981596,0.11652607361963196,0.17177914110429449,0.34970334179824125,0.0,0.14263803680981596,93,0,conflict_size_bucket,exact_match,file,qwen3-32b
