model_label,model_dir,benchmark_total,scenario_dirs_present,agent_dirs_present,complete_ok_scenarios,gap_scenarios,needs_reprocess,files_checked,files_ok,files_missing,files_empty,files_invalid,ok_output_bytes_total,ok_output_bytes_avg,results_csv_agent_unique_ids,gap_csv,reprocess_csv,category_breakdown,issue_breakdown
gpt-5-nano,openai_gpt-5-nano,1909,1898,1898,1865,44,42,3496,3442,1106,54,0,78172090,22711.2,1896,data\agent_coverage_gaps\gpt-5-nano_agent_missing_or_failed.csv,data\agent_coverage_gaps\gpt-5-nano_agent_needs_reprocess.csv,"{""complete_ok"": 1865, ""empty_output"": 31, ""not_processed"": 11, ""missing_results"": 2}","{""empty_file"": 31, ""missing_scenario_dir"": 11, ""missing_from_results_csv"": 13}"
llama-3.1-8b,llama-3.1-8b,1909,1842,1795,1788,121,114,3215,3215,1387,0,0,39046601,12145.1,1897,data\agent_coverage_gaps\llama-3.1-8b_agent_missing_or_failed.csv,data\agent_coverage_gaps\llama-3.1-8b_agent_needs_reprocess.csv,"{""complete_ok"": 1788, ""not_processed"": 114, ""missing_results"": 7}","{""missing_agent_dir"": 47, ""missing_scenario_dir"": 67, ""missing_from_results_csv"": 12}"
qwen3-32b,groq_qwen_qwen3-32b,1909,1905,1905,1899,10,4,3517,3517,1085,0,0,107593865,30592.5,1899,data\agent_coverage_gaps\qwen3-32b_agent_missing_or_failed.csv,data\agent_coverage_gaps\qwen3-32b_agent_needs_reprocess.csv,"{""complete_ok"": 1899, ""missing_results"": 6, ""not_processed"": 4}","{""missing_from_results_csv"": 10, ""missing_scenario_dir"": 4}"
