scope,raw_model_dir,rows,parse_ok_rows,parse_ok_pct,selected_parent_A,selected_parent_B,favored_simplicity,favored_complexity,tie_ambiguous,unparseable,mix_or_missing_selection,mean_selected_minus_rejected_changes
all,groq_qwen_qwen3-32b,1899,1880,98.99947340705634,1895,4,699,722,470,8,0,0.17904160084254872
all,llama-3.1-8b,1830,1064,58.142076502732245,1107,722,400,457,206,766,1,3.169491525423729
all,openai_gpt-5-nano,1896,1896,100.0,929,961,928,373,589,0,6,-3.008994708994709
failures_only,groq_qwen_qwen3-32b,1684,1666,98.93111638954869,1681,3,669,594,413,8,0,-0.06828978622327792
failures_only,llama-3.1-8b,1604,903,56.29675810473815,973,631,364,369,170,701,0,1.5112219451371571
failures_only,openai_gpt-5-nano,1764,1764,100.0,862,897,905,336,518,0,5,-3.2802728823194998
