scope,grain,rows,parse_ok_rows,parse_ok_pct,selected_parent_A,selected_parent_B,selected_parent_missing_or_other,favored_simplicity,favored_complexity,tie_ambiguous,unparseable,mix_or_missing_selection,mean_a_total_changes,mean_b_total_changes,mean_selected_minus_rejected_changes
all,file_level,9866,8131,82.41435232110278,7072,2782,12,3628,2905,1586,1735,12,7.712852219744577,6.115852422460977,0.045666734321087886
failures_only,file_level,9106,7487,82.22051394684823,6538,2560,8,3503,2572,1404,1619,8,7.66857017351197,6.314847353393367,-0.38041327764343813
all,instance_level,5625,4840,86.04444444444445,3931,1687,7,2027,1552,1265,774,7,13.528,10.726933333333333,0.0800996796012816
failures_only,instance_level,5052,4333,85.7680126682502,3516,1531,5,1938,1299,1101,709,5,13.822248614410135,11.382224861441014,-0.6857539132157717
