scope,grain,change_type,selected_parent_count,rejected_parent_count,selected_minus_rejected
all,file_level,addition,25602,18827,6775
all,file_level,additional,1,0,1
all,file_level,analysis,1,3,-2
all,file_level,assertion,0,1,-1
all,file_level,boolean,0,1,-1
all,file_level,change,0,5,-5
all,file_level,class rename,0,3,-3
all,file_level,cleanup,0,1,-1
all,file_level,comment,0,2,-2
all,file_level,commentary,0,1,-1
all,file_level,commit message,0,1,-1
all,file_level,dataclass,0,2,-2
all,file_level,deprecation,0,7,-7
all,file_level,documentation,2,4,-2
all,file_level,documentation change,0,1,-1
all,file_level,exception,1,0,1
all,file_level,fix,3,0,3
all,file_level,formatting,0,1,-1
all,file_level,function,1,0,1
all,file_level,import,4,5,-1
all,file_level,import change,1,4,-3
all,file_level,informational,0,1,-1
all,file_level,intent,2,5,-3
all,file_level,intent change,0,1,-1
all,file_level,intention,2,1,1
all,file_level,json object,1,2,-1
all,file_level,likely intent,44,75,-31
all,file_level,likely intent change,0,1,-1
all,file_level,logic,0,2,-2
all,file_level,metaclass introduction,0,1,-1
all,file_level,minor,0,1,-1
all,file_level,misc,0,1,-1
all,file_level,modification,38163,44331,-6168
all,file_level,move,1,0,1
all,file_level,movement,0,1,-1
all,file_level,note,2,5,-3
all,file_level,object,0,1,-1
all,file_level,overall,0,2,-2
all,file_level,patch,1,0,1
all,file_level,refactor,8,13,-5
all,file_level,reformatting,1,3,-2
all,file_level,relocation,0,6,-6
all,file_level,removal,2633,2714,-81
all,file_level,removal/addition,0,1,-1
all,file_level,renaming,2,8,-6
all,file_level,reorder imports,0,1,-1
all,file_level,reordering,1,6,-5
all,file_level,reorganization,1,0,1
all,file_level,replacement,9,5,4
all,file_level,reposition,1,0,1
all,file_level,risk,1,3,-2
all,file_level,summary,2,1,1
all,file_level,summary change,0,1,-1
all,file_level,unknown,1896,1875,21
all,instance_level,addition,25602,18827,6775
all,instance_level,additional,1,0,1
all,instance_level,analysis,1,3,-2
all,instance_level,assertion,0,1,-1
all,instance_level,boolean,0,1,-1
