method,count,min,q1,median,q3,max,mean,std
base_a,160,0.0,0.9174265658599567,0.9728739023528282,0.996255803042586,1.0,0.8983632487972993,0.19165727343432748
base_b,160,0.0,0.8377054745413018,0.9433427290626966,0.9910872682360237,1.0,0.8436727694594703,0.2461909429892974
agent,160,1.446612890895096e-12,0.01766701041769315,0.06607264843320795,0.17499297015759713,0.6715815522865762,0.13487939452119235,0.16974015848120474
agent2,160,2.1353559619089528e-11,0.0136582885503818,0.06440919975317795,0.16379886407727454,0.7097479349053653,0.11916214183468288,0.15344944517821152
agent3,160,1.4815019306579715e-11,0.01171973825808205,0.06172643668852125,0.1663999285002634,0.7094954943745805,0.11757113316412267,0.14755459421637274
bypass7,160,0.0,0.9174265658599567,0.9728739023528282,0.996255803042586,1.0,0.8983632487972993,0.19165727343432748
new_bypass2,160,0.0,0.9174265658599567,0.9728739023528282,0.996255803042586,1.0,0.8983632487972993,0.19165727343432748
new_bypass3,160,0.0,0.914518580877201,0.9726311734731206,0.9959535222776148,1.0,0.8921141540373313,0.20421620205344573
