method,count,min,q1,median,q3,max,mean,std
agent,8215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bypass7,8172,0.0,829.0,1835.0,3813.0,42598.0,2925.765907978463,3533.224192416693
prep,4913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
