id,cost_in_sum,cost_out_sum,total_cost_sum
1901014769,0.001107,0.0011250000000000001,0.002231
2510997472,0.000637,0.00042199999999999996,0.001058
3709820630,0.003581,0.003998,0.007579
3899255244,0.002019,0.002213,0.004232
6071416828,0.011899,0.014127,0.026026
7298671509,0.0034490000000000002,0.0031450000000000002,0.006594
8140095546,0.013308,0.013816,0.027123
8974464056,0.0073560000000000006,0.006993,0.014348999999999999
10207431471,0.0058839999999999995,0.006474000000000001,0.012358000000000001
11438433338,0.002792,0.003349,0.006143
12828381473,0.006916,0.004246,0.01116
12864134869,0.005742000000000001,0.007001,0.012742
14158171568,0.002622,0.002768,0.005392
16562017823,0.001959,0.0019199999999999998,0.0038799999999999998
19783913974,0.004371,0.004842,0.009212
20482376356,0.0030180000000000003,0.003264,0.006283
20859755239,0.017214,0.013399000000000001,0.030612999999999998
21334108689,0.011696999999999999,0.018285000000000003,0.029981
22149134009,0.017751000000000003,0.014556,0.032307
23753046646,0.0023049999999999998,0.0025930000000000003,0.004899
26975351127,0.001173,0.0011380000000000001,0.002311
28321070520,0.0034549999999999997,0.00406,0.007514
28690072330,0.004267,0.004958,0.009226
29566166413,0.004349,0.005512,0.009861
30611300394,0.012256,0.00737,0.019627
30933312852,0.0015010000000000002,0.001502,0.003001
30957423774,0.001795,0.002035,0.0038290000000000004
31864090947,0.042915,0.009173,0.052087999999999995
32574389141,0.007339,0.005941,0.013279
35322286797,0.0015970000000000001,0.001707,0.003303
35728284305,0.005207,0.0060090000000000005,0.011216
36752065807,0.001438,0.001299,0.002737
38498255403,0.001453,0.001342,0.002795
39004246619,0.006887,0.008558000000000001,0.015445
39252648541,0.001902,0.001815,0.003717
39854044732,0.001569,0.001538,0.0031070000000000004
41684163594,0.000774,0.0006590000000000001,0.0014349999999999999
41700086540,0.001769,0.001746,0.003515
41975160306,0.002208,0.002299,0.004506
43632885526,0.000462,0.00022600000000000002,0.000688
43899278353,0.0047539999999999995,0.005081,0.009837
44828067435,0.005127,0.005662,0.010789
46729092872,0.001169,0.001228,0.002397
46737344826,0.006735,0.009436,0.016172
48912792693,0.016184999999999998,0.010916,0.027101
50190027241,0.000658,0.000624,0.0012820000000000002
52724303321,0.0035,0.002915,0.006415
53262009131,0.005830999999999999,0.007328,0.013161
55176359063,0.011336,0.015459,0.026794
55340981375,0.00143,0.0015090000000000001,0.002937
55603358630,0.000621,0.000475,0.001093
56378017612,0.043831999999999996,0.02364,0.067472
58416694819,0.004108,0.005000999999999999,0.009109
59531510036,0.021179,0.002652,0.023829999999999997
61099349795,0.0022459999999999997,0.002546,0.004791
62025071559,0.0013570000000000001,0.001186,0.002542
62778116554,0.011107,0.005991,0.017099
63277343367,0.0065509999999999995,0.007628,0.014176000000000001
63851400535,0.0029909999999999997,0.002439,0.00543
67559642536,0.002382,0.0025180000000000003,0.004901
67960875554,0.001774,0.001752,0.003526
69674365696,0.002007,0.0017609999999999998,0.0037689999999999998
70375113608,0.003431,0.004157,0.007587
71879655753,0.013393,0.008522,0.021914
72390215442,0.011168999999999998,0.013491,0.024659999999999998
73620852393,0.006435000000000001,0.007189,0.013622
75500747437,0.0041259999999999995,0.0048389999999999996,0.008964
75603000766,0.006581,0.013675,0.020255
76361040706,0.005144,0.00493,0.010075
77602771846,0.002711,0.002572,0.005283
77861551304,0.0048579999999999995,0.005409,0.010266
78281007634,0.002747,0.002896,0.005643
80059226743,0.000956,0.000928,0.001884
80891782512,0.00385,0.002622,0.00647
81310104624,0.005489000000000001,0.008335,0.013825
81469251635,0.021179,0.009077,0.030255
81913959204,0.004136,0.005216,0.009353
