sample_id,gt_sloc,agent_sloc,bypass_sloc,agent_diff_sloc,bypass_diff_sloc,gt_lloc,agent_lloc,bypass_lloc,agent_diff_lloc,bypass_diff_lloc,gt_cc_total,agent_cc_total,bypass_cc_total,agent_diff_cc_total,bypass_diff_cc_total,gt_cc_avg,agent_cc_avg,bypass_cc_avg,agent_diff_cc_avg,bypass_diff_cc_avg,gt_cc_max,agent_cc_max,bypass_cc_max,agent_diff_cc_max,bypass_diff_cc_max,gt_mi_score,agent_mi_score,bypass_mi_score,agent_diff_mi_score,bypass_diff_mi_score,gt_h_difficulty,agent_h_difficulty,bypass_h_difficulty,agent_diff_h_difficulty,bypass_diff_h_difficulty,gt_h_bugs,agent_h_bugs,bypass_h_bugs,agent_diff_h_bugs,bypass_diff_h_bugs
103656426411,219,195.0,194.0,-24.0,-25.0,7,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106151546310,761,791.0,578.0,30.0,-183.0,568,602.0,444.0,34.0,-124.0,198.0,202.0,160.0,4.0,-38.0,5.076923076923077,5.315789473684211,5.517241379310345,0.23886639676113397,0.44031830238726855,20.0,19.0,20.0,-1.0,0.0,10.570789262580382,9.272905885792706,19.587921017248068,-1.2978833767876754,9.017131754667686,8.633333333333333,8.615384615384615,6.838709677419355,-0.017948717948717885,-1.7946236559139779,0.5370227784747906,0.5204733021137713,0.3692835034716367,-0.016549476361019333,-0.16773927500315394
107501480065,213,221.0,218.0,8.0,5.0,154,163.0,159.0,9.0,5.0,47.0,48.0,48.0,1.0,1.0,3.9166666666666665,4.0,4.0,0.08333333333333348,0.08333333333333348,9.0,9.0,9.0,0.0,0.0,51.01953183610559,50.43478611943739,51.76119041625606,-0.584745716668202,0.7416585801504709,2.0,2.0,2.0,0.0,0.0,0.0473779458407852,0.0510824180875219,0.0532716501389323,0.003704472246736694,0.005893704298147097
115058474542,275,275.0,,0.0,,166,166.0,,0.0,,61.0,61.0,,0.0,,4.6923076923076925,4.6923076923076925,,0.0,,10.0,10.0,,0.0,,48.074049042568646,48.074049042568646,,0.0,,5.2682926829268295,5.2682926829268295,,0.0,,0.1609550155313026,0.1609550155313026,,0.0,
118214162527,217,217.0,207.0,0.0,-10.0,241,241.0,238.0,0.0,-3.0,23.0,23.0,23.0,0.0,0.0,1.0454545454545454,1.0454545454545454,1.0454545454545454,0.0,0.0,2.0,2.0,2.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125568505545,844,645.0,844.0,-199.0,0.0,561,430.0,561.0,-131.0,0.0,260.0,0.0,260.0,-260.0,0.0,4.126984126984127,0.0,4.126984126984127,-4.126984126984127,0.0,16.0,0.0,16.0,-16.0,0.0,3.4470633219841016,0.0,3.4470633219841016,-3.4470633219841016,0.0,10.945273631840797,0.0,10.945273631840797,-10.945273631840797,0.0,1.0840299887980789,0.0,1.0840299887980789,-1.0840299887980789,0.0
126658010330,179,177.0,176.0,-2.0,-3.0,41,41.0,41.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,2.0,2.0,2.0,0.0,0.0,77.49085510675432,77.43211482906538,77.47282283866109,-0.05874027768894052,-0.018032268093236326,2.1818181818181817,2.1818181818181817,2.1818181818181817,0.0,0.0,0.0234413435736511,0.0234413435736511,0.0234413435736511,0.0,0.0
127442621803,1679,0.0,1679.0,-1679.0,0.0,1062,0.0,1062.0,-1062.0,0.0,208.0,0.0,208.0,-208.0,0.0,3.5254237288135597,0.0,3.5254237288135597,-3.5254237288135597,0.0,25.0,0.0,25.0,-25.0,0.0,3.254969266585042,0.0,3.254969266585042,-3.254969266585042,0.0,7.576158940397351,0.0,7.576158940397351,-7.576158940397351,0.0,0.6572746457458822,0.0,0.6572746457458822,-0.6572746457458822,0.0
134296232550,402,404.0,410.0,2.0,8.0,379,379.0,387.0,0.0,8.0,146.0,146.0,152.0,0.0,6.0,5.84,5.84,6.08,0.0,0.2400000000000002,24.0,24.0,30.0,0.0,6.0,30.71435079547192,30.419051133725013,29.50181527128732,-0.29529966174690614,-1.2125355241845988,8.003731343283581,8.003731343283581,8.172794117647058,0.0,0.16906277436347672,0.5999726954030303,0.5999726954030303,0.6256612717733874,0.0,0.02568857637035704
135757895111,813,863.0,824.0,50.0,11.0,723,768.0,736.0,45.0,13.0,142.0,158.0,147.0,16.0,5.0,4.733333333333333,5.266666666666667,4.9,0.5333333333333332,0.16666666666666696,16.0,18.0,16.0,2.0,0.0,22.545205931707912,19.652723025340592,21.7845409825145,-2.89248290636732,-0.7606649491934121,8.337078651685394,8.985849056603774,8.828125,0.6487704049183804,0.49104634831460636,0.3744440295222602,0.4612575491516397,0.405400146692223,0.0868135196293795,0.030956117169962827
