proxy,n_mix,n_nonmix,mix_positive,nonmix_positive,mix_prevalence,nonmix_prevalence,prevalence_diff,prevalence_diff_ci_low,prevalence_diff_ci_high,corrected_odds_ratio,fisher_exact_p
fm3_ambiguity_incompleteness,3,1075,1,109,0.3333333333333333,0.1013953488372093,0.23193798449612402,-0.11255813953488372,0.8976744186046511,5.295890410958904,0.2761772611416914
fm3_simplicity_complexity_tension,3,1075,1,228,0.3333333333333333,0.21209302325581394,0.12124031007751937,-0.23069767441860464,0.7842093023255813,2.225382932166302,0.5118646976243977
fm3_role_tension,3,1075,2,529,0.6666666666666666,0.49209302325581394,0.17457364341085269,-0.49397674418604653,0.5302325581395348,1.7201762669184766,0.6191543413250757
fm3_narrow_proxy,3,1075,1,109,0.3333333333333333,0.1013953488372093,0.23193798449612402,-0.11255813953488372,0.8976744186046511,5.295890410958904,0.2761772611416914
fm3_medium_proxy,3,1075,2,306,0.6666666666666666,0.2846511627906977,0.38201550387596894,-0.2772093023255814,0.7321162790697673,4.184339314845024,0.1980067958881474
fm3_broad_proxy,3,1075,3,677,1.0,0.6297674418604651,0.37023255813953493,0.34139534883720934,0.4,4.117343173431735,0.30067544870569135
