method,n_samples,sloc_mean,sloc_std,sloc_median,lloc_mean,lloc_std,lloc_median,cc_total_mean,cc_total_std,cc_total_median,cc_avg_mean,cc_avg_std,cc_avg_median,cc_max_mean,cc_max_std,cc_max_median,mi_score_mean,mi_score_std,mi_score_median,h_difficulty_mean,h_difficulty_std,h_difficulty_median,h_bugs_mean,h_bugs_std,h_bugs_median
a_only,1086,439.33793738489874,659.3592735312717,236.5,296.3839779005525,513.2646058816931,167.0,90.41436464088397,180.87710912253883,44.0,4.1140639399143755,4.079605205060356,3.366341991341992,15.19244935543278,19.36238878902209,10.0,49.388798117160505,27.77532401799036,49.17313171196773,5.776015619809936,4.431299948592498,5.265704584040748,0.4653715476270579,1.2237651305148205,0.1299313130206662
b_only,1086,438.3729281767956,667.4090779920937,229.5,296.0828729281768,520.7521753663535,155.0,90.43462246777163,184.67549034905468,42.0,4.12655798348108,4.193172960644356,3.2633402633402633,15.074585635359115,19.091121746813254,10.0,50.07236174153693,28.08885169708079,50.27112042796097,5.667779200009042,4.409205961337273,5.102272727272727,0.46969345373344457,1.2584319746839856,0.1307242996266826
ground_truth,1100,443.9809090909091,665.6646685491028,234.5,299.2009090909091,517.8349083982855,166.0,90.30818181818182,183.29810474040036,43.0,4.028944804564061,4.145932574606622,3.333333333333333,14.956363636363637,19.26983587298877,10.0,48.380838890587476,28.443069688139314,48.4444146899558,5.673664680986571,4.498124691164456,5.067193675889328,0.4672016540186,1.2439640326666437,0.1291383264146498
agent,1094,365.709323583181,516.6981450222571,198.5,247.10420475319927,378.29248974260855,142.5,56.159049360146255,115.15760442426276,26.0,3.2208442815569893,4.164211469278179,2.6,10.839122486288849,15.273945116185528,6.5,41.157942983872935,31.70153152263736,43.27764248713332,4.294275898509445,4.371438286739852,3.333333333333333,0.27027532107654584,0.7442667852635382,0.059759805724640847
bypass,1087,437.85648574057035,661.557034962278,233.0,295.2953081876725,515.4266288873521,164.0,90.03495860165593,181.67760963098223,44.0,4.0997903462107095,4.0905326495443255,3.3421052631578947,15.031278748850045,19.248662064493114,10.0,49.859946863786185,27.91822873980931,49.60299396916966,5.74160133231313,4.440713375676727,5.241379310344827,0.4658836369105552,1.2357297903882956,0.1307242996266826
