label,display_name,n_with_label,n_without_label,sloc_with,sloc_without,sloc_diff,sloc_pval,lloc_with,lloc_without,lloc_diff,lloc_pval,cc_total_with,cc_total_without,cc_total_diff,cc_total_pval,cc_avg_with,cc_avg_without,cc_avg_diff,cc_avg_pval,mi_score_with,mi_score_without,mi_score_diff,mi_score_pval
favored simplicity,Favored Simplicity,781,821,450.45198463508325,394.5602923264312,55.89169230865207,0.10222048184015187,305.49423815621,269.1230207064555,36.371217449754454,0.18996594201087785,93.28553137003841,79.07308160779537,14.21244976224304,0.14388567253647602,3.9926291774329834,3.9419965849640977,0.05063259246888574,0.8048328757365742,47.97273147130834,51.222046886008705,-3.2493154147003622,0.020452526375557174
favored complexity,Favored Complexity,849,753,399.40989399293284,447.062416998672,-47.65252300573917,0.17396872992761922,266.40164899882217,309.91500664010624,-43.513357641284074,0.13161106430087283,78.77031802120142,94.15537848605578,-15.385060464854362,0.12764378745373642,3.9668728100830473,3.9664642338249365,0.0004085762581107488,0.9984206008959611,48.80128697563312,50.581289681530464,-1.7800027058973455,0.20793732461763184
misprioritization,Misprioritization,28,1574,418.92857142857144,421.85959339263025,-2.9310219640588002,0.97067078286843,300.10714285714283,286.6188055908513,13.488337266291524,0.8044715512280727,90.89285714285714,85.9148665819568,4.977990560900338,0.7714140599304673,3.9113745147481387,3.9676646108117763,-0.05629009606363766,0.8871584690808482,42.52555405071943,49.764477928262274,-7.238923877542845,0.224562242784977
feature-oriented,Feature-Oriented,87,1515,610.0344827586207,410.9993399339934,199.03514282462731,0.025085613464529723,343.1609195402299,283.6211221122112,59.53979742801869,0.20975067016180315,113.0,84.45148514851485,28.54851485148515,0.10835228638316792,5.648467729732292,3.870102898576881,1.7783648311554106,0.0005228260030855043,43.988666640837124,49.96236948828523,-5.973702847448109,0.07053612288620159
fix-oriented,Fix-Oriented,124,1478,364.88709677419354,426.58389715832203,-61.696800384128494,0.15935898308055493,250.8709677419355,289.87347767253044,-39.002509930594954,0.19562179628191978,74.48387096774194,86.96820027063599,-12.484329302894054,0.23969006692306322,3.466147453081316,4.008674086365765,-0.5425266332844494,0.03149795103998846,50.284694947449395,49.58369526320787,0.7009996842415234,0.7767436203868746
structural-change-bias,Structural Change Bias,555,1047,468.6666666666667,396.9694364851958,71.6972301814709,0.058141617060477754,322.67207207207207,267.86819484240687,54.803877229665204,0.07929714857445795,98.49549549549549,79.37917860553964,19.116316889955854,0.07939806618073636,3.9554196649894506,3.9726501143854254,-0.017230449395974734,0.9321921692739064,47.85446526743164,50.58335773551136,-2.728892468079721,0.06488503194376272
unclear,Unclear,170,1432,446.8529411764706,418.83519553072625,28.017745645744355,0.7365065157879443,331.06470588235294,281.60614525139664,49.4585606309563,0.5313053652928784,95.79411764705883,84.83938547486034,10.95473217219849,0.6869300516813317,3.604003599418439,4.009736013917283,-0.4057324144988437,0.1727445566146355,56.265294201502854,48.851189775313884,7.41410442618897,0.002514204197242064
vague-commit-message,Vague Commit Message,309,1293,459.0873786407767,412.8994586233565,46.1879200174202,0.25695458337384147,311.72168284789643,280.91183294663574,30.80984990126069,0.28272236826080205,95.3883495145631,83.75870069605568,11.62964881850742,0.2616528563672773,4.288453522461704,3.8897837938051185,0.39866972865658523,0.16981030557390972,47.87740490257806,50.05868960371874,-2.181284701140683,0.22221887886194708
simple-commit-message,Simple Commit Message,364,1238,359.8543956043956,440.0242326332795,-80.16983702888388,0.016057792079182096,246.0879120879121,298.84087237479804,-52.75296028688595,0.03795333882420098,73.28021978021978,89.74232633279483,-16.46210655257505,0.06921659270315453,3.8207998814253656,4.009573042804403,-0.18877316137903755,0.4409672487088383,50.9308705281224,49.257808481638456,1.6730620464839419,0.32516373100185925
detailed-commit-message,Detailed Commit Message,329,1273,415.6413373860182,423.40219952867244,-7.760862142654219,0.8770053455670357,280.2644376899696,288.5577376276512,-8.293299937681581,0.8496410220872331,87.35866261398176,85.65121759622937,1.7074450177523914,0.9109386965307572,3.916023841682351,3.979772772912169,-0.06374893122981806,0.8204383476852324,53.93479229338664,48.52746041475314,5.407331878633499,0.0018213638489762462
refactor-oriented,Refactor-Oriented,30,1572,405.2,422.1253180661578,-16.925318066157786,0.8895881937506367,284.73333333333335,286.89503816793894,-2.1617048346055867,0.9797259685947157,94.86666666666666,85.83269720101781,9.033969465648852,0.7863993731070333,3.387279865149163,3.9777380330001333,-0.5904581678509704,0.24278468714996954,51.14038450028754,49.609282593827174,1.5311019064603641,0.7921308736033245
modification-bias,Modification Bias,368,1234,393.1820652173913,430.3452188006483,-37.163153583256985,0.2496680552929548,262.58152173913044,294.0931928687196,-31.51167112958916,0.1890309487172338,76.22282608695652,88.91815235008104,-12.695326263124528,0.1323448560477213,3.750305490263404,4.031207587855553,-0.2809020975921488,0.186524862862126,47.84678106836377,50.172113727185646,-2.3253326588218783,0.1495588759013797
test-oriented,Test-Oriented,28,1574,459.35714285714283,421.14040660736975,38.21673624977308,0.7743097978183402,255.75,287.4078780177891,-31.657878017789074,0.5479390822768722,79.5,86.11753494282084,-6.617534942820839,0.6794187511647682,3.7419626834313227,3.9706782901490514,-0.22871560671772873,0.798189039602913,53.4435076398225,49.57025766111177,3.8732499787107315,0.4739639551308329
