Model,Similarity,BLEU-3,ROUGE-L
Llama-3.1-8B,91% / +0.386,89% / +0.448,90% / +0.316
Qwen3-32B,96% / +0.319,93% / +0.296,96% / +0.279
GPT-5-Nano,51% / -0.013,40% / -0.029,47% / -0.015
