Model,Setup,EM,Sim.,BLEU-3,ROUGE-L,Delta_EM,Delta_Sim.,Delta_BLEU-3,Delta_ROUGE-L
GPT-5-Nano,Single-agent,0.05,0.87,0.89,0.91,--,--,--,--
GPT-5-Nano,Multi-agent,0.07,0.86,0.87,0.9,+0.02,-0.01,-0.03,-0.01
Qwen3-32B,Single-agent,0.0,0.59,0.62,0.65,--,--,--,--
Qwen3-32B,Multi-agent,0.11,0.91,0.91,0.93,+0.11,+0.32,+0.30,+0.28
Llama-3.1-8B-Instruct,Single-agent,0.0,0.52,0.46,0.61,--,--,--,--
Llama-3.1-8B-Instruct,Multi-agent,0.12,0.9,0.91,0.93,+0.12,+0.39,+0.45,+0.32
