Stratification,Category,Model,n,EM_Advantage,Similarity_Advantage
Difficulty,easy,Llama-3.1-8B,877,0.1642,0.3909
Difficulty,medium,Llama-3.1-8B,378,0.1085,0.4414
Difficulty,hard,Llama-3.1-8B,633,0.0648,0.3473
Conflict Count,1,Llama-3.1-8B,877,0.1642,0.3909
Conflict Count,2-3,Llama-3.1-8B,527,0.0873,0.4024
Conflict Count,4-10,Llama-3.1-8B,365,0.0849,0.3709
Conflict Count,11+,Llama-3.1-8B,119,0.042,0.3297
Project Size,small,Llama-3.1-8B,103,0.1845,0.1994
Project Size,medium,Llama-3.1-8B,1088,0.1241,0.387
Project Size,large,Llama-3.1-8B,600,0.1017,0.4074
Project Size,huge,Llama-3.1-8B,97,0.1134,0.4475
Difficulty,easy,Qwen3-32B,877,0.1517,0.3299
Difficulty,medium,Qwen3-32B,378,0.1217,0.2873
Difficulty,hard,Qwen3-32B,633,0.0553,0.3226
Conflict Count,1,Qwen3-32B,877,0.1517,0.3299
Conflict Count,2-3,Qwen3-32B,527,0.0911,0.3054
Conflict Count,4-10,Qwen3-32B,365,0.0712,0.3125
Conflict Count,11+,Qwen3-32B,119,0.0588,0.3175
Project Size,small,Qwen3-32B,103,0.1748,0.3865
Project Size,medium,Qwen3-32B,1088,0.1213,0.3121
Project Size,large,Qwen3-32B,600,0.0967,0.3256
Project Size,huge,Qwen3-32B,97,0.0619,0.2821
Difficulty,easy,GPT-5-Nano,877,-0.0091,-0.0271
Difficulty,medium,GPT-5-Nano,378,0.0529,0.0079
Difficulty,hard,GPT-5-Nano,633,0.0332,-0.0056
Conflict Count,1,GPT-5-Nano,877,-0.0091,-0.0271
Conflict Count,2-3,GPT-5-Nano,527,0.0436,-0.0041
Conflict Count,4-10,GPT-5-Nano,365,0.0384,-0.0054
Conflict Count,11+,GPT-5-Nano,119,0.0336,0.0298
Project Size,small,GPT-5-Nano,103,-0.0291,-0.031
Project Size,medium,GPT-5-Nano,1088,0.0221,-0.0278
Project Size,large,GPT-5-Nano,600,0.0233,0.0092
Project Size,huge,GPT-5-Nano,97,-0.0206,0.0366
