Model,Labeled MCR,Easy,Medium,Hard,Total MCR
GPT-5 Nano,312,160 (51.3%),59 (18.9%),93 (29.8%),"3,109"
Qwen3,309,160 (51.8%),75 (24.3%),74 (23.9%),"2,830"
Llama,306,137 (44.8%),74 (24.2%),95 (31.0%),"2,796"
Overall,927,457 (49.3%),208 (22.4%),262 (28.3%),"8,735"
