model,method,n_samples,exact_match_mean,exact_match_std,exact_match_median,similarity_mean,similarity_std,similarity_median,bleu3_mean,bleu3_std,bleu3_median,rouge_l_mean,rouge_l_std,rouge_l_median,tokens_total_mean,tokens_total_sum,total_cost_mean,total_cost_sum,processing_time_s_mean,processing_time_s_sum
Qwen3-32B,Agent (Single),1888,0.0,0.0,0.0,0.5865319332010399,0.2373265880109155,0.612202367885893,0.6155315842744613,0.24812078838629512,0.6437622979447784,0.6537230892332198,0.23343710765498416,0.6969379165480228,10592.151483050848,19997982,0.004616454978813559,8.715867,135.32867372881356,255500.536
Qwen3-32B,Bypass (Multi),1888,0.11334745762711865,0.317101041496516,0.0,0.9054424253674326,0.15939085449243606,0.9698261028811852,0.9111996043373541,0.15763390902071023,0.9733630320963678,0.9325694868391872,0.13930757139133831,0.983560203140629,29694.91684322034,56064003,0.009900449152542373,18.692048,96.21000582627117,181644.49099999998
LLaMA-3.1-8B,Agent (Single),1888,0.0,0.0,0.0,0.5166232683471841,0.2905802871916742,0.5097839209918906,0.4603680796724092,0.35315990753797927,0.45695822955607324,0.6144668476449984,0.2734662688236898,0.6516841570075567,16445.66313559322,31049412,0.0,0.0,193.47809004237288,365286.634
LLaMA-3.1-8B,Bypass (Multi),1888,0.11970338983050847,0.3247003705414154,0.0,0.902983318823309,0.16006611776135557,0.9661546093566072,0.9082258190703539,0.1607316639051119,0.9697652601289688,0.9301936075948952,0.14167060599586911,0.9812458577282335,47935.51483050847,90502252,0.0,0.0,191.59516631355933,361731.674
GPT-5-nano,Agent (Single),1888,0.05190677966101695,0.2218976016643445,0.0,0.8722746565516778,0.15849940851768948,0.9314424100075642,0.8942646297203878,0.15735986920027362,0.957743718561713,0.9120429578348367,0.13126290831250312,0.9615319881759816,22120.789724576272,41764051,0.004072850105932203,7.689541,327.9766202330508,619219.8589999999
GPT-5-nano,Bypass (Multi),1888,0.06938559322033898,0.254176024957172,0.0,0.8593676847015854,0.18928811604494264,0.9330876103852859,0.8652742345550692,0.19465247008065256,0.941650887659699,0.8972892956791143,0.1703214987797327,0.9621226659701588,62610.10275423729,118207874,0.004910359110169492,9.270758,310.0152891949152,585308.8659999999
