label,display_name,n_bypass_wins,n_agent_wins,n_ties,count_in_bypass_wins,count_in_agent_wins,count_in_ties,pct_in_bypass_wins,pct_in_agent_wins,pct_in_ties,pct_diff_vs_agent,pct_diff_vs_tie,odds_ratio_vs_agent,odds_ratio_vs_tie,chi2_pval_vs_agent,chi2_pval_vs_tie
favored simplicity,Favored Simplicity,0,0,306,0,0,187,0,0,61.111111111111114,0,-61.111111111111114,,,,
favored complexity,Favored Complexity,0,0,306,0,0,134,0,0,43.790849673202615,0,-43.790849673202615,,,,
simple-commit-message,Simple Commit Message,0,0,306,0,0,97,0,0,31.699346405228756,0,-31.699346405228756,,,,
modification-bias,Modification Bias,0,0,306,0,0,92,0,0,30.065359477124183,0,-30.065359477124183,,,,
structural-change-bias,Structural Change Bias,0,0,306,0,0,82,0,0,26.797385620915033,0,-26.797385620915033,,,,
vague-commit-message,Vague Commit Message,0,0,306,0,0,67,0,0,21.895424836601308,0,-21.895424836601308,,,,
detailed-commit-message,Detailed Commit Message,0,0,306,0,0,59,0,0,19.28104575163399,0,-19.28104575163399,,,,
fix-oriented,Fix-Oriented,0,0,306,0,0,18,0,0,5.88235294117647,0,-5.88235294117647,,,,
feature-oriented,Feature-Oriented,0,0,306,0,0,16,0,0,5.228758169934641,0,-5.228758169934641,,,,
refactor-oriented,Refactor-Oriented,0,0,306,0,0,8,0,0,2.6143790849673203,0,-2.6143790849673203,,,,
unclear,Unclear,0,0,306,0,0,3,0,0,0.9803921568627451,0,-0.9803921568627451,,,,
test-oriented,Test-Oriented,0,0,306,0,0,3,0,0,0.9803921568627451,0,-0.9803921568627451,,,,
lost information (compression),Lost Information,0,0,306,0,0,0,0,0,0.0,0,0.0,,,,
misprioritization,Misprioritization,0,0,306,0,0,0,0,0,0.0,0,0.0,,,,
accurate,Accurate,0,0,306,0,0,0,0,0,0.0,0,0.0,,,,
