label,display_name,n_with_label,n_without_label,agent_exact_match_with,bypass_exact_match_with,delta_exact_match_with,delta_exact_match_ci_low,delta_exact_match_ci_high,bypass_win_rate_exact_match_with,delta_exact_match_without,bypass_win_rate_exact_match_without,agent_similarity_with,bypass_similarity_with,delta_similarity_with,delta_similarity_ci_low,delta_similarity_ci_high,bypass_win_rate_similarity_with,delta_similarity_without,bypass_win_rate_similarity_without,agent_bleu3_with,bypass_bleu3_with,delta_bleu3_with,delta_bleu3_ci_low,delta_bleu3_ci_high,bypass_win_rate_bleu3_with,delta_bleu3_without,bypass_win_rate_bleu3_without,agent_rouge_l_with,bypass_rouge_l_with,delta_rouge_l_with,delta_rouge_l_ci_low,delta_rouge_l_ci_high,bypass_win_rate_rouge_l_with,delta_rouge_l_without,bypass_win_rate_rouge_l_without
favored simplicity,Favored Simplicity,466,312,0.0,0.060085836909871244,0.060085836909871244,0.03862660944206009,0.08369098712446352,6.008583690987124,0.041666666666666664,4.166666666666667,0.4900417177743763,0.8780116814275944,0.3879699636532182,0.3568593164582629,0.4216020691680816,85.4077253218884,0.41256711537419843,90.06410256410257,0.43294982592489945,0.8846183861117286,0.4516685601868292,0.41191526429116365,0.4923803358290176,81.3304721030043,0.4799839807136621,88.46153846153847,0.5927322320223606,0.9154802972553596,0.322748065232999,0.2931030013366621,0.353184762334144,85.4077253218884,0.34215192093722135,90.06410256410257
favored complexity,Favored Complexity,305,473,0.0,0.013114754098360656,0.013114754098360656,0.003278688524590164,0.02622950819672131,1.3114754098360655,0.07822410147991543,7.822410147991543,0.4868725795020872,0.9065975494953789,0.41972496999329145,0.38048345230754177,0.45770493486024705,90.1639344262295,0.38371845076362715,85.41226215644821,0.42893256344046715,0.9129603739019653,0.484027810461498,0.43665116236288704,0.5300334951282583,86.55737704918033,0.4494800609703341,82.66384778012684,0.5888082050766151,0.9392904281827751,0.3504822231061598,0.31469598041849495,0.3847983752562383,89.18032786885246,0.3176636779780378,86.04651162790698
misprioritization,Misprioritization,18,760,0.0,0.2222222222222222,0.2222222222222222,0.05555555555555555,0.4444444444444444,22.22222222222222,0.04868421052631579,4.868421052631579,0.4806519480704679,0.8327130976406566,0.3520611495701886,0.15338659541324565,0.5449422656841519,83.33333333333333,0.39891821364063973,87.36842105263158,0.41375914796109553,0.8239506489985252,0.41019150103742963,0.1722294186111768,0.6381752574360848,83.33333333333333,0.46427513685664634,84.21052631578948,0.5753348398537093,0.8708776792186709,0.2955428393649615,0.10227295223704781,0.47474823134106375,83.33333333333333,0.33135819292423857,87.36842105263158
feature-oriented,Feature-Oriented,45,733,0.0,0.08888888888888889,0.08888888888888889,0.022222222222222223,0.17777777777777778,8.88888888888889,0.0504774897680764,5.04774897680764,0.4647130842164581,0.8751952290364364,0.41048214481997813,0.29318636457716396,0.5246145059229418,88.88888888888889,0.3970576351190321,87.17598908594816,0.42318230102968135,0.8737199543528206,0.45053765332313933,0.3101536308550379,0.5872693347526545,86.66666666666667,0.4637903910370855,84.03819918144612,0.5603775947644393,0.9036802706070007,0.3433026758425617,0.23063469702889972,0.4558083576223393,91.11111111111111,0.32974539879682857,87.03956343792633
fix-oriented,Fix-Oriented,65,713,0.0,0.07692307692307693,0.07692307692307693,0.015384615384615385,0.15384615384615385,7.6923076923076925,0.05049088359046283,5.049088359046284,0.46459477159536083,0.8579115600140129,0.3933167884186521,0.2951202256001247,0.48886325495237853,87.6923076923077,0.3982459352201082,87.23702664796635,0.38810069724921353,0.8630160399912297,0.4749153427420161,0.3584714098378212,0.5892477903431984,86.15384615384616,0.4619397668323898,84.01122019635343,0.5822468977306858,0.886347991399104,0.30410109366841825,0.20930849966949228,0.3935746689380673,83.07692307692308,0.3329388872966949,87.6577840112202
structural-change-bias,Structural Change Bias,224,554,0.0,0.026785714285714284,0.026785714285714284,0.008928571428571428,0.049107142857142856,2.6785714285714284,0.0631768953068592,6.317689530685921,0.4661144916260153,0.9064177984107785,0.44030330678476304,0.3944454977922833,0.4881487740499777,90.17857142857143,0.3806624590963224,86.10108303249098,0.3980172947106043,0.9079535661714273,0.5099362714608231,0.45242603552515204,0.5694899648296458,86.60714285714286,0.4440556430009036,83.2129963898917,0.5732538879173324,0.9377950092584298,0.36454112134109756,0.32235830588584663,0.4091021787486299,88.83928571428571,0.31677759305159703,86.64259927797833
unclear,Unclear,63,715,0.0,0.12698412698412698,0.12698412698412698,0.06349206349206349,0.20674603174602957,12.698412698412698,0.046153846153846156,4.615384615384615,0.5903896526490494,0.8738090140806324,0.28341936143158336,0.18269625911507656,0.38816305305289267,79.36507936507937,0.40791541718735636,87.97202797202797,0.542638952826665,0.8863807443794615,0.34374179155279655,0.22914085561365946,0.4590903223506654,74.60317460317461,0.47353401141524304,85.03496503496504,0.6747106600860555,0.893706426744958,0.2189957666589026,0.12087534816846958,0.31632229850181975,79.36507936507937,0.3403570131908808,87.97202797202797
vague-commit-message,Vague Commit Message,151,627,0.0,0.07947019867549669,0.07947019867549669,0.033112582781456956,0.12582781456953643,7.947019867549669,0.046251993620414676,4.625199362041467,0.4955242866510634,0.8755793061970232,0.3800550195459595,0.3222942189328942,0.4382042389567895,84.10596026490066,0.40211584546684154,88.03827751196172,0.43761531502291795,0.8901804381347874,0.4525651231118693,0.3866575084128484,0.5214510485298479,84.10596026490066,0.46554261154678256,84.21052631578948,0.5854556796282077,0.9100889186149762,0.3246332389867685,0.2696086614286064,0.3793636244901122,85.43046357615894,0.3319495672152928,87.71929824561404
simple-commit-message,Simple Commit Message,193,585,0.0,0.046632124352331605,0.046632124352331605,0.02072538860103627,0.07772020725388601,4.66321243523316,0.0547008547008547,5.47008547008547,0.5052191274396685,0.8741380848928925,0.36891895745322395,0.31716829748472536,0.4205026960257927,85.49222797927462,0.40737364832594414,87.86324786324786,0.44959408951689667,0.8769554490087353,0.4273613594918386,0.363776581031654,0.4895978036078031,81.86528497409327,0.474789416491966,84.95726495726495,0.6071235423060769,0.908603690482112,0.3014801481760349,0.25548048837023396,0.3486408133605209,85.49222797927462,0.3401133831333605,87.86324786324786
detailed-commit-message,Detailed Commit Message,134,644,0.0,0.05970149253731343,0.05970149253731343,0.022388059701492536,0.1044776119402985,5.970149253731344,0.05124223602484472,5.124223602484472,0.5150179425917731,0.8869295981187302,0.3719116555269571,0.3060114687239982,0.4319927791162335,84.32835820895522,0.403227921146797,87.88819875776397,0.4671764197287265,0.8863066009697093,0.4191301812409827,0.3402933027399868,0.49085542608145477,79.85074626865672,0.47215699804880945,85.09316770186335,0.616283198150326,0.9236795389670887,0.3073963408167628,0.2488841398547159,0.3592963715745814,84.32835820895522,0.3353429938843857,87.88819875776397
refactor-oriented,Refactor-Oriented,17,761,0.0,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413,5.882352941176471,0.052562417871222074,5.256241787122208,0.5088473664120571,0.9162518920467451,0.40740452563468793,0.2458162331490203,0.561780165567933,94.11764705882354,0.39762032342097225,87.12220762155059,0.4478910785581674,0.928135621095233,0.48024454253706556,0.2790390515480131,0.6668925733514195,94.11764705882354,0.46263915086280527,83.96846254927726,0.6000520867934084,0.9540672455778889,0.3540151587844806,0.20466706380269298,0.496085632201672,94.11764705882354,0.3300049146276668,87.12220762155059
modification-bias,Modification Bias,158,620,0.0,0.02531645569620253,0.02531645569620253,0.006329113924050633,0.05063291139240506,2.5316455696202533,0.05967741935483871,5.967741935483871,0.4823607275499814,0.8841487858802629,0.4017880583302814,0.3431162030302687,0.45644766966897166,88.60759493670886,0.3968264997467179,86.93548387096774,0.4213466976114279,0.886956085384379,0.46560938777295097,0.3950178288242898,0.5323405706971408,84.17721518987342,0.46236494800257866,84.19354838709677,0.5862528491019775,0.922736182588402,0.3364833334864246,0.28213172717562124,0.3875349659378812,87.34177215189874,0.3290123081292508,87.25806451612904
test-oriented,Test-Oriented,13,765,0.0,0.0,0.0,0.0,0.0,0.0,0.05359477124183006,5.359477124183006,0.44745889691917345,0.8293834999120662,0.3819246029928926,0.18894750327506718,0.5710964284778574,84.61538461538461,0.39810447479770183,87.3202614379085,0.3754991155042847,0.8626839978790802,0.4871848823747958,0.2776356880342396,0.6878289050737462,84.61538461538461,0.4626132647828139,84.18300653594771,0.5317402778133334,0.8845351674358087,0.3527948896224753,0.1838809483833858,0.5285088606558318,84.61538461538461,0.3301511949881025,87.3202614379085
