Stratification,Category,Model,n,EM_Advantage,Similarity_Advantage
Difficulty,easy,Llama-3.1-8B,877,0.16,0.39
Difficulty,medium,Llama-3.1-8B,378,0.11,0.44
Difficulty,hard,Llama-3.1-8B,633,0.06,0.35
Conflict Count,1,Llama-3.1-8B,877,0.16,0.39
Conflict Count,2-3,Llama-3.1-8B,527,0.09,0.4
Conflict Count,4-10,Llama-3.1-8B,365,0.08,0.37
Conflict Count,11+,Llama-3.1-8B,119,0.04,0.33
Project Size,small,Llama-3.1-8B,103,0.18,0.2
Project Size,medium,Llama-3.1-8B,1088,0.12,0.39
Project Size,large,Llama-3.1-8B,600,0.1,0.41
Project Size,huge,Llama-3.1-8B,97,0.11,0.45
Difficulty,easy,Qwen3-32B,877,0.15,0.33
Difficulty,medium,Qwen3-32B,378,0.12,0.29
Difficulty,hard,Qwen3-32B,633,0.06,0.32
Conflict Count,1,Qwen3-32B,877,0.15,0.33
Conflict Count,2-3,Qwen3-32B,527,0.09,0.31
Conflict Count,4-10,Qwen3-32B,365,0.07,0.31
Conflict Count,11+,Qwen3-32B,119,0.06,0.32
Project Size,small,Qwen3-32B,103,0.17,0.39
Project Size,medium,Qwen3-32B,1088,0.12,0.31
Project Size,large,Qwen3-32B,600,0.1,0.33
Project Size,huge,Qwen3-32B,97,0.06,0.28
Difficulty,easy,GPT-5-Nano,877,-0.01,-0.03
Difficulty,medium,GPT-5-Nano,378,0.05,0.01
Difficulty,hard,GPT-5-Nano,633,0.03,-0.01
Conflict Count,1,GPT-5-Nano,877,-0.01,-0.03
Conflict Count,2-3,GPT-5-Nano,527,0.04,-0.0
Conflict Count,4-10,GPT-5-Nano,365,0.04,-0.01
Conflict Count,11+,GPT-5-Nano,119,0.03,0.03
Project Size,small,GPT-5-Nano,103,-0.03,-0.03
Project Size,medium,GPT-5-Nano,1088,0.02,-0.03
Project Size,large,GPT-5-Nano,600,0.02,0.01
Project Size,huge,GPT-5-Nano,97,-0.02,0.04
