stratify_by,stratum,label,display_name,n_samples,delta_exact_match,bypass_win_rate_exact_match,delta_similarity,bypass_win_rate_similarity,delta_bleu3,bypass_win_rate_bleu3,delta_rouge_l,bypass_win_rate_rouge_l
difficulty,easy,favored complexity,Favored Complexity,13,0.5384615384615384,53.84615384615385,0.1779447294095937,84.61538461538461,0.2094924446947511,84.61538461538461,0.11105868280104828,84.61538461538461
difficulty,easy,detailed-commit-message,Detailed Commit Message,16,0.4375,43.75,0.11356173169419258,93.75,0.1645496747315656,93.75,0.08211567195582473,87.5
difficulty,hard,favored simplicity,Favored Simplicity,38,0.2631578947368421,26.31578947368421,0.33877728438692467,84.21052631578948,0.3956620861977614,81.57894736842105,0.2748332043181206,86.84210526315789
difficulty,hard,favored complexity,Favored Complexity,48,0.20833333333333334,20.833333333333332,0.3043602250687138,79.16666666666667,0.3351660788808091,75.0,0.23650100814930333,81.25
difficulty,hard,feature-oriented,Feature-Oriented,10,0.3,30.0,0.37267631703782894,80.0,0.41945771448966374,80.0,0.29858710811515754,90.0
difficulty,hard,structural-change-bias,Structural Change Bias,33,0.30303030303030304,30.303030303030305,0.3833428466301943,87.87878787878788,0.44577116218946944,90.9090909090909,0.28951028297863374,87.87878787878788
difficulty,hard,unclear,Unclear,14,0.21428571428571427,21.428571428571427,0.20747882076727647,85.71428571428571,0.20132954449829085,71.42857142857143,0.1480409329373973,78.57142857142857
difficulty,hard,simple-commit-message,Simple Commit Message,16,0.25,25.0,0.40759600038920896,81.25,0.44382910621238425,75.0,0.3499467892354641,87.5
difficulty,hard,detailed-commit-message,Detailed Commit Message,23,0.2608695652173913,26.08695652173913,0.33675841072610097,82.6086956521739,0.38264589815186073,82.6086956521739,0.25804662900430486,82.6086956521739
difficulty,hard,modification-bias,Modification Bias,16,0.1875,18.75,0.34868677572829276,75.0,0.4231789193969225,81.25,0.2799323021738726,81.25
