sample_id,agent_vs_gt_loc,agent_vs_gt_sloc,agent_vs_gt_loc_delta,agent_vs_gt_sloc_delta,agent_vs_gt_diff_lines_added,agent_vs_gt_diff_lines_removed,agent_vs_gt_diff_total_change,agent_vs_gt_diff_hunks,bypass_vs_gt_loc,bypass_vs_gt_sloc,bypass_vs_gt_loc_delta,bypass_vs_gt_sloc_delta,bypass_vs_gt_diff_lines_added,bypass_vs_gt_diff_lines_removed,bypass_vs_gt_diff_total_change,bypass_vs_gt_diff_hunks,agent_vs_bypass_loc,agent_vs_bypass_sloc,agent_vs_bypass_loc_delta,agent_vs_bypass_sloc_delta,agent_vs_bypass_diff_lines_added,agent_vs_bypass_diff_lines_removed,agent_vs_bypass_diff_total_change,agent_vs_bypass_diff_hunks,gt_loc,gt_sloc,gt_loc_delta,gt_sloc_delta,gt_diff_lines_added,gt_diff_lines_removed,gt_diff_total_change,gt_diff_hunks,n_commits_a,n_commits_b,n_commits_total
103656426411-1,-24.0,-24.0,-24.0,-24.0,-44.0,-20.0,-64.0,-1.0,-25.0,-25.0,-25.0,-25.0,-47.0,-22.0,-69.0,-3.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,225.0,219.0,27.0,27.0,49.0,22.0,71.0,5.0,1,1,2
106151546310-1,31.0,30.0,31.0,30.0,-43.0,-74.0,-117.0,-1.0,-215.0,-195.0,-215.0,-195.0,-290.0,-75.0,-365.0,1.0,246.0,225.0,246.0,225.0,247.0,1.0,248.0,-2.0,986.0,830.0,304.0,267.0,409.0,105.0,514.0,13.0,5,8,13
107501480065-1,16.0,8.0,16.0,8.0,22.0,6.0,28.0,3.0,13.0,5.0,13.0,5.0,7.0,-6.0,1.0,1.0,3.0,3.0,3.0,3.0,15.0,12.0,27.0,2.0,268.0,231.0,-6.0,-4.0,2.0,8.0,10.0,2.0,6,1,7
115058474542-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,369.0,304.0,369.0,304.0,369.0,0.0,369.0,1.0,1,1,2
118214162527-1,-3.0,0.0,-3.0,0.0,-2.0,1.0,-1.0,1.0,-13.0,-10.0,-13.0,-10.0,-13.0,0.0,-13.0,0.0,10.0,10.0,10.0,10.0,11.0,1.0,12.0,1.0,336.0,228.0,15.0,12.0,15.0,0.0,15.0,2.0,2,3,5
125568505545-1,-240.0,-199.0,-240.0,-199.0,-243.0,-3.0,-246.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-239.0,-199.0,-239.0,-199.0,-242.0,-3.0,-245.0,1.0,1098.0,876.0,263.0,220.0,272.0,9.0,281.0,5.0,21,19,40
126658010330-1,-2.0,0.0,-2.0,0.0,-2.0,0.0,-2.0,2.0,-4.0,-2.0,-4.0,-2.0,-9.0,-5.0,-14.0,1.0,2.0,2.0,2.0,2.0,7.0,5.0,12.0,1.0,227.0,167.0,5.0,1.0,17.0,12.0,29.0,5.0,1,1,2
127442621803-1,0.0,0.0,0.0,0.0,4.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,3.0,2097.0,1681.0,0.0,0.0,2.0,2.0,4.0,2.0,10,1,11
133313355306-1,1.0,1.0,1.0,1.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,3.0,481.0,419.0,1.0,1.0,2.0,1.0,3.0,1.0,1,1,2
134296232550-1,-2.0,2.0,-2.0,2.0,-2.0,0.0,-2.0,2.0,9.0,8.0,9.0,8.0,-20.0,-29.0,-49.0,-1.0,-11.0,-6.0,-11.0,-6.0,18.0,29.0,47.0,3.0,666.0,414.0,-14.0,-12.0,26.0,40.0,66.0,3.0,3,1,4
