label,quantitative_metric,mean_with_label,mean_without_label,diff_means,mann_whitney_u,mann_whitney_p,n_with,n_without
favored_simplicity,bypass_vs_gt_diff_hunks,-4.719457013574661,-0.9858823529411764,-3.7335746606334843,52231.0,6.5084873402518895e-34,444,428
favored_simplicity,bypass_vs_gt_diff_lines_removed,-37.68778280542986,-8.228235294117647,-29.459547511312216,55840.5,1.4578936580875121e-27,444,428
favored_simplicity,bypass_vs_gt_diff_total_change,-95.85972850678733,-27.176470588235293,-68.68325791855204,55414.5,2.3324474009709355e-26,444,428
favored_simplicity,bypass_vs_gt_diff_lines_added,-58.171945701357465,-18.948235294117648,-39.22371040723982,57970.0,2.53922394005765e-23,444,428
favored_complexity,bypass_vs_gt_diff_hunks,-2.011904761904762,-3.713646532438479,1.701741770533717,120489.5,8.99005619047872e-15,420,452
favored_complexity,bypass_vs_gt_diff_lines_removed,-13.164285714285715,-32.72035794183445,19.556072227548736,118932.0,8.017820327289733e-13,420,452
favored_complexity,bypass_vs_gt_diff_total_change,-40.83571428571429,-82.25727069351231,41.42155640779802,119538.5,1.415515923311987e-12,420,452
favored_complexity,n_commits_a,8.392857142857142,9.63495575221239,-1.2420986093552475,120387.5,3.3031640640851783e-12,420,452
favored_simplicity,n_commits_b,6.04054054054054,2.6565420560747666,3.383998484465774,119469.5,3.7337163008758924e-12,444,428
favored_simplicity,agent_vs_bypass_diff_lines_removed,87.74149659863946,44.27186761229314,43.469628986346315,117936.0,1.525372379482805e-11,444,428
structural_change_bias,n_commits_a,8.777397260273972,9.167241379310346,-0.3898441190363737,107803.0,2.1646887979389794e-11,292,580
unclear,gt_diff_lines_removed,14.74468085106383,57.32262210796915,-42.57794125690532,21345.5,3.9160249352463674e-11,94,778
favored_complexity,bypass_vs_gt_diff_lines_added,-27.67142857142857,-49.53691275167785,21.865484180249283,117246.5,9.768375952837612e-11,420,452
unclear,gt_diff_hunks,3.606382978723404,8.062982005141388,-4.456599026417983,21751.0,1.0082748356617148e-10,94,778
structural_change_bias,n_commits_total,14.027397260273972,13.108620689655172,0.9187765706187996,107195.5,1.1676732421409754e-10,292,580
favored_simplicity,agent_vs_bypass_diff_hunks,3.6031746031746033,1.7777777777777777,1.8253968253968256,115613.0,7.627022649497368e-10,444,428
favored_simplicity,gt_diff_hunks,9.153153153153154,5.953271028037383,3.1998821251157707,117151.5,2.0592609081547254e-09,444,428
favored_simplicity,n_commits_total,14.29054054054054,12.509345794392523,1.7811947461480173,117167.5,2.169486878022107e-09,444,428
detailed_commit_message,agent_vs_bypass_diff_lines_added,30.0561797752809,87.29154518950438,-57.23536541422348,43309.5,2.204516397090875e-09,179,693
unclear,gt_diff_total_change,81.09574468085107,164.8483290488432,-83.75258436799213,23322.5,9.363670084547031e-09,94,778
favored_complexity,n_commits_total,13.423809523809524,13.40929203539823,0.0145174884112933,115976.5,1.2584125654906686e-08,420,452
detailed_commit_message,agent_vs_gt_loc_delta,-50.12921348314607,3.7467438494934875,-53.87595733263956,44738.0,1.9266471041154687e-08,179,693
detailed_commit_message,agent_vs_gt_loc,-50.12921348314607,3.7467438494934875,-53.87595733263956,44738.0,1.9266471041154687e-08,179,693
detailed_commit_message,agent_vs_gt_diff_lines_added,-7.853932584269663,47.424023154848044,-55.27795573911771,45369.5,6.520525080215107e-08,179,693
modification_bias,n_commits_total,15.426966292134832,12.90057636887608,2.5263899232587512,77041.0,3.0820079428173416e-07,178,694
detailed_commit_message,agent_vs_gt_sloc,-38.2247191011236,-2.1562952243125904,-36.068423876811,46633.0,5.993767950161601e-07,179,693
detailed_commit_message,agent_vs_gt_sloc_delta,-38.2247191011236,-2.1562952243125904,-36.068423876811,46633.0,5.993767950161601e-07,179,693
modification_bias,n_commits_a,8.617977528089888,9.144092219020173,-0.5261146909302852,76367.0,7.439185139419897e-07,178,694
detailed_commit_message,agent_vs_bypass_loc_delta,-29.46629213483146,19.040816326530614,-48.50710846136207,46557.0,1.0179439146473397e-06,179,693
detailed_commit_message,agent_vs_bypass_loc,-29.46629213483146,19.040816326530614,-48.50710846136207,46557.0,1.0179439146473397e-06,179,693
favored_simplicity,gt_diff_lines_removed,64.65315315315316,40.36682242990654,24.286330723246614,113150.5,1.0417798058643188e-06,444,428
unclear,gt_diff_lines_added,66.35106382978724,107.52570694087403,-41.174643111086795,25455.5,1.4551546867981856e-06,94,778
detailed_commit_message,agent_vs_bypass_diff_total_change,89.60112359550561,155.54518950437318,-65.94406590886757,47078.0,2.4637984930236267e-06,179,693
favored_simplicity,bypass_vs_gt_sloc,-14.959276018099548,-8.818823529411764,-6.140452488687783,77476.5,4.02653472208753e-06,444,428
favored_simplicity,bypass_vs_gt_sloc_delta,-14.959276018099548,-8.818823529411764,-6.140452488687783,77476.5,4.02653472208753e-06,444,428
unclear,bypass_vs_gt_diff_hunks,-0.7065217391304348,-3.1483870967741936,2.441865357643759,45292.5,5.192156000496455e-06,94,778
favored_simplicity,bypass_vs_gt_loc_delta,-21.520361990950228,-10.691764705882353,-10.828597285067875,77755.5,6.8230901535831594e-06,444,428
favored_simplicity,bypass_vs_gt_loc,-21.520361990950228,-10.691764705882353,-10.828597285067875,77755.5,6.8230901535831594e-06,444,428
