version,loc_mean,loc_std,loc_median,loc_min,loc_max,sloc_mean,sloc_std,sloc_median,sloc_min,sloc_max,blank_lines_mean,blank_lines_std,blank_lines_median,blank_lines_min,blank_lines_max,comment_lines_mean,comment_lines_std,comment_lines_median,comment_lines_min,comment_lines_max,loc_delta_mean,loc_delta_std,loc_delta_median,loc_delta_min,loc_delta_max,sloc_delta_mean,sloc_delta_std,sloc_delta_median,sloc_delta_min,sloc_delta_max,diff_lines_added_mean,diff_lines_added_std,diff_lines_added_median,diff_lines_added_min,diff_lines_added_max,diff_lines_removed_mean,diff_lines_removed_std,diff_lines_removed_median,diff_lines_removed_min,diff_lines_removed_max,diff_net_change_mean,diff_net_change_std,diff_net_change_median,diff_net_change_min,diff_net_change_max,diff_total_change_mean,diff_total_change_std,diff_total_change_median,diff_total_change_min,diff_total_change_max,diff_hunks_mean,diff_hunks_std,diff_hunks_median,diff_hunks_min,diff_hunks_max,diff_total_lines_mean,diff_total_lines_std,diff_total_lines_median,diff_total_lines_min,diff_total_lines_max,n_commits_a_mean,n_commits_a_std,n_commits_a_median,n_commits_a_min,n_commits_a_max,n_commits_b_mean,n_commits_b_std,n_commits_b_median,n_commits_b_min,n_commits_b_max,n_commits_total_mean,n_commits_total_std,n_commits_total_median,n_commits_total_min,n_commits_total_max,n_samples
a,670.8445692883895,901.9578310310835,388.5,1,11826,528.2106741573034,717.9811065423291,298.0,1,9186,99.74438202247191,151.2734671743172,53.5,0,2248,42.88951310861423,96.9119203312635,18.0,0,1787,36.201310861423224,138.45038669695649,10.0,-1615,1333,24.803370786516854,119.34867251299455,8.0,-1495,1103,74.13202247191012,149.75637317739088,24.5,0,1946,38.40823970037453,124.33877599533247,5.0,0,1943,35.72378277153558,136.66854093214943,10.0,-1615,1333,112.54026217228464,238.94751508648162,38.0,1,3889,5.417602996254682,7.6043043268828034,3.0,1,116,163.05149812734084,278.97498177611726,76.0,5,4158,8.542134831460674,31.336477032590025,3.0,1,528,4.23501872659176,9.49177171897637,2.0,1,153,12.777153558052435,32.90942046780126,6.0,2,531,1068
agent,597.9785046728972,748.6692606476742,342.5,1,10495,469.8644859813084,602.6285603967533,261.5,1,8149,96.03271028037383,131.49226931552894,57.0,0,2039,32.081308411214955,53.73109714965557,14.0,0,614,-17.44392523364486,478.5770029382524,26.0,-5421,2033,-18.014018691588785,391.5497222871244,19.0,-4688,2316,133.8373831775701,239.91090820792112,62.0,0,4155,151.3336448598131,492.5282856348525,15.0,0,5644,-17.49626168224299,478.5983271309083,26.0,-5422,2033,285.17102803738317,609.2834753401813,112.0,0,7745,6.957943925233645,7.728260645628385,5.0,0,70,345.91214953271026,620.7720333896975,172.5,0,7794,8.482242990654205,31.31300626995331,3.0,1,528,4.24392523364486,9.510534532040962,2.0,1,153,12.726168224299066,32.89275551087145,6.0,2,531,1070
b,664.2268041237113,903.0611112491055,370.0,1,11916,526.5210871602624,727.1551381962425,287.0,1,9261,98.9165885660731,146.99731837729158,52.0,0,2248,38.78912839737582,65.65194450972122,17.0,0,605,28.98875351452671,108.03198515769628,6.0,-884,1109,22.64198687910028,86.93075482322072,4.0,-819,926,56.013120899718835,121.05020362503201,17.0,0,2126,27.000937207122774,77.29815450288793,5.0,0,1453,29.012183692596064,107.90743219404747,6.0,-884,1109,83.01405810684162,172.0822450217197,28.0,1,3579,5.235238987816308,8.172733864040682,3.0,1,161,131.18931583880038,228.32303602308684,63.0,4,4366,8.506091846298032,31.352213108400463,3.0,1,528,4.264292408622306,9.520761826690695,2.0,1,153,12.770384254920337,32.92986384107015,6.0,2,531,1067
bypass,664.0130841121495,904.6512591438501,374.5,1,11916,523.5514018691589,720.0110114224608,289.0,1,9261,99.1429906542056,151.77984007304948,53.0,0,2248,41.31869158878504,88.25312437947579,17.0,0,1787,30.885981308411214,126.74799171895847,7.0,-1615,945,21.34766355140187,108.27002876715807,6.0,-1495,717,62.62523364485981,131.02049168377658,20.0,0,1946,31.755140186915888,109.88498897224447,4.0,0,1943,30.870093457943927,126.74631950083271,7.0,-1615,945,94.3803738317757,205.95516642699332,31.0,1,3889,4.899065420560747,7.115451707929516,3.0,1,116,138.83084112149533,242.85274149700817,62.5,4,4158,8.522429906542056,31.309806556515195,3.0,1,528,4.245794392523364,9.508322191769388,2.0,1,153,12.768224299065421,32.8863524772421,6.0,2,531,1070
ground_truth,681.2513914656772,914.2411930271877,387.5,1,11877,536.7439703153989,727.6126320873495,300.5,1,9228,101.0547309833024,152.19996062354517,55.0,0,2255,43.452690166975884,97.39397772034852,18.0,0,1786,52.49536178107606,158.45707272557627,21.0,-884,1498,38.006493506493506,133.59128815073586,16.0,-1377,1222,106.97309833024119,180.99370354820672,52.0,0,2156,54.84508348794063,132.28320372547694,14.0,0,1955,52.12801484230056,156.8885023419056,20.0,-884,1498,161.8181818181818,275.5015993725958,79.5,1,3914,7.923933209647496,10.925499486007386,5.0,1,161,237.45454545454547,340.1441352587275,143.0,5,4395,8.474025974025974,31.198659184925162,3.0,1,528,4.232838589981447,9.47716590776878,2.0,1,153,12.706864564007422,32.77275190760214,6.0,2,531,1078
previous,628.7560296846011,890.8969090417863,336.5,0,11865,498.7374768089054,717.6732009145883,266.5,0,9219,93.46196660482374,145.50579647054653,48.0,0,2241,36.55658627087198,64.23675197867783,15.0,0,615,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,8.474025974025974,31.198659184925162,3.0,1,528,4.232838589981447,9.47716590776878,2.0,1,153,12.706864564007422,32.77275190760214,6.0,2,531,1078
