sample_id,full_sample_id,method,sloc,lloc,comments,multi_comments,blank,cc_total,cc_avg,cc_max,cc_count,h_vocabulary,h_length,h_difficulty,h_effort,h_bugs,h_time,h_volume,mi_score,parse_error,error_message,source
103174421845,103174421845-1,agent,86,80,13,0,24,46.0,4.181818181818182,7.0,11,55.0,86.0,2.85,1417.0112657848942,0.16573231178770692,78.72284809916079,497.19693536312076,55.986755730265536,False,,2025-12-03-qwen3-pass-classifications
103174421845,103174421845-1,bypass,86,80,13,0,24,46.0,4.181818181818182,7.0,11,55.0,86.0,2.85,1417.0112657848942,0.16573231178770692,78.72284809916079,497.19693536312076,55.986755730265536,False,,2025-12-03-qwen3-pass-classifications
103174421845,103174421845-1,a_only,86,80,13,0,24,46.0,4.181818181818182,7.0,11,55.0,86.0,2.85,1417.0112657848942,0.16573231178770692,78.72284809916079,497.19693536312076,55.986755730265536,False,,2025-12-03-qwen3-pass-classifications
103174421845,103174421845-1,b_only,64,56,13,0,20,30.0,3.75,6.0,8,46.0,68.0,2.7439024390243905,1030.6158283862476,0.12520073767062562,57.25643491034709,375.60221301187687,63.98094551771781,False,,2025-12-03-qwen3-pass-classifications
103174421845,103174421845-1,ground_truth,86,80,13,0,24,46.0,4.181818181818182,7.0,11,55.0,86.0,2.85,1417.0112657848942,0.16573231178770692,78.72284809916079,497.19693536312076,55.986755730265536,False,,2025-12-03-qwen3-pass-classifications
103436751760,103436751760-1,agent,302,179,3,79,73,54.0,1.4594594594594594,5.0,37,17.0,23.0,2.3076923076923075,216.94995080482573,0.031337215116252606,12.05277504471254,94.01164534875782,57.444314440611606,False,,2025-12-03-qwen3-pass-classifications
103436751760,103436751760-1,bypass,319,193,3,87,94,61.0,1.525,5.0,40,19.0,26.0,2.2666666666666666,250.3445281256086,0.03681537178317774,13.90802934031159,110.44611534953322,55.985376688571385,False,,2025-12-03-qwen3-pass-classifications
103436751760,103436751760-1,a_only,319,193,3,87,94,61.0,1.525,5.0,40,19.0,26.0,2.2666666666666666,250.3445281256086,0.03681537178317774,13.90802934031159,110.44611534953322,55.985376688571385,False,,2025-12-03-qwen3-pass-classifications
103436751760,103436751760-1,b_only,305,183,3,75,88,58.0,1.5263157894736843,5.0,38,19.0,26.0,2.2666666666666666,250.3445281256086,0.03681537178317774,13.90802934031159,110.44611534953322,56.15825928603276,False,,2025-12-03-qwen3-pass-classifications
103436751760,103436751760-1,ground_truth,319,193,3,87,94,61.0,1.525,5.0,40,19.0,26.0,2.2666666666666666,250.3445281256086,0.03681537178317774,13.90802934031159,110.44611534953322,55.985376688571385,False,,2025-12-03-qwen3-pass-classifications
112177815245,112177815245-1,agent,91,52,7,13,25,34.0,11.333333333333334,20.0,3,27.0,38.0,3.5714285714285716,645.3061610078994,0.06022857502740395,35.85034227821663,180.68572508221183,66.60273337728364,False,,2025-12-03-qwen3-pass-classifications
112177815245,112177815245-1,bypass,91,52,7,13,25,34.0,11.333333333333334,20.0,3,27.0,38.0,3.5714285714285716,645.3061610078994,0.06022857502740395,35.85034227821663,180.68572508221183,66.60273337728364,False,,2025-12-03-qwen3-pass-classifications
112177815245,112177815245-1,a_only,91,52,7,13,25,34.0,11.333333333333334,20.0,3,27.0,38.0,3.5714285714285716,645.3061610078994,0.06022857502740395,35.85034227821663,180.68572508221183,66.60273337728364,False,,2025-12-03-qwen3-pass-classifications
112177815245,112177815245-1,b_only,91,52,7,13,25,34.0,11.333333333333334,20.0,3,27.0,38.0,3.5714285714285716,645.3061610078994,0.06022857502740395,35.85034227821663,180.68572508221183,66.60273337728364,False,,2025-12-03-qwen3-pass-classifications
112177815245,112177815245-1,ground_truth,91,52,7,13,25,34.0,11.333333333333334,20.0,3,27.0,38.0,3.5714285714285716,645.3061610078994,0.06022857502740395,35.85034227821663,180.68572508221183,66.60273337728364,False,,2025-12-03-qwen3-pass-classifications
118865208997,118865208997-1,agent,79,81,22,21,37,42.0,5.25,9.0,8,30.0,43.0,2.8,590.7896277112657,0.07033209853705544,32.8216459839592,210.99629561116632,67.4070708662799,False,,2025-12-03-qwen3-pass-classifications
118865208997,118865208997-1,bypass,79,80,22,13,35,42.0,5.25,9.0,8,30.0,43.0,2.8,590.7896277112657,0.07033209853705544,32.8216459839592,210.99629561116632,67.01558861380907,False,,2025-12-03-qwen3-pass-classifications
118865208997,118865208997-1,a_only,79,80,22,13,35,42.0,5.25,9.0,8,30.0,43.0,2.8,590.7896277112657,0.07033209853705544,32.8216459839592,210.99629561116632,67.01558861380907,False,,2025-12-03-qwen3-pass-classifications
118865208997,118865208997-1,b_only,42,40,7,8,15,22.0,5.5,9.0,4,22.0,27.0,2.6470588235294117,318.71820097907744,0.04013488456773568,17.706566721059858,120.40465370320703,75.83583451258973,False,,2025-12-03-qwen3-pass-classifications
118865208997,118865208997-1,ground_truth,79,80,22,13,35,42.0,5.25,9.0,8,30.0,43.0,2.8,590.7896277112657,0.07033209853705544,32.8216459839592,210.99629561116632,67.01558861380907,False,,2025-12-03-qwen3-pass-classifications
120506932938,120506932938-1,agent,314,274,23,228,154,61.0,1.967741935483871,13.0,31,35.0,44.0,4.148148148148148,936.1891373149924,0.07522948424852617,52.01050762861069,225.68845274557853,52.915606888708886,False,,2025-12-03-qwen3-pass-classifications
120506932938,120506932938-1,bypass,322,281,24,228,158,61.0,1.967741935483871,13.0,31,35.0,46.0,4.296296296296297,1013.6983029043831,0.07864900625982282,56.31657238357684,235.94701877946846,52.694778253360134,False,,2025-12-03-qwen3-pass-classifications
