label,display_name,n_with_label,n_without_label,agent_exact_match_with,bypass_exact_match_with,delta_exact_match_with,delta_exact_match_ci_low,delta_exact_match_ci_high,bypass_win_rate_exact_match_with,delta_exact_match_without,bypass_win_rate_exact_match_without,agent_similarity_with,bypass_similarity_with,delta_similarity_with,delta_similarity_ci_low,delta_similarity_ci_high,bypass_win_rate_similarity_with,delta_similarity_without,bypass_win_rate_similarity_without,agent_bleu3_with,bypass_bleu3_with,delta_bleu3_with,delta_bleu3_ci_low,delta_bleu3_ci_high,bypass_win_rate_bleu3_with,delta_bleu3_without,bypass_win_rate_bleu3_without,agent_rouge_l_with,bypass_rouge_l_with,delta_rouge_l_with,delta_rouge_l_ci_low,delta_rouge_l_ci_high,bypass_win_rate_rouge_l_with,delta_rouge_l_without,bypass_win_rate_rouge_l_without
favored simplicity,Favored Simplicity,68,113,0.0,0.4117647058823529,0.4117647058823529,0.29411764705882354,0.5294117647058824,41.1764705882353,0.6991150442477876,69.91150442477876,0.6226076635035802,0.8964500609317575,0.27384239742817723,0.20015843824472382,0.3413287440446406,88.23529411764706,0.3298931081318534,92.03539823008849,0.5910097474498403,0.9057316931884557,0.3147219457386154,0.2302765255479683,0.3939213289302263,86.76470588235294,0.37976802316735003,92.03539823008849,0.7163305931725102,0.9164209254125926,0.20009033224008252,0.13577574609895143,0.26197868640254357,89.70588235294117,0.25628461634797345,90.26548672566372
favored complexity,Favored Complexity,120,61,0.0,0.5666666666666667,0.5666666666666667,0.475,0.6583333333333333,56.666666666666664,0.639344262295082,63.9344262295082,0.6009695087645401,0.9367195322178622,0.33575002345332206,0.27473687712523714,0.3946802505491856,90.83333333333333,0.2558885480265057,90.1639344262295,0.5533871540516453,0.9439172513632565,0.3905300973116114,0.3230723542448145,0.45705037645740093,91.66666666666667,0.2860863483728366,86.88524590163935,0.6957569138343761,0.9541321791563304,0.2583752653219543,0.20217279520043718,0.3139207045688885,91.66666666666667,0.18952905575429652,86.88524590163935
structural-change-bias,Structural Change Bias,69,112,0.0,0.4927536231884058,0.4927536231884058,0.37681159420289856,0.6086956521739131,49.27536231884058,0.6517857142857143,65.17857142857143,0.6081055697314142,0.9213329734451854,0.31322740371377117,0.23068797555049256,0.3980825502223941,86.95652173913044,0.30612958381933286,92.85714285714286,0.5632252625648071,0.9263887497813762,0.36316348721656905,0.27021425855083675,0.4580257444515246,86.95652173913044,0.3505053420552958,91.96428571428571,0.6951616220185278,0.9408515521684894,0.24568993014996152,0.16740532199880354,0.3227551928276599,88.40579710144928,0.22869374160088626,91.07142857142857
unclear,Unclear,22,159,0.0,0.6363636363636364,0.6363636363636364,0.45454545454545453,0.8193181818181756,63.63636363636363,0.5849056603773585,58.490566037735846,0.6557675081374904,0.9729817318407548,0.31721422370326424,0.18620441606132004,0.4626238064625782,100.0,0.30767604605373383,89.30817610062893,0.6299343360367807,0.9791274472412671,0.34919311120448654,0.2051858595847591,0.5042211339713059,100.0,0.35618006592224966,88.67924528301887,0.7237534180733366,0.983784428823077,0.2600310107497406,0.1384588140541919,0.3965257040970534,100.0,0.2317334717179391,88.67924528301887
vague-commit-message,Vague Commit Message,51,130,0.0,0.47058823529411764,0.47058823529411764,0.3333333333333333,0.6078431372549019,47.05882352941177,0.6384615384615384,63.84615384615385,0.5754556006730646,0.906707424727122,0.3312518240540575,0.24327207352902164,0.41874750878025746,94.11764705882354,0.3000412401327581,89.23076923076923,0.5377236824125066,0.9091216202784808,0.371397937865974,0.2694578096583692,0.4745088824141111,90.19607843137256,0.3490275699767056,90.0,0.6637330297233133,0.9070816677368337,0.24334863801352044,0.15687365295429345,0.3300083046602559,92.15686274509804,0.23196556693043893,89.23076923076923
simple-commit-message,Simple Commit Message,43,138,0.0,0.6046511627906976,0.6046511627906976,0.46511627906976744,0.7441860465116279,60.46511627906977,0.5869565217391305,58.69565217391305,0.5972967110050434,0.9185619407390312,0.3212652297339876,0.2133477588060505,0.4250535020845128,88.37209302325581,0.30496231424242054,91.30434782608695,0.5573520230289049,0.9194754924398959,0.36212346941099105,0.23334857329026595,0.48545728090817286,88.37209302325581,0.3532142735033607,90.57971014492753,0.6899007801088632,0.9326741530371337,0.2427733729282707,0.14047813081094498,0.3427406770288088,88.37209302325581,0.23280470437486206,90.57971014492753
detailed-commit-message,Detailed Commit Message,15,166,0.0,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.8,53.333333333333336,0.5963855421686747,59.63855421686747,0.5927938976400026,0.9052878309170741,0.3124939332770716,0.14949684496655066,0.4854013842345601,86.66666666666667,0.30850479063168323,90.96385542168674,0.5079675960899748,0.8955350754121241,0.3875674793221496,0.20499622235648324,0.5827796066896387,86.66666666666667,0.3524178719174949,90.36144578313252,0.6818204383947337,0.9214847598532621,0.23966432145852828,0.11049332986609564,0.38610239148500203,86.66666666666667,0.23476710492631736,90.36144578313252
modification-bias,Modification Bias,58,123,0.0,0.5344827586206896,0.5344827586206896,0.41379310344827586,0.6724137931034483,53.44827586206897,0.6178861788617886,61.78861788617886,0.5446662759319435,0.907554246693564,0.36288797076162055,0.2823197830803612,0.43955037346780423,93.10344827586206,0.2833471702426139,89.4308943089431,0.49140013901926166,0.9142978388602525,0.422897699840991,0.3279953218010525,0.5158313483816246,93.10344827586206,0.3234700190029181,88.6178861788618,0.657627189576069,0.923386606711833,0.2657594171357639,0.18816986071236289,0.3436902964888203,93.10344827586206,0.2207500654127829,88.6178861788618
