,favored simplicity,favored complexity,lost information (compression),misprioritization,feature-oriented,fix-oriented,structural-change-bias,unclear,accurate,vague-commit-message,simple-commit-message,detailed-commit-message,refactor-oriented,modification-bias,test-oriented
favored simplicity,68.0,35.0,0.0,0.0,4.0,5.0,25.0,6.0,0.0,25.0,18.0,5.0,1.0,30.0,2.0
favored complexity,35.0,120.0,0.0,0.0,4.0,5.0,63.0,10.0,0.0,30.0,31.0,12.0,5.0,41.0,1.0
lost information (compression),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misprioritization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feature-oriented,4.0,4.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
fix-oriented,5.0,5.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0
structural-change-bias,25.0,63.0,0.0,0.0,3.0,2.0,69.0,6.0,0.0,21.0,16.0,6.0,0.0,16.0,0.0
unclear,6.0,10.0,0.0,0.0,0.0,1.0,6.0,22.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0
accurate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vague-commit-message,25.0,30.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,51.0,0.0,0.0,0.0,18.0,1.0
simple-commit-message,18.0,31.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,43.0,0.0,1.0,15.0,1.0
detailed-commit-message,5.0,12.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,15.0,1.0,6.0,0.0
refactor-oriented,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0
modification-bias,30.0,41.0,0.0,0.0,2.0,5.0,16.0,5.0,0.0,18.0,15.0,6.0,1.0,58.0,2.0
test-oriented,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0
