,favored simplicity,favored complexity,lost information (compression),misprioritization,feature-oriented,fix-oriented,structural-change-bias,unclear,accurate,vague-commit-message,simple-commit-message,detailed-commit-message,refactor-oriented,modification-bias,test-oriented
favored simplicity,148.0,38.0,0.0,0.0,6.0,15.0,44.0,1.0,0.0,30.0,52.0,11.0,1.0,35.0,5.0
favored complexity,38.0,153.0,0.0,0.0,9.0,7.0,87.0,3.0,0.0,34.0,42.0,17.0,2.0,49.0,1.0
lost information (compression),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
misprioritization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feature-oriented,6.0,9.0,0.0,0.0,13.0,0.0,7.0,0.0,0.0,0.0,4.0,4.0,0.0,5.0,0.0
fix-oriented,15.0,7.0,0.0,0.0,0.0,26.0,6.0,1.0,0.0,3.0,8.0,4.0,0.0,6.0,0.0
structural-change-bias,44.0,87.0,0.0,0.0,7.0,6.0,115.0,1.0,0.0,22.0,34.0,11.0,1.0,18.0,3.0
unclear,1.0,3.0,0.0,0.0,0.0,1.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
accurate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vague-commit-message,30.0,34.0,0.0,0.0,0.0,3.0,22.0,1.0,0.0,63.0,2.0,0.0,0.0,15.0,0.0
simple-commit-message,52.0,42.0,0.0,0.0,4.0,8.0,34.0,0.0,0.0,2.0,89.0,0.0,0.0,21.0,1.0
detailed-commit-message,11.0,17.0,0.0,0.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,28.0,1.0,8.0,0.0
refactor-oriented,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0
modification-bias,35.0,49.0,0.0,0.0,5.0,6.0,18.0,3.0,0.0,15.0,21.0,8.0,1.0,73.0,2.0
test-oriented,5.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0
