stratify_by,stratum,label,display_name,n_samples,delta_exact_match,bypass_win_rate_exact_match,delta_similarity,bypass_win_rate_similarity,delta_bleu3,bypass_win_rate_bleu3,delta_rouge_l,bypass_win_rate_rouge_l
difficulty,easy,favored simplicity,Favored Simplicity,63,0.09523809523809523,9.523809523809524,0.40665561757132823,93.65079365079364,0.46387397141733194,88.88888888888889,0.35019238289077365,92.06349206349206
difficulty,easy,favored complexity,Favored Complexity,63,0.015873015873015872,1.5873015873015872,0.4656041022679851,88.88888888888889,0.5507908550162852,90.47619047619048,0.38763647019089675,87.3015873015873
difficulty,easy,fix-oriented,Fix-Oriented,15,0.2,20.0,0.4542103121954682,100.0,0.5339842186401604,100.0,0.3605345131566164,100.0
difficulty,easy,structural-change-bias,Structural Change Bias,50,0.02,2.0,0.4628368462966399,90.0,0.5355574742207793,92.0,0.39233431936708973,88.0
difficulty,easy,unclear,Unclear,18,0.05555555555555555,5.555555555555555,0.4519764268392507,94.44444444444444,0.4956922660742258,94.44444444444444,0.38766923521367364,94.44444444444444
difficulty,easy,vague-commit-message,Vague Commit Message,26,0.07692307692307693,7.6923076923076925,0.49799918376365493,84.61538461538461,0.6173941849268603,92.3076923076923,0.4518458295398988,88.46153846153847
difficulty,easy,simple-commit-message,Simple Commit Message,47,0.06382978723404255,6.382978723404255,0.391655979085038,89.36170212765957,0.4425337786162754,85.1063829787234,0.3140174587504727,89.36170212765957
difficulty,easy,detailed-commit-message,Detailed Commit Message,13,0.0,0.0,0.44102595073388273,100.0,0.4906323328973969,84.61538461538461,0.3663505230890231,92.3076923076923
difficulty,easy,modification-bias,Modification Bias,21,0.09523809523809523,9.523809523809524,0.45009942056554547,90.47619047619048,0.5120619262385554,90.47619047619048,0.35493148956669907,90.47619047619048
difficulty,hard,favored simplicity,Favored Simplicity,57,0.07017543859649122,7.017543859649122,0.35225973799762367,87.71929824561404,0.40870113060203767,78.94736842105263,0.3168366488324645,85.96491228070175
difficulty,hard,favored complexity,Favored Complexity,53,0.018867924528301886,1.8867924528301887,0.39739776659483483,88.67924528301887,0.45183384902743073,83.01886792452831,0.34050871226301305,86.79245283018868
difficulty,hard,structural-change-bias,Structural Change Bias,41,0.04878048780487805,4.878048780487805,0.38436379168426815,85.36585365853658,0.4369404752716131,80.48780487804878,0.32211327501764575,85.36585365853658
difficulty,hard,vague-commit-message,Vague Commit Message,20,0.1,10.0,0.3451414571817857,90.0,0.40875981248389764,85.0,0.316571503504087,90.0
difficulty,hard,simple-commit-message,Simple Commit Message,24,0.041666666666666664,4.166666666666667,0.3159375305240229,79.16666666666667,0.35895040532997086,66.66666666666667,0.2729634425389614,79.16666666666667
difficulty,hard,modification-bias,Modification Bias,36,0.0,0.0,0.4107548145646265,88.88888888888889,0.47028630242805963,83.33333333333333,0.353887233590371,86.11111111111111
difficulty,medium,favored simplicity,Favored Simplicity,28,0.03571428571428571,3.5714285714285716,0.46714259525734797,89.28571428571429,0.5666117373415333,89.28571428571429,0.378354343895421,89.28571428571429
difficulty,medium,favored complexity,Favored Complexity,37,0.02702702702702703,2.7027027027027026,0.49740319051536624,97.29729729729729,0.5756616683793361,94.5945945945946,0.4117809641753452,97.29729729729729
difficulty,medium,structural-change-bias,Structural Change Bias,24,0.041666666666666664,4.166666666666667,0.6478676846722972,100.0,0.7864236684452793,100.0,0.5416553946227136,100.0
difficulty,medium,vague-commit-message,Vague Commit Message,17,0.0,0.0,0.31932516687344015,76.47058823529412,0.37547184448564547,76.47058823529412,0.26632465380863624,82.3529411764706
difficulty,medium,simple-commit-message,Simple Commit Message,18,0.0,0.0,0.5475740982535835,100.0,0.6596340108101894,100.0,0.444579835130211,94.44444444444444
difficulty,medium,modification-bias,Modification Bias,16,0.0625,6.25,0.4799058683382214,93.75,0.5679423490768818,93.75,0.39557942748217856,93.75
