quantitative_metric,complexity_metric,method,n_samples,spearman_r,spearman_p,pearson_r,pearson_p
gt_sloc,cc_total,agent,1100,0.4563964416015149,1.0744668370526664e-57,0.5279556423417416,5.6401402295137225e-80
gt_diff_lines_added,sloc,ground_truth,1100,0.44820602255474096,1.8193502791183747e-55,0.31980021842043344,1.4115413730331965e-27
gt_diff_total_change,sloc,ground_truth,1100,0.44312376546727,4.0982285136783456e-54,0.33098306985333636,1.5641350352485868e-29
gt_loc,h_bugs,agent,1100,0.44188198113242594,8.702277273606712e-54,0.5148767761153644,1.6930703391849796e-75
gt_sloc,h_bugs,agent,1100,0.4378142630561557,1.0033535420467392e-52,0.512881900938463,7.845048607884063e-75
gt_diff_lines_added,lloc,ground_truth,1100,0.4377951135798879,1.0148891524601425e-52,0.27662607158247465,8.99887789620793e-21
gt_diff_lines_added,mi_score,ground_truth,1100,-0.4372723405663455,1.386206695219517e-52,-0.3169781833860981,4.2684278791115336e-27
gt_diff_lines_removed,sloc,bypass,1100,0.4354573716733935,4.0748207864809924e-52,0.25444312149524834,1.0279110651132958e-17
gt_diff_lines_added,cc_total,ground_truth,1100,0.4324123267181986,2.4512828303966874e-51,0.2887180268579223,1.4603811547815245e-22
gt_diff_total_change,lloc,ground_truth,1100,0.4262620391487849,8.695409677459502e-50,0.2957317181572189,1.2179606685942173e-23
gt_diff_total_change,mi_score,bypass,1100,-0.4211951653104717,1.5569987668014702e-48,-0.3219309007682177,6.073426672476408e-28
gt_diff_lines_added,mi_score,bypass,1100,-0.4211939124807825,1.5581004193421582e-48,-0.31972091778257944,1.4563586777835481e-27
gt_diff_total_change,mi_score,ground_truth,1100,-0.4206774843633906,2.0849981117201716e-48,-0.3100671557303577,6.103183336339155e-26
gt_diff_total_change,cc_total,ground_truth,1100,0.4198973030908329,3.234522287605231e-48,0.31409391708952156,1.3065823105474942e-26
gt_diff_lines_removed,h_bugs,bypass,1100,0.41805258296240816,9.093528181383237e-48,0.29420650393525655,2.1028671745878073e-23
gt_diff_lines_removed,cc_total,bypass,1100,0.4156957716454809,3.374549549309493e-47,0.26768475653199547,1.664839948296701e-19
gt_diff_lines_removed,lloc,bypass,1100,0.413015206213266,1.480569336831535e-46,0.24675070810045888,1.0133717984053621e-16
gt_diff_lines_added,h_bugs,ground_truth,1100,0.41213678016901023,2.3967155333052387e-46,0.2831717529192638,9.915605063337484e-22
gt_diff_lines_removed,h_difficulty,bypass,1100,0.4093721093231599,1.0812745579112774e-45,0.22636166580582368,3.010618144986304e-14
gt_diff_total_change,sloc,bypass,1100,0.40852842446190357,1.707619034015399e-45,0.3037273021582267,6.586545825401559e-25
gt_diff_total_change,cc_total,bypass,1100,0.40638114185550855,5.4315048605099794e-45,0.29826327293138777,4.884138290665695e-24
gt_diff_total_change,h_bugs,ground_truth,1100,0.40598760437266834,6.70844671546101e-45,0.3220958351100569,5.687990262304984e-28
bypass_vs_gt_diff_hunks,sloc,ground_truth,1094,-0.4044499143836662,2.6161385265946206e-44,-0.43197020309422757,5.917605398018515e-51
gt_diff_lines_added,mi_score,agent,1100,-0.4039133029256002,2.032101671795989e-44,-0.291203834340791,6.103190449454266e-23
gt_loc,h_difficulty,agent,1100,0.40330939319433806,2.801806624660873e-44,0.2237118394105957,6.069060967049454e-14
gt_diff_lines_removed,sloc,ground_truth,1100,0.4032903291050612,2.830329192247493e-44,0.24034920550541944,6.415125903035158e-16
