quantitative_metric,performance_metric,n_samples,spearman_r,spearman_p,pearson_r,pearson_p
gt_loc,delta_bleu3,1078,0.5030936070850346,3.1427696506799854e-70,0.4355245210965234,3.999268083291586e-51
gt_sloc,delta_bleu3,1078,0.49741360309435445,1.8760547991814596e-68,0.4303263692071777,7.967815701026783e-50
gt_loc,delta_similarity,1078,0.44608092273558125,7.81000255636533e-54,0.41051719799376785,4.4635517386381584e-45
gt_sloc,delta_similarity,1078,0.4394836565511986,3.954060433502498e-52,0.40527460437423873,7.144142055290295e-44
gt_loc,delta_rouge_l,1078,0.39693534801089836,5.317435139525043e-42,0.4272301434632119,4.619395488237127e-49
gt_sloc,delta_rouge_l,1078,0.39241298412529146,5.231027390864804e-41,0.4212396809147172,1.3149295277739832e-47
gt_diff_hunks,delta_bleu3,1078,0.2905043750021102,2.0800095535567162e-22,0.3233141075889041,1.1908524512600443e-27
gt_diff_hunks,delta_similarity,1078,0.2724418031942243,8.429858958630459e-20,0.3031152713429489,2.4087137275612355e-24
agent_vs_gt_diff_total_change,delta_bleu3,1070,0.2440731422339667,5.620361330827922e-16,0.3075123247607346,7.210634295531885e-25
agent_vs_gt_diff_total_change,delta_similarity,1070,0.23560111223656188,5.816152654340834e-15,0.2953020148143118,5.660967392114405e-23
agent_vs_gt_diff_total_change,delta_rouge_l,1070,0.23254209971159984,1.3228073843031315e-14,0.31788006949283903,1.5035249621609195e-26
gt_diff_hunks,delta_rouge_l,1078,0.23204012813859803,1.2074145141930168e-14,0.315834998026734,2.1370795922982613e-26
bypass_vs_gt_diff_total_change,delta_exact_match,1070,0.2191881756469503,4.174252956325813e-13,0.07040484271650614,0.02126932701034872
bypass_vs_gt_diff_lines_added,delta_exact_match,1070,0.21116067948514936,2.9941045405566906e-12,0.07142999242457808,0.019450084216761823
agent_vs_gt_diff_lines_removed,delta_similarity,1070,0.2104600253274868,3.542834085208228e-12,0.28427907540392394,2.435423221833227e-21
agent_vs_gt_diff_lines_removed,delta_rouge_l,1070,0.2069813854742084,8.098686580162192e-12,0.3095002957424222,3.474077162967314e-25
agent_vs_gt_diff_lines_removed,delta_bleu3,1070,0.20378829529449538,1.7079510881152974e-11,0.29755110370225674,2.5742133121640716e-23
agent_vs_bypass_diff_lines_removed,delta_bleu3,1062,0.18293417578574275,1.91042800693593e-09,0.3249792701925472,1.5234033397036572e-27
bypass_vs_gt_diff_lines_removed,delta_exact_match,1070,0.18288698299790931,1.6776308630061932e-09,0.05522849295498455,0.07094365567540506
