analysis,metric,advantage_metric,statistic,value,p_value,n_with,n_without,n
Label vs Advantage,favored_simplicity,delta_exact_match,Mann-Whitney U,-0.15176391344615642,3.224694080690175e-07,444.0,428.0,
Label vs Advantage,favored_complexity,delta_exact_match,Mann-Whitney U,0.06957437842393596,0.019218980878055576,420.0,452.0,
Label vs Advantage,detailed_commit_message,delta_exact_match,Mann-Whitney U,0.06050932307915549,0.09979003223121526,179.0,693.0,
Label vs Advantage,test_oriented,delta_exact_match,Mann-Whitney U,-0.18500940270439686,0.13120897482802257,13.0,859.0,
Label vs Advantage,modification_bias,delta_similarity,Mann-Whitney U,0.040411977282092504,0.1699093310417884,178.0,694.0,
Label vs Advantage,modification_bias,delta_rouge_l,Mann-Whitney U,0.030030527319221734,0.19128711006713972,178.0,694.0,
Label vs Advantage,structural_change_bias,delta_rouge_l,Mann-Whitney U,0.020116122322759278,0.21976011845382992,292.0,580.0,
Label vs Advantage,modification_bias,delta_bleu3,Mann-Whitney U,0.04579856473166266,0.23155314111113745,178.0,694.0,
Label vs Advantage,fix_oriented,delta_bleu3,Mann-Whitney U,0.04663045748198813,0.24007799038988775,79.0,793.0,
Label vs Advantage,structural_change_bias,delta_similarity,Mann-Whitney U,0.027798089195205766,0.25417194612422356,292.0,580.0,
Label vs Advantage,structural_change_bias,delta_bleu3,Mann-Whitney U,0.03485864741180922,0.27029468762772646,292.0,580.0,
Label vs Advantage,feature_oriented,delta_similarity,Mann-Whitney U,0.04422000360610567,0.3090745958318175,52.0,820.0,
Label vs Advantage,feature_oriented,delta_bleu3,Mann-Whitney U,0.04044404021892678,0.31137563780853494,52.0,820.0,
Label vs Advantage,feature_oriented,delta_rouge_l,Mann-Whitney U,0.050680388797495535,0.32152343821628093,52.0,820.0,
Label vs Advantage,fix_oriented,delta_similarity,Mann-Whitney U,0.02782266908979808,0.3502909760793178,79.0,793.0,
Label vs Advantage,favored_simplicity,delta_rouge_l,Mann-Whitney U,0.022173718278942878,0.4541673908178533,444.0,428.0,
Label vs Advantage,favored_simplicity,delta_similarity,Mann-Whitney U,0.019201847225285285,0.492911266935781,444.0,428.0,
Label vs Advantage,detailed_commit_message,delta_rouge_l,Mann-Whitney U,-0.029013209493558734,0.52176210377249,179.0,693.0,
Label vs Advantage,fix_oriented,delta_rouge_l,Mann-Whitney U,0.0013860554898096344,0.5453601495989802,79.0,793.0,
Label vs Advantage,detailed_commit_message,delta_similarity,Mann-Whitney U,-0.02780117622371414,0.5606489836472639,179.0,693.0,
Label vs Advantage,detailed_commit_message,delta_bleu3,Mann-Whitney U,-0.03746945091949344,0.572254405343974,179.0,693.0,
Label vs Advantage,simple_commit_message,delta_exact_match,Mann-Whitney U,0.01753439438899379,0.6209209626301502,198.0,674.0,
