complexity_metric,advantage_metric,n,spearman_r,spearman_p
sloc,delta_bleu3,872,0.7952398645242095,2.926182269258246e-191
sloc,delta_similarity,872,0.7826461349200793,2.6261362788372586e-181
sloc,delta_rouge_l,872,0.7671648928231197,6.003839814752506e-170
cc_total,delta_bleu3,872,0.7103655838919751,7.561383135672626e-135
h_bugs,delta_bleu3,872,0.7048193534240339,7.108730254878072e-132
cc_total,delta_similarity,872,0.6984745523241974,1.4756910661090065e-128
h_bugs,delta_similarity,872,0.6938321195136635,3.4778651513555946e-126
cc_total,delta_rouge_l,872,0.6842030619289879,2.09091521729333e-121
h_bugs,delta_rouge_l,872,0.6800713158739674,2.063547200901126e-119
mi_score,delta_bleu3,872,-0.6779215805447797,2.1840969981624635e-118
mi_score,delta_similarity,872,-0.6727883958756702,5.63505590718328e-116
mi_score,delta_rouge_l,872,-0.6604736906059541,2.1999942177567156e-110
h_difficulty,delta_bleu3,872,0.6474502072570045,9.427856134410753e-105
h_difficulty,delta_similarity,872,0.6357947468475142,6.104346443028233e-100
h_difficulty,delta_rouge_l,872,0.6233189900885724,5.138293469476209e-95
cc_max,delta_bleu3,872,0.5876384748883859,4.314678915086458e-82
cc_max,delta_similarity,872,0.5824710458018975,2.374366535190537e-80
cc_max,delta_rouge_l,872,0.5653046824144896,8.703465696542345e-75
cc_avg,delta_similarity,872,0.35355256963185083,4.506204363323746e-27
cc_avg,delta_bleu3,872,0.3517237447701148,8.596068512903825e-27
cc_avg,delta_rouge_l,872,0.3422808597544578,2.25675513033083e-25
mi_score,delta_exact_match,872,0.1964662212714871,4.9049526877593355e-09
sloc,delta_exact_match,872,-0.18814873080870717,2.1675770207406318e-08
cc_total,delta_exact_match,872,-0.17899151000515298,1.0319724917444352e-07
h_bugs,delta_exact_match,872,-0.15656298503421687,3.3959396872155716e-06
cc_max,delta_exact_match,872,-0.1351029492993058,6.27609200726384e-05
h_difficulty,delta_exact_match,872,-0.13021512712921743,0.00011520087582214968
cc_avg,delta_exact_match,872,-0.07311386137301881,0.03086418632398251
