label,advantage_metric,mean_with,mean_without,diff,n_with,n_without,mann_whitney_u,mann_whitney_p
favored_simplicity,delta_exact_match,0.18468468468468469,0.3364485981308411,-0.15176391344615642,444,428,80596.0,3.224694080690175e-07
favored_complexity,delta_exact_match,0.29523809523809524,0.22566371681415928,0.06957437842393596,420,452,101524.0,0.019218980878055576
detailed_commit_message,delta_exact_match,0.30726256983240224,0.24675324675324675,0.06050932307915549,179,693,65776.5,0.09979003223121526
test_oriented,delta_exact_match,0.07692307692307693,0.2619324796274738,-0.18500940270439686,13,859,4550.5,0.13120897482802257
modification_bias,delta_similarity,0.41295017896713737,0.37253820168504487,0.040411977282092504,178,694,65881.0,0.1699093310417884
modification_bias,delta_rouge_l,0.33367468122209354,0.3036441539028718,0.030030527319221734,178,694,65684.0,0.19128711006713972
structural_change_bias,delta_rouge_l,0.32315422822629136,0.3030381059035321,0.020116122322759278,292,580,88988.0,0.21976011845382992
modification_bias,delta_bleu3,0.47686165340042,0.43106308866875737,0.04579856473166266,178,694,65353.0,0.23155314111113745
fix_oriented,delta_bleu3,0.48281778741354237,0.43618732993155424,0.04663045748198813,79,793,33832.0,0.24007799038988775
structural_change_bias,delta_similarity,0.3992769903197144,0.37147890112450865,0.027798089195205766,292,580,88683.0,0.25417194612422356
structural_change_bias,delta_bleu3,0.46359767584890105,0.42873902843709183,0.03485864741180922,292,580,88550.0,0.27029468762772646
feature_oriented,delta_similarity,0.42237046649378246,0.3781504628876768,0.04422000360610567,52,820,23112.0,0.3090745958318175
feature_oriented,delta_bleu3,0.47844411791389024,0.43800007769496346,0.04044404021892678,52,820,23103.5,0.31137563780853494
feature_oriented,delta_rouge_l,0.3574324023854037,0.30675201358790816,0.050680388797495535,52,820,23066.5,0.32152343821628093
fix_oriented,delta_similarity,0.4060894729515843,0.37826680386178624,0.02782266908979808,79,793,33318.0,0.3502909760793178
favored_simplicity,delta_rouge_l,0.32065766913935,0.29848395086040713,0.022173718278942878,444,428,97799.5,0.4541673908178533
favored_simplicity,delta_similarity,0.39021219545641483,0.37101034823112955,0.019201847225285285,444,428,97566.0,0.492911266935781
detailed_commit_message,delta_rouge_l,0.28671672234757967,0.3157299318411384,-0.029013209493558734,179,693,60098.5,0.52176210377249
fix_oriented,delta_rouge_l,0.3110347225568173,0.30964866706700767,0.0013860554898096344,79,793,32615.0,0.5453601495989802
detailed_commit_message,delta_similarity,0.3586931521818093,0.38649432840552345,-0.02780117622371414,179,693,60275.0,0.5606489836472639
detailed_commit_message,delta_bleu3,0.41063397747039376,0.4481034283898872,-0.03746945091949344,179,693,60326.5,0.572254405343974
simple_commit_message,delta_exact_match,0.2727272727272727,0.2551928783382789,0.01753439438899379,198,674,67896.0,0.6209209626301502
feature_oriented,delta_exact_match,0.23076923076923078,0.26097560975609757,-0.03020637898686679,52,820,20676.0,0.6302302975520482
refactor_oriented,delta_rouge_l,0.34759046048965603,0.3090223371202357,0.03856812336942034,17,855,7763.0,0.6302518272914202
vague_commit_message,delta_exact_match,0.2727272727272727,0.256011315417256,0.016715957310016683,165,707,59302.5,0.6593892639883687
fix_oriented,delta_exact_match,0.27848101265822783,0.2572509457755359,0.02123006688269191,79,793,31988.5,0.6817161959984359
favored_simplicity,delta_bleu3,0.4507801813508365,0.4296559750505163,0.021124206300320192,444,428,96405.0,0.7088240504173582
refactor_oriented,delta_bleu3,0.47736932061006376,0.4396770519193231,0.03769226869074066,17,855,7649.0,0.7110018494555012
simple_commit_message,delta_bleu3,0.43617998572814126,0.4416550751739175,-0.005475089445776238,198,674,65840.0,0.7762643911282378
vague_commit_message,delta_rouge_l,0.3104794005532505,0.30960966757403013,0.0008697329792203834,165,707,59108.5,0.788761075916818
test_oriented,delta_bleu3,0.47520433201017576,0.43988533355676374,0.03531899845341202,13,859,5816.0,0.7968724153346254
simple_commit_message,delta_rouge_l,0.3085942059237874,0.3101208950937919,-0.001526689170004536,198,674,65941.0,0.8012143849255975
refactor_oriented,delta_similarity,0.4036478806032687,0.3803329004155744,0.023314980187694345,17,855,7504.0,0.8184781439619979
refactor_oriented,delta_exact_match,0.23529411764705882,0.2596491228070175,-0.024355005159958698,17,855,7090.5,0.8210810337701222
favored_complexity,delta_similarity,0.38364970819936345,0.3781278017297322,0.005521906469631244,420,452,95713.0,0.8311320191308548
simple_commit_message,delta_similarity,0.3812786841857386,0.38064312219109114,0.0006355619946474822,198,674,66081.0,0.8361313366142329
test_oriented,delta_rouge_l,0.3433031201379356,0.3092668166523079,0.03403630348562775,13,859,5766.5,0.839542945989981
modification_bias,delta_exact_match,0.2640449438202247,0.2579250720461095,0.006119871774115215,178,694,62144.0,0.8682207873145167
favored_complexity,delta_rouge_l,0.30758562866387895,0.3118079027152578,-0.0042222740513788715,420,452,95510.5,0.8738577940685008
test_oriented,delta_similarity,0.3799625726837253,0.3807999189530654,-0.0008373462693401224,13,859,5481.5,0.910338866302108
favored_complexity,delta_bleu3,0.44210489172765527,0.43883872414994934,0.003266167577705925,420,452,95292.5,0.9202652020815971
vague_commit_message,delta_similarity,0.373906004322539,0.38239342731591613,-0.008487422993377125,165,707,58148.0,0.9510050058072692
structural_change_bias,delta_exact_match,0.2602739726027397,0.25862068965517243,0.0016532829475672806,292,580,84820.0,0.9582382199661664
vague_commit_message,delta_bleu3,0.43363744612746313,0.44199289848707346,-0.008355452359610327,165,707,58269.0,0.9841155848995322
