model,n_instances,mean_delta_exact_match,std_delta_exact_match,win_rate_exact_match,mean_delta_similarity,std_delta_similarity,win_rate_similarity,mean_delta_bleu3,std_delta_bleu3,win_rate_bleu3,mean_delta_rouge_l,std_delta_rouge_l,win_rate_rouge_l
qwen3-32b,1888,0.11334745762711865,0.317101041496516,0.11334745762711865,0.3189104921663928,0.25954665011379197,0.9560381355932204,0.2956680200628929,0.2741268859527219,0.9348516949152542,0.2788463976059675,0.2525558417456783,0.9597457627118644
Llama-3.1-8B-Instruct,1888,0.11917372881355932,0.3240786630915359,0.11917372881355932,0.3852032119944336,0.3343575691313938,0.9046610169491526,0.4456679691925076,0.3997621439821823,0.8797669491525424,0.3146422088724133,0.30894923298435806,0.8967161016949152
gpt-5-nano,1888,0.017478813559322032,0.3057679041521762,0.055614406779661014,-0.012906971850092486,0.2032012672560673,0.5127118644067796,-0.028990395165318532,0.21651009138365807,0.3961864406779661,-0.014753662155722378,0.18011778030187262,0.4692796610169492
