bucket,n,mean_delta,ci_low,ci_high,std_delta,median_delta,win_rate,wins,losses,characteristic,metric,granularity,model
easy,877,0.1619156214367161,0.1379703534777651,0.18702964652223472,0.3683733879794768,0.0,0.1619156214367161,142,0,difficulty,exact_match,file,Llama-3.1-8B-Instruct
hard,633,0.16429699842022116,0.13428120063191154,0.19273301737756715,0.3705448619672482,0.0,0.16429699842022116,104,0,difficulty,exact_match,file,Llama-3.1-8B-Instruct
medium,378,0.09523809523809523,0.06613756613756613,0.12433862433862433,0.29354352395090366,0.0,0.09523809523809523,36,0,difficulty,exact_match,file,Llama-3.1-8B-Instruct
easy,877,0.3903750019889058,0.3658312284748823,0.41499350261344753,0.36250255418302424,0.37901570165018983,0.9007981755986317,790,87,difficulty,similarity,file,Llama-3.1-8B-Instruct
hard,633,0.3441867785073134,0.31631738648125257,0.3718461456602716,0.35848239556379485,0.31083388049901517,0.8499210110584519,538,95,difficulty,similarity,file,Llama-3.1-8B-Instruct
medium,378,0.43599697413371763,0.40117229720744396,0.4704659351941701,0.34441560751326006,0.483316236239854,0.8994708994708994,340,38,difficulty,similarity,file,Llama-3.1-8B-Instruct
easy,877,0.4540551560171078,0.42466659401318907,0.4829328145305216,0.42770283231707745,0.43677101924506867,0.8768529076396807,769,108,difficulty,bleu3,file,Llama-3.1-8B-Instruct
hard,633,0.388926497600092,0.3556186417068372,0.4214118029201286,0.4284698918349015,0.3182429121790916,0.8214849921011058,520,113,difficulty,bleu3,file,Llama-3.1-8B-Instruct
medium,378,0.5120663023650599,0.46975190347598705,0.5537202897695531,0.41671975676887657,0.5956393658335498,0.8703703703703703,329,49,difficulty,bleu3,file,Llama-3.1-8B-Instruct
easy,877,0.3222443444060133,0.30012591356182405,0.3450263546933344,0.3333444642254765,0.25004729449698293,0.8893956670467503,780,97,difficulty,rouge_l,file,Llama-3.1-8B-Instruct
hard,633,0.27881190440761794,0.2535449705158012,0.30408530585394483,0.32783643194293527,0.2178002894356006,0.8530805687203792,540,93,difficulty,rouge_l,file,Llama-3.1-8B-Instruct
medium,378,0.35356845451611574,0.3202235238152414,0.3859437286019325,0.3251097992537392,0.3486922934707114,0.8994708994708994,340,38,difficulty,rouge_l,file,Llama-3.1-8B-Instruct
huge,97,0.10309278350515463,0.05154639175257732,0.16494845360824742,0.30408002481964175,0.0,0.10309278350515463,10,0,project_size,exact_match,file,Llama-3.1-8B-Instruct
large,600,0.145,0.11833333333333333,0.17333333333333334,0.35210083782916507,0.0,0.145,87,0,project_size,exact_match,file,Llama-3.1-8B-Instruct
medium,1088,0.15073529411764705,0.12959558823529413,0.17095588235294118,0.3577906723559371,0.0,0.15073529411764705,164,0,project_size,exact_match,file,Llama-3.1-8B-Instruct
small,103,0.20388349514563106,0.1262135922330097,0.2912621359223301,0.40288337711158106,0.0,0.20388349514563106,21,0,project_size,exact_match,file,Llama-3.1-8B-Instruct
huge,97,0.4463371487463379,0.3638365651009464,0.5301112653347801,0.39470894472527174,0.5224112435316658,0.8865979381443299,86,11,project_size,similarity,file,Llama-3.1-8B-Instruct
large,600,0.40829285445253255,0.3795409063777567,0.4362752248986211,0.3497261925185164,0.42675039054344077,0.9016666666666666,541,59,project_size,similarity,file,Llama-3.1-8B-Instruct
medium,1088,0.3832102879161613,0.3618608270596384,0.40388234729895095,0.3599940008433219,0.3847347433513519,0.8823529411764706,960,128,project_size,similarity,file,Llama-3.1-8B-Instruct
small,103,0.1925510136820122,0.13312816819643658,0.2532510908018939,0.30349824552244364,0.06382252559726964,0.7864077669902912,81,22,project_size,similarity,file,Llama-3.1-8B-Instruct
huge,97,0.4992434641596047,0.40451513919292154,0.595935875777396,0.46368582926202767,0.6199265772255826,0.845360824742268,82,15,project_size,bleu3,file,Llama-3.1-8B-Instruct
