stratify_by,stratum,label,display_name,n_samples,delta_exact_match,bypass_win_rate_exact_match,delta_similarity,bypass_win_rate_similarity,delta_bleu3,bypass_win_rate_bleu3,delta_rouge_l,bypass_win_rate_rouge_l
project_size,huge,favored simplicity,Favored Simplicity,27,0.1111111111111111,11.11111111111111,0.4337739746813775,85.18518518518519,0.49380086402420537,81.48148148148148,0.38529919921729133,85.18518518518519
project_size,huge,favored complexity,Favored Complexity,19,0.21052631578947367,21.05263157894737,0.4263872483934903,89.47368421052632,0.4831267096304345,89.47368421052632,0.3568940140268172,89.47368421052632
project_size,huge,structural-change-bias,Structural Change Bias,13,0.15384615384615385,15.384615384615385,0.4856643475807917,84.61538461538461,0.592079662248372,92.3076923076923,0.4100810357339365,84.61538461538461
project_size,huge,simple-commit-message,Simple Commit Message,12,0.16666666666666666,16.666666666666668,0.5559734915824242,100.0,0.6321042906628995,91.66666666666667,0.49446426081143263,100.0
project_size,huge,modification-bias,Modification Bias,11,0.36363636363636365,36.36363636363637,0.44604540236645857,90.9090909090909,0.49535181629258457,100.0,0.3725906934022786,90.9090909090909
project_size,large,favored simplicity,Favored Simplicity,143,0.1958041958041958,19.58041958041958,0.46180125272615746,92.3076923076923,0.5383561237587646,88.81118881118881,0.3827461564760725,93.00699300699301
project_size,large,favored complexity,Favored Complexity,116,0.2672413793103448,26.724137931034484,0.39758002131517634,89.65517241379311,0.46526776826141925,85.34482758620689,0.3230660986246629,88.79310344827586
project_size,large,feature-oriented,Feature-Oriented,16,0.0625,6.25,0.6285214846869779,93.75,0.6815657818345091,93.75,0.5625329776894841,93.75
project_size,large,fix-oriented,Fix-Oriented,29,0.27586206896551724,27.586206896551722,0.42535181520509846,93.10344827586206,0.5044722194180286,93.10344827586206,0.31429070896302036,89.65517241379311
project_size,large,structural-change-bias,Structural Change Bias,80,0.2625,26.25,0.3996973069024315,86.25,0.469425440150523,83.75,0.3284537696159913,88.75
project_size,large,unclear,Unclear,33,0.24242424242424243,24.242424242424242,0.33187419176729105,87.87878787878788,0.40680671330372115,81.81818181818181,0.2798771429090408,78.78787878787878
project_size,large,vague-commit-message,Vague Commit Message,53,0.24528301886792453,24.528301886792452,0.3994655959075133,92.45283018867924,0.4670301212846266,88.67924528301887,0.34409189574491644,92.45283018867924
project_size,large,simple-commit-message,Simple Commit Message,63,0.31746031746031744,31.746031746031747,0.40821504526986635,90.47619047619048,0.4667917513151871,85.71428571428571,0.33335149606232567,87.3015873015873
project_size,large,detailed-commit-message,Detailed Commit Message,48,0.2708333333333333,27.083333333333332,0.3248799759761276,87.5,0.38222326993139166,85.41666666666667,0.27343460169419287,87.5
project_size,large,modification-bias,Modification Bias,46,0.30434782608695654,30.434782608695652,0.4802590913634569,97.82608695652173,0.5731594545717643,91.30434782608695,0.4048102922851681,95.65217391304348
project_size,medium,favored simplicity,Favored Simplicity,251,0.18725099601593626,18.725099601593627,0.37205030650834614,87.64940239043824,0.4279278927579121,84.06374501992032,0.3030611314626798,88.44621513944223
project_size,medium,favored complexity,Favored Complexity,255,0.30980392156862746,30.980392156862745,0.39187392870728127,91.37254901960785,0.4502232972951224,90.19607843137256,0.31354518356178485,92.54901960784314
project_size,medium,misprioritization,Misprioritization,16,0.25,25.0,0.31444543974383554,81.25,0.3540667488074305,81.25,0.2630062267638065,81.25
project_size,medium,feature-oriented,Feature-Oriented,29,0.3103448275862069,31.03448275862069,0.334205803910317,82.75862068965517,0.39868553378819593,86.20689655172414,0.2732697871591388,89.65517241379311
project_size,medium,fix-oriented,Fix-Oriented,41,0.2926829268292683,29.26829268292683,0.4139313667203097,90.2439024390244,0.4917574376113701,90.2439024390244,0.3245511153356628,90.2439024390244
project_size,medium,structural-change-bias,Structural Change Bias,178,0.25842696629213485,25.84269662921348,0.4171965307978689,92.69662921348315,0.48269181054649196,91.57303370786516,0.3360668557578407,92.69662921348315
project_size,medium,unclear,Unclear,48,0.2916666666666667,29.166666666666668,0.24554869625507267,79.16666666666667,0.27771425979121606,75.0,0.1806675389131112,81.25
project_size,medium,vague-commit-message,Vague Commit Message,96,0.28125,28.125,0.37165681943335743,89.58333333333333,0.4289539620034073,88.54166666666667,0.3015863638378941,90.625
project_size,medium,simple-commit-message,Simple Commit Message,110,0.2727272727272727,27.272727272727273,0.37490257937455157,89.0909090909091,0.429661464560101,86.36363636363636,0.29967854197439986,90.0
project_size,medium,detailed-commit-message,Detailed Commit Message,111,0.3063063063063063,30.63063063063063,0.3660763952972652,88.28828828828829,0.41341016968771416,87.38738738738739,0.2857240727786321,89.1891891891892
project_size,medium,refactor-oriented,Refactor-Oriented,11,0.18181818181818182,18.181818181818183,0.4057960611169326,100.0,0.4926312209192,100.0,0.3597165445315099,100.0
