method,complexity_metric,performance_metric,n_samples,pearson_r,pearson_p,spearman_r,spearman_p
bypass,mi_score,exact_match,6315,0.10006668350812023,1.581182057027877e-15,0.09993489099742439,1.7220122469408778e-15
bypass,lloc,exact_match,6315,-0.08451599345125736,1.7326984681936855e-11,-0.09970925592286624,1.992336775479695e-15
bypass,cc_total,exact_match,6315,-0.07886792234849639,3.4754680608105133e-10,-0.09897032183971746,3.204490172352352e-15
bypass,sloc,exact_match,6315,-0.09039990545380405,6.1495727581683e-13,-0.09837617883271742,4.6839307094649656e-15
agent,lloc,exact_match,6315,-0.06666293859475908,1.1432019517851575e-07,-0.09445533068557022,5.418710015200329e-14
agent,sloc,exact_match,6315,-0.06386100037959432,3.79385869969502e-07,-0.08838185922537195,1.9809251169836305e-12
bypass,cc_count,exact_match,6315,-0.06776515318245223,7.037062847328738e-08,-0.08820086527047938,2.1972654274644123e-12
bypass,h_bugs,exact_match,6315,-0.06852740566949712,5.008852227135074e-08,-0.08776966849021713,2.8103497859366483e-12
bypass,h_effort,exact_match,6315,-0.06114193586086995,1.1599904194720955e-06,-0.08618936018632246,6.856188940661797e-12
bypass,cc_max,exact_match,6315,-0.10529816343185944,4.88626465890854e-17,-0.08467575499574909,1.5871355667895308e-11
agent,mi_score,exact_match,6315,0.07920364230835215,2.9244675055992187e-10,0.07811203607548993,5.113003373505778e-10
bypass,h_difficulty,exact_match,6315,-0.08493920139325534,1.3728378806315429e-11,-0.07598955890769178,1.4829453161561254e-09
agent,mi_score,bleu3,6315,0.06260147358407078,6.402987063935367e-07,0.07152523739650694,1.2699668350221101e-08
agent,cc_total,exact_match,6315,-0.051291813053262816,4.5447727871342924e-05,-0.0695245672296553,3.193084181461932e-08
agent,h_bugs,exact_match,6315,-0.04613592658934964,0.00024492440547566556,-0.06601918830055356,1.5124640552677698e-07
agent,h_effort,exact_match,6315,-0.03405898662716274,0.00679322884920417,-0.06422135394417436,3.2603590622749436e-07
agent,cc_count,exact_match,6315,-0.038411832588401786,0.0022657009401718434,-0.06410215051908734,3.428274872888083e-07
agent,h_difficulty,exact_match,6315,-0.0667317287048219,1.109345798248446e-07,-0.059503944504775114,2.224770007848552e-06
