scope,proxy,metric,n_proxy_positive,n_proxy_negative,mean_proxy_positive,mean_proxy_negative,mean_difference_positive_minus_negative,diff_ci_low,diff_ci_high,mannwhitney_p
all_labeled,fm3_narrow_proxy,bypass_exact_match,110,968,0.2818181818181818,0.20144628099173553,0.08037190082644627,-0.004545454545454547,0.17025309917355372,0.04985598077083362
all_labeled,fm3_narrow_proxy,bypass_similarity,110,968,0.8935156453556775,0.9052856290046214,-0.011769983648943882,-0.06076237644952835,0.028129098293331684,0.048767176147895205
all_labeled,fm3_narrow_proxy,bypass_bleu3,110,968,0.8993129044427736,0.9112079922313644,-0.01189508778859083,-0.05924794133014421,0.02681647027063151,0.08145275115244192
all_labeled,fm3_narrow_proxy,bypass_rouge_l,110,968,0.9135491581098455,0.9328109181468299,-0.019261760036984432,-0.06535883074171836,0.017873357196700843,0.07719705267757825
all_labeled,fm3_narrow_proxy,force_mix_exact_match_mean,9,81,0.007936507936507936,0.015652557319223985,-0.007716049382716049,-0.04012896825396825,0.015884038800705408,0.34638043362649396
all_labeled,fm3_narrow_proxy,force_mix_similarity_mean,9,81,0.614285522640892,0.5139473306329291,0.1003381920079629,-0.0546938094154608,0.2526610551975598,0.33286258593365436
all_labeled,fm3_narrow_proxy,force_mix_bleu3_mean,9,81,0.5579751070819804,0.44791858755199143,0.11005651952998896,-0.1135645604986954,0.3356436162406453,0.2941420698143332
all_labeled,fm3_narrow_proxy,force_mix_rouge_l_mean,9,81,0.7260379802975007,0.6147798898787762,0.11125809041872448,-0.015014361274228057,0.23231307148227612,0.2642822147136463
all_labeled,fm3_medium_proxy,bypass_exact_match,308,770,0.262987012987013,0.18831168831168832,0.07467532467532467,0.018831168831168837,0.13311688311688313,0.00653583056579793
all_labeled,fm3_medium_proxy,bypass_similarity,308,770,0.8972891863475465,0.906802779831888,-0.009513593484341443,-0.036836682307235594,0.015405774324730673,0.1715006791587631
all_labeled,fm3_medium_proxy,bypass_bleu3,308,770,0.9039785470492866,0.9124004720486825,-0.008421924999395869,-0.03599298610519534,0.01627460404520157,0.2922458619912506
all_labeled,fm3_medium_proxy,bypass_rouge_l,308,770,0.923418670360389,0.9338161372561226,-0.01039746689573351,-0.03495129931559626,0.011585707036182712,0.2218327395359625
all_labeled,fm3_medium_proxy,force_mix_exact_match_mean,24,66,0.008928571428571428,0.017045454545454544,-0.008116883116883116,-0.04331033549783549,0.018939393939393936,0.3007327604603829
all_labeled,fm3_medium_proxy,force_mix_similarity_mean,24,66,0.5528150067179897,0.5134961109667202,0.039318895751269456,-0.08381791607425129,0.16203946115719167,0.5809408335346048
all_labeled,fm3_medium_proxy,force_mix_bleu3_mean,24,66,0.4715666004692562,0.4543270173361664,0.017239583133089764,-0.14813218594145128,0.17526129951101016,0.6254436161049118
all_labeled,fm3_medium_proxy,force_mix_rouge_l_mean,24,66,0.6630767863328831,0.6123889398616542,0.050687846471228926,-0.05727806953837202,0.15633631791542252,0.6061876929553456
all_labeled,fm3_broad_proxy,bypass_exact_match,680,398,0.2338235294117647,0.16834170854271358,0.06548182086905113,0.01731303576707065,0.1124285028081584,0.010847619374833745
all_labeled,fm3_broad_proxy,bypass_similarity,680,398,0.9105035509572992,0.8931175759161673,0.01738597504113193,-0.004891419352757923,0.03928399044822021,0.019020740941586307
all_labeled,fm3_broad_proxy,bypass_bleu3,680,398,0.9141272357995223,0.9029327528266098,0.011194482972912478,-0.011192861571572255,0.03328851618913953,0.036170824074463016
all_labeled,fm3_broad_proxy,bypass_rouge_l,680,398,0.9362638899262015,0.9215877663527572,0.014676123573444277,-0.0048668802758112025,0.034051361323926936,0.01458028617226204
all_labeled,fm3_broad_proxy,force_mix_exact_match_mean,63,27,0.003401360544217687,0.041666666666666664,-0.03826530612244898,-0.11923894557823128,0.005668934240362811,0.3681161203612735
all_labeled,fm3_broad_proxy,force_mix_similarity_mean,63,27,0.49472940946463706,0.5922352106949312,-0.09750580123029418,-0.22674949799285118,0.03500711722719291,0.14385332399791287
all_labeled,fm3_broad_proxy,force_mix_bleu3_mean,63,27,0.4157258454559836,0.5597204922860061,-0.14399464683002244,-0.2987387713666781,0.015432826242465938,0.09434050709610126
all_labeled,fm3_broad_proxy,force_mix_rouge_l_mean,63,27,0.5952088555889281,0.697531666694663,-0.10232281110573493,-0.21736524171110383,0.016656858925253287,0.07974336261173176
bypass7_mix_instances,fm3_narrow_proxy,bypass_exact_match,1,2,0.0,0.0,0.0,0.0,0.0,
