source,model,outcome,method,n_samples,sloc_mean,sloc_std,lloc_mean,lloc_std,cc_total_mean,cc_total_std,cc_avg_mean,cc_avg_std,cc_max_mean,cc_max_std,mi_score_mean,mi_score_std,h_difficulty_mean,h_difficulty_std,h_bugs_mean,h_bugs_std
2025-11-09-gpt5nano-failure,gpt5nano,failure,agent,311,478.3086816720257,696.0255843614341,323.09003215434086,558.3652737812745,85.7717041800643,184.0653880221145,3.8178004334647673,4.051003348274874,14.553054662379422,16.73212812545612,43.14930574129041,29.44704411838074,5.3426201431217475,4.444417090315615,0.4096407823598766,1.2055989951012758
2025-11-09-gpt5nano-failure,gpt5nano,failure,bypass,305,513.1147540983607,775.4162103594298,342.4065573770492,629.1045421524624,108.48196721311476,223.4849735236223,4.370844258684862,4.283531469037541,17.81639344262295,22.047773938295162,47.19089349848979,29.060953839101586,6.082825679293939,4.519646168647568,0.5629463889982413,1.5304982449587217
2025-11-09-gpt5nano-failure,gpt5nano,failure,ground_truth,312,522.4839743589744,764.335522358563,349.3173076923077,620.3697051096293,109.23717948717949,220.28761124471654,4.338346917816145,4.288261175872084,18.102564102564102,22.437961484741276,44.04472349541179,28.7727660215731,6.126598227390675,4.603354037520983,0.5637453113357346,1.4905698369680676
2025-11-11-gpt5nano-pass,gpt5nano,pass,agent,110,313.92727272727274,489.50024522472154,204.9090909090909,272.95752082233946,46.9,62.97311935634036,3.42065037476462,3.179074367919942,9.463636363636363,10.296233632863949,57.06847747356844,27.77089694774321,4.256013130714055,4.024911755231524,0.2122301829653484,0.37158000385489337
2025-11-11-gpt5nano-pass,gpt5nano,pass,bypass,112,360.9107142857143,585.3833356134248,239.28571428571428,364.20062851689016,73.52678571428571,129.6357307978213,3.527554616230742,3.1024829958949347,10.303571428571429,10.374812956711262,56.328204506927634,28.024408248707775,4.903696275360123,4.422578783595489,0.35592676130077455,0.8111448945974208
2025-11-11-gpt5nano-pass,gpt5nano,pass,ground_truth,112,362.4017857142857,586.4330942663762,239.99107142857142,363.83397598592217,73.52678571428571,129.98343344347953,3.5435498915872046,3.165481964808825,10.482142857142858,10.841181198615296,55.969150480938914,28.556201162358573,4.901378606610168,4.413857674166218,0.3560798240632737,0.8120905479738977
2025-11-23-qwen3-failure,qwen3,failure,agent,309,454.3268608414239,484.80693702930563,309.8608414239482,325.5561525975126,61.737864077669904,80.49045613729156,3.567612889907135,5.335254830113279,12.368932038834952,17.631688354929775,36.51303576699162,31.709094477080033,4.795074124627621,4.738547370483502,0.3143836120552123,0.5364285577290213
2025-11-23-qwen3-failure,qwen3,failure,bypass,307,570.8729641693811,774.9783299639636,390.76221498371336,637.9866760591985,119.91530944625407,225.52402157495013,4.609146105482492,5.054683525519963,18.76872964169381,23.340795711786416,42.792143502740146,28.802850523296804,6.791775495168731,4.652902400827215,0.6596305158603403,1.5691893930218859
2025-11-23-qwen3-failure,qwen3,failure,ground_truth,309,584.7799352750809,793.8836502382325,399.84789644012943,650.4327476818216,120.78964401294499,232.52055716171623,4.486954451293266,5.204102070918201,18.24271844660194,22.82818348921402,40.770184443764165,29.25298630277012,6.614313492234876,4.781142203957999,0.6676715355667858,1.6260164026697737
2025-12-03-qwen3-pass,qwen3,pass,agent,181,261.7955801104972,316.1849444414885,179.88950276243094,212.36069669387257,40.67403314917127,64.35136914522924,3.1738576472852458,3.6283782547706114,9.591160220994475,14.812484572210174,47.1254265424674,29.904697026992043,3.741793734901958,3.8427708925023953,0.1878669039896156,0.4128601755020124
2025-12-03-qwen3-pass,qwen3,pass,bypass,180,299.68888888888887,410.864877255147,200.74444444444444,251.10388960903137,56.22222222222222,79.40515972959305,3.804847367073732,3.4301286578308687,11.61111111111111,14.61589740177091,54.6221128018115,23.983405072393605,4.771854714906493,3.945181553264879,0.25764563779349575,0.5104442776904362
2025-12-03-qwen3-pass,qwen3,pass,ground_truth,181,299.9779005524862,411.4753530596551,200.8342541436464,251.21335584213747,56.033149171270715,79.52168820534197,3.7524211167394728,3.5040902968870946,11.646408839779005,14.953515039345147,54.11004947235704,24.714576808304354,4.748810296095935,3.9461287852745253,0.25657997571821056,0.5098165225865354
2026-01-23-llama-pass,llama,pass,agent,183,158.62295081967213,218.06553334491687,103.84699453551913,130.51789730011293,17.295081967213115,33.73181769680678,1.5471888024686404,2.299220333463527,4.005464480874317,6.356183515009516,30.15078011221929,34.01343806951369,2.2364970139493656,3.4562047413820673,0.07535055776202232,0.17094782392706198
2026-01-23-llama-pass,llama,pass,bypass,183,272.27322404371586,364.64057524399794,183.9016393442623,233.5895271520108,52.52459016393443,82.29802580464552,3.4338694533219556,2.7387914896169243,10.37704918032787,11.113545740992315,57.52247245602733,24.43886279894858,4.877791844259114,3.967987321546524,0.2512037390145869,0.4752754329486542
2026-01-23-llama-pass,llama,pass,ground_truth,186,267.64516129032256,361.6083036944598,179.30645161290323,231.5778723997151,51.376344086021504,81.92592751708716,3.3104317807774177,2.6268827829450334,10.134408602150538,11.085329917421843,58.15332391178947,24.789435241276884,4.71623959948956,3.966191444341402,0.24409065534135102,0.47276602165792336
