method,complexity_metric,performance_metric,n_samples,pearson_r,pearson_p,spearman_r,spearman_p
bypass,sloc,bleu3,4316,0.15171737979798175,1.2145826732288853e-23,0.20872875117261483,1.0811919804779542e-43
bypass,lloc,bleu3,4316,0.12993770416180403,1.032110719047161e-17,0.19972272550774117,4.455054337900508e-40
bypass,sloc,rouge_l,4316,0.14176765922193993,8.109985077363108e-21,0.19908643310334537,7.902808304259284e-40
bypass,lloc,rouge_l,4316,0.12280722680157392,5.665499399490264e-16,0.19355056043447683,1.0658200350679457e-37
bypass,sloc,similarity,4316,0.14750651141055446,2.0126480215077354e-22,0.1921330355758271,3.653997975631811e-37
bypass,lloc,similarity,4316,0.12622479886564328,8.547091877180173e-17,0.1869075371987296,3.156302316785686e-35
bypass,h_bugs,bleu3,4316,0.08871077469496505,5.289747653262678e-09,0.18174350357660915,2.2765709689859472e-33
bypass,cc_total,bleu3,4316,0.10897982846693094,7.028253554731753e-13,0.1799402611883646,9.84410326057717e-33
bypass,h_effort,bleu3,4316,0.07161050474753168,2.4865816643627385e-06,0.17823807513763087,3.866424433503673e-32
bypass,h_bugs,rouge_l,4316,0.08018971224363128,1.326580318415958e-07,0.17619877698938977,1.9556603493028878e-31
bypass,cc_total,rouge_l,4316,0.10284801631076022,1.2636598964076959e-11,0.1759992897585573,2.289293239963337e-31
bypass,h_effort,rouge_l,4316,0.06337114327098367,3.096787441871905e-05,0.17283785116621966,2.7100323211595443e-30
bypass,cc_total,similarity,4316,0.10230235132532409,1.621171651262234e-11,0.17164751367920708,6.78895239601232e-30
bypass,h_bugs,similarity,4316,0.07874760842713135,2.2192051452251078e-07,0.1706868996603783,1.417620670398717e-29
bypass,h_difficulty,bleu3,4316,0.18273904977422414,1.007736026976563e-33,0.16922592258529345,4.308035588010884e-29
bypass,h_effort,similarity,4316,0.0627053864259102,3.749880707903549e-05,0.16746082074658353,1.6282099356985467e-28
bypass,h_difficulty,rouge_l,4316,0.1851308699635652,1.3952873797736471e-34,0.16440792020713973,1.5687364381639767e-27
bypass,cc_count,bleu3,4316,0.10789391970931002,1.1865327390883043e-12,0.16340300017007914,3.275542967097864e-27
bypass,cc_count,similarity,4316,0.11013961060442906,3.994453105792234e-13,0.16107247225704238,1.7740027258893264e-26
bypass,cc_count,rouge_l,4316,0.10519527175316795,4.263352348742774e-12,0.16091750494839033,1.98313360079346e-26
bypass,h_difficulty,similarity,4316,0.18545652513605138,1.0637450728386395e-34,0.16018380042998437,3.3561354498434383e-26
bypass,cc_max,bleu3,4316,0.13022192121377077,8.756748057857051e-18,0.1544523263454106,1.8774773593455127e-24
bypass,cc_max,rouge_l,4316,0.11760193340004069,9.140292482323358e-15,0.1541639960818963,2.2896106493447195e-24
bypass,cc_max,similarity,4316,0.11541879567259908,2.831075983597962e-14,0.14831685802833414,1.1799152691541043e-22
bypass,mi_score,bleu3,4316,-0.09707601785204437,1.6503820681908987e-10,-0.13447593409423478,7.162849113045684e-19
bypass,mi_score,rouge_l,4316,-0.07730279348093208,3.683167154145499e-07,-0.126959311734121,5.653540279892028e-17
bypass,mi_score,similarity,4316,-0.10101986546208136,2.89672771620731e-11,-0.12272316329662082,5.931411582603112e-16
agent,mi_score,exact_match,4316,0.1046835213359189,5.414059994674974e-12,0.09634109108370784,2.2654552588740914e-10
bypass,cc_avg,rouge_l,4316,0.10754017711336844,1.4056648613338673e-12,0.08666000495275213,1.1818778809494631e-08
agent,mi_score,bleu3,4316,0.0759484487037041,5.874427778270943e-07,0.08294410839376831,4.843966449712891e-08
bypass,cc_avg,bleu3,4316,0.0970597197829742,1.6620587862077674e-10,0.07999791505351263,1.4212680560769415e-07
bypass,cc_avg,similarity,4316,0.10169809750359449,2.132977886045146e-11,0.07721905643057761,3.791883877526725e-07
agent,lloc,exact_match,4316,-0.05681951734371068,0.00018788947951988919,-0.07464787223366638,9.130101686391433e-07
agent,cc_avg,rouge_l,4316,0.05695506157536531,0.000181337159625086,0.06006611995046123,7.862848929225621e-05
agent,sloc,exact_match,4316,-0.05485026329798946,0.0003119991510977148,-0.06001205495940637,7.980599522792367e-05
agent,cc_avg,similarity,4316,0.05137687138410056,0.0007340874302919814,0.05918746164416844,9.99636206238207e-05
agent,mi_score,similarity,4316,0.04322952513255605,0.004503951321849587,0.05818820734451601,0.00013083482243792752
agent,mi_score,rouge_l,4316,0.03629129156933926,0.017111772172539216,0.05448997040090503,0.00034174259223455623
agent,cc_avg,bleu3,4316,0.041988053141379975,0.005800051710963951,0.051874328575878675,0.0006513980087561586
agent,cc_max,rouge_l,4316,0.028130475752005172,0.06461714224450177,0.05128104634549464,0.0007510952793350991
bypass,lloc,exact_match,4316,-0.03313558702249549,0.029491635921862613,-0.05113638706360823,0.0007774647264791695
agent,cc_max,similarity,4316,0.02345206046395849,0.12344376242262267,0.049330281966256107,0.0011875629570749628
bypass,mi_score,exact_match,4316,0.042371556811102364,0.005367693780654601,0.04755643350940384,0.0017771832294667168
bypass,sloc,exact_match,4316,-0.03197019862195702,0.035706742198923974,-0.047440607095257645,0.001823774240517344
agent,cc_total,exact_match,4316,-0.041647697328592886,0.00620978925130575,-0.045594994672786375,0.002734463375771507
agent,cc_count,exact_match,4316,-0.03321158422095273,0.029120820106961782,-0.042412031197967985,0.005323804218458207
bypass,cc_total,exact_match,4316,-0.02281074061330794,0.13404455805671073,-0.04097975106964121,0.007090407256305837
agent,cc_max,bleu3,4316,0.004413148352590341,0.7719349569843157,0.03960730605495174,0.009259549597002077
bypass,cc_count,exact_match,4316,-0.011097863879127232,0.46606312306432096,-0.03906430006685854,0.010269653758266013
agent,h_bugs,exact_match,4316,-0.03505302358579877,0.021284832794074553,-0.03896796332384666,0.010458764022684286
agent,h_difficulty,rouge_l,4316,0.029700368963670665,0.05104887583425473,0.03891792100504352,0.010558214825640545
agent,h_bugs,rouge_l,4316,-0.04695991528551724,0.0020293699201368643,0.03807811255164112,0.012357325249013847
agent,h_effort,exact_match,4316,-0.02606088018133233,0.08691556919784137,-0.037889357009788786,0.012797249194087071
agent,h_effort,rouge_l,4316,-0.05180966332858566,0.0006616343367660066,0.037479626626552555,0.013800156688134618
