method,complexity_metric,performance_metric,n_samples,pearson_r,pearson_p,spearman_r,spearman_p
agent,lloc,bleu3,4316,-0.07823108607598489,2.662561029242683e-07,-0.037470133598263816,0.013824193255447082
agent,h_difficulty,similarity,4316,0.015750988441166756,0.30088115144766414,0.03601136309306527,0.01798657766266315
agent,cc_count,rouge_l,4316,-0.031182831750922912,0.04051098395297107,0.035720055278064676,0.01893828459135666
agent,h_bugs,similarity,4316,-0.039841009200303125,0.008852800710602177,0.03531048976178171,0.020350674046730778
agent,h_effort,similarity,4316,-0.042175691730746444,0.005584734912182933,0.03457320617763743,0.023125690014999423
agent,cc_total,rouge_l,4316,-0.03567290860881194,0.01909638266363534,0.03400612408210991,0.025478169645835956
agent,sloc,bleu3,4316,-0.07798917109742709,2.898528682207527e-07,-0.03364734648635798,0.027071120912033887
agent,h_difficulty,exact_match,4316,-0.04659484589399457,0.0021994872834331354,-0.03328628981857677,0.028760223045757684
agent,cc_max,exact_match,4316,-0.039287333283415445,0.009843465563246853,-0.03245618018775481,0.03299089513637198
bypass,h_bugs,exact_match,4316,-0.02563997641103899,0.09213533721321555,-0.032257692065675796,0.034077988377118736
agent,cc_count,similarity,4316,-0.02897462786413664,0.056991863299749,0.0320997265119047,0.034964882102384104
agent,cc_total,similarity,4316,-0.03127435758795368,0.03992577090670382,0.031140793010836415,0.04078220503805759
bypass,h_effort,exact_match,4316,-0.02475444456868205,0.103938427182166,-0.027137600633251265,0.07464312731958217
agent,h_difficulty,bleu3,4316,-0.00462832358810578,0.7611452971584787,0.026202810845453253,0.08521021356149878
agent,h_bugs,bleu3,4316,-0.05225607422987947,0.0005939081706395171,0.024598009627738622,0.10614321227597112
bypass,cc_max,exact_match,4316,-0.03901270089308143,0.010370561777354828,-0.024551852457222457,0.10680078383423298
agent,h_effort,bleu3,4316,-0.050184900741658524,0.0009734701429927671,0.023947014929828002,0.11571894934208292
agent,cc_count,bleu3,4316,-0.03987431478108511,0.008796151925639352,0.021110266576158266,0.16555809970031296
agent,cc_total,bleu3,4316,-0.04637449640579191,0.00230839166457716,0.018203675547286552,0.23182682428460147
agent,lloc,similarity,4316,-0.06130818198659521,5.569535299648106e-05,-0.018023874186058157,0.2364706670049119
agent,cc_avg,exact_match,4316,-0.020851052001452094,0.17081540430267392,-0.01657985755939976,0.2761564643409697
agent,lloc,rouge_l,4316,-0.06772946829889834,8.45215425216991e-06,-0.01508078794071993,0.3219195922550481
agent,sloc,similarity,4316,-0.05957628346075362,8.992406044163568e-05,-0.01399924177115708,0.3578463222270861
bypass,h_difficulty,exact_match,4316,-0.021366267582590307,0.16048635447375617,-0.012751914577679248,0.40228650589934034
agent,sloc,rouge_l,4316,-0.0664043543287022,1.2649952577280233e-05,-0.011126534744238728,0.46491187595351025
bypass,cc_avg,exact_match,4316,-0.020402323013636554,0.1802103108308854,-0.00977101620299624,0.5210363583839477
