label,display_name,n_with_label,n_without_label,sloc_with,sloc_without,sloc_diff,sloc_pval,lloc_with,lloc_without,lloc_diff,lloc_pval,cc_total_with,cc_total_without,cc_total_diff,cc_total_pval,cc_avg_with,cc_avg_without,cc_avg_diff,cc_avg_pval,mi_score_with,mi_score_without,mi_score_diff,mi_score_pval
favored simplicity,Favored Simplicity,714,535,590.6764705882352,546.7757009345794,43.90076965365586,0.325865282328744,401.5840336134454,364.9252336448598,36.65879996858558,0.31787830255896177,128.5392156862745,105.15140186915887,23.387813817115628,0.06903357446927579,4.477080574468299,4.233412621815751,0.24366795265254737,0.35805634207612813,40.37187953304484,43.304638805017234,-2.932759271972394,0.07538924991762784
favored complexity,Favored Complexity,515,734,543.4543689320388,591.8106267029973,-48.35625777095845,0.25783436559303496,353.95922330097085,408.27929155313353,-54.320068252162685,0.10270345798780262,106.07766990291262,127.25204359673025,-21.17437369381763,0.07303301476637723,4.339367555007942,4.3960994441589945,-0.05673188915105243,0.8290996474195186,40.79048548500314,42.215808886241994,-1.425323401238856,0.38109391804993054
misprioritization,Misprioritization,26,1223,471.46153846153845,574.0065412919051,-102.54500283036668,0.22820592618723,340.0,386.8569092395748,-46.856909239574804,0.41753371414912,105.92307692307692,118.78904333605887,-12.865966412981948,0.48022174622083325,4.235604327698999,4.375621889061012,-0.14001756136201315,0.7228554710488992,38.758151484217215,41.6891184044878,-2.930966920270585,0.6267351369475727
feature-oriented,Feature-Oriented,71,1178,617.4084507042254,569.1273344651952,48.28111623903021,0.528263829946291,401.32394366197184,384.9507640067912,16.37317965518065,0.7591944159192439,135.90140845070422,117.47368421052632,18.42772424017791,0.3751803297052051,5.775103286270372,4.288182469878265,1.4869208163921073,0.014471527551380614,39.22936632767147,41.772681441437655,-2.543315113766184,0.4847045056416138
fix-oriented,Fix-Oriented,82,1167,515.719512195122,575.8174807197944,-60.09796852467241,0.39697468502505195,347.9390243902439,388.54755784061695,-40.608533450373045,0.39239939416958824,106.02439024390245,119.3993144815767,-13.37492423767425,0.4253409267145031,3.636595714672645,4.424430534908857,-0.787834820236212,0.011746326205583154,41.29005510735271,41.65185880760524,-0.36180370025252984,0.9005742548572745
structural-change-bias,Structural Change Bias,359,890,630.066852367688,548.3977528089888,81.66909955869926,0.12523655105085976,433.73816155988857,366.57752808988766,67.1606334700009,0.1375330168212128,135.03621169916434,111.85955056179775,23.176661137366594,0.14581307244453567,4.457836850719634,4.338368374644319,0.11946847607531463,0.6583811967686382,39.16094254715072,42.62328693578778,-3.4623443886370637,0.051406945723599336
unclear,Unclear,85,1164,682.2705882352941,563.8101374570447,118.46045077824942,0.4466988638854744,505.4823529411765,377.14776632302403,128.33458661815246,0.4004152723423473,147.1529411764706,116.43041237113403,30.722528805336566,0.5593314314457304,3.6697051107793475,4.4240432546611235,-0.754338143881776,0.07887627184873598,48.60942718606485,41.118301062253195,7.491126123811654,0.04104757779171558
vague-commit-message,Vague Commit Message,236,1013,701.6694915254237,541.6327739387957,160.03671758662801,0.009416488701313877,483.3008474576271,363.18558736426456,120.11526009336256,0.007328218087754863,157.21186440677965,109.50740375123395,47.7044606555457,0.005368377203861027,5.064304119699418,4.211584906804274,0.8527192128951446,0.02384936778473533,40.07817954984979,41.98919385341923,-1.9110143035694378,0.37743413991819563
simple-commit-message,Simple Commit Message,319,930,480.7868338557994,603.1150537634409,-122.32821990764148,0.003873087812472507,316.55485893416926,409.66129032258067,-93.10643138841141,0.003221920473299468,96.33542319749216,126.13118279569892,-29.795759598206757,0.007853922178982183,3.872544352077758,4.544268424224717,-0.6717240721469593,0.014647770004364628,42.44353531177993,41.348404282602615,1.0951310291773169,0.5665475716521893
detailed-commit-message,Detailed Commit Message,224,1025,539.6339285714286,578.9170731707317,-39.283144599303114,0.5598813352117366,380.91964285714283,386.96585365853656,-6.046210801393727,0.9225409338445674,120.52232142857143,118.08390243902438,2.4384189895470456,0.9108561137859266,4.233504430940457,4.40312808810842,-0.16962365716796324,0.6517269697387176,45.14701677938974,40.85909462311701,4.287922156272728,0.0457385723927847
refactor-oriented,Refactor-Oriented,23,1226,421.82608695652175,574.6867862969004,-152.8606993403787,0.08132648051413412,299.4347826086956,387.5032626427406,-88.06848003404497,0.16339297292224222,85.34782608695652,119.14355628058728,-33.79573019363076,0.10847008215161813,3.142738013928509,4.395781654585185,-1.2530436406566756,0.052187843458862154,45.31146346088369,41.55900496547954,3.7524584954041487,0.6094737187327215
modification-bias,Modification Bias,274,975,561.1313868613139,574.8902564102564,-13.75886954894247,0.7680291271880445,376.27372262773724,388.58153846153846,-12.307815833801214,0.7231086513475267,114.92335766423358,119.5323076923077,-4.608950028074119,0.7158014813136754,4.363004042821135,4.375434025752616,-0.01242998293148112,0.967459546618509,40.91665487758148,41.82804134443171,-0.9113864668502316,0.6416181787872686
test-oriented,Test-Oriented,17,1232,540.1764705882352,572.3092532467532,-32.132782658517954,0.8631461673840837,295.29411764705884,387.1314935064935,-91.83737585943464,0.27168664455107855,91.17647058823529,118.89853896103897,-27.722068372803676,0.3125062077677757,4.418533215457091,4.372074852418037,0.04645836303905426,0.9748406255210155,46.00217874051127,41.5677489518584,4.434429788652871,0.5943357534907645
