repo_norm,repo,evaluated_row_count,evaluated_instance_count,benchmark_scenario_count,conflict_files_total,conflict_files_median,merge_conflicts_total,merge_conflicts_median,merge_parent_count_median,default_branch,license,stargazers,created_at,topics,programming_language,commits,branches,releases,forks,watchers,contributors,blank_lines,code_lines,comment_lines,last_commit,dominant_difficulty,dominant_project_size,difficulty_easy_scenario_count,difficulty_hard_scenario_count,difficulty_medium_scenario_count,project_size_medium_scenario_count,project_size_small_scenario_count,project_size_large_scenario_count,project_size_huge_scenario_count,active_span_days,active_span_years,repository_age_days,repository_age_years,commits_per_year,code_lines_per_contributor,stars_per_year,metadata_matched
a-r-r-o-w/finetrainers,a-r-r-o-w/finetrainers,64,2,2,8,4.0,33,16.5,2.0,main,Apache License 2.0,1168,2024-09-25T08:05:23Z,ai;art;artificial-intelligence;diffusers;diffusion;diffusion-models;pytorch;transformers,python,230,9,3,127,26,22,5273,26285,2646,2025-06-04T06:27:56Z,easy,medium,1,1,0,2,0,0,0,251,0.6872005475701575,309,0.8459958932238193,334.6912350597609,1194.7727272727273,1380.621359223301,True
abhinavsingh/proxy.py,abhinavsingh/proxy.py,8,1,1,1,1.0,1,1.0,2.0,develop,BSD 3-Clause New or Revised License,3385,2013-08-19T09:33:51Z,dns-over-https;gfw;http-proxy;http-server;https-proxy;man-in-the-middle;mitm;mitmproxy;ngrok;ngrok-alternative;ngrok-replacement;proxy;proxy-server;python3;reverse-proxy;tls-interception;tunnel;vpn;web-server;webserver,python,946,16,34,617,54,21,4203,31383,5500,2025-03-23T11:24:43Z,easy,medium,1,0,0,1,0,0,0,4234,11.592060232717317,4364,11.94798083504449,81.60758148323099,1494.4285714285713,283.3114688359303,True
abi/screenshot-to-code,abi/screenshot-to-code,24,2,2,3,1.5,4,2.0,2.0,main,MIT License,70466,2023-11-14T05:53:32Z,,python,899,22,0,8705,416,24,2043,10697,2600,2025-07-27T08:51:09Z,hard,medium,0,1,1,2,0,0,0,621,1.700205338809035,625,1.7111567419575633,528.7596618357487,445.7083333333333,41180.3304,True
activeloopai/deeplake,activeloopai/deeplake,16,2,2,2,1.0,3,1.5,2.0,main,Apache License 2.0,8750,2019-08-09T06:17:59Z,ai;computer-vision;cv;data-science;datalake;datasets;deep-learning;image-processing;langchain;large-language-models;llm;machine-learning;ml;mlops;multi-modal;python;pytorch;tensorflow;vector-database;vector-search,python,9222,254,247,671,95,105,3214,9410,5245,2025-07-08T11:01:08Z,easy,small,1,0,1,0,2,0,0,2160,5.9137577002053385,2183,5.976728268309377,1559.4145833333334,89.61904761904762,1464.0116811726982,True
aeon-toolkit/aeon,aeon-toolkit/aeon,168,13,13,21,2.0,65,3.0,2.0,main,BSD 3-Clause New or Revised License,1208,2022-12-20T12:44:09Z,data-mining;data-science;machine-learning;scikit-learn;time-series;time-series-analysis;time-series-anomaly-detection;time-series-classification;time-series-clustering;time-series-regression;time-series-segmentation,python,4958,51,19,208,21,301,25918,170970,69525,2025-07-31T07:41:33Z,hard,large,3,7,3,0,0,13,0,953,2.6091718001368926,954,2.6119096509240247,1900.219832109129,568.0066445182724,462.4968553459119,True
Agenta-AI/agenta,Agenta-AI/agenta,80,8,8,10,1.0,10,1.0,2.0,main,MIT License,3027,2023-04-26T09:54:28Z,llm-as-a-judge;llm-evaluation;llm-framework;llm-monitoring;llm-observability;llm-platform;llm-playground;llm-tools;llmops-platform;prompt-engineering;prompt-management;rag-evaluation,python,12162,267,198,352,27,65,40463,372987,32315,2025-07-30T10:25:42Z,easy,large,6,2,0,0,0,8,0,826,2.2614647501711156,827,2.2642026009582477,5377.930387409201,5738.261538461538,1336.8944981862153,True
AgentOps-AI/AgentStack,AgentOps-AI/AgentStack,152,9,9,19,2.0,32,3.0,2.0,main,MIT License,1885,2024-09-18T09:40:53Z,,python,987,76,42,177,17,27,4089,15754,2707,2025-07-11T09:39:44Z,hard,medium,4,5,0,9,0,0,0,295,0.8076659822039699,316,0.865160848733744,1222.0398305084746,583.4814814814815,2178.7856012658226,True
agronholm/anyio,agronholm/anyio,8,1,1,1,1.0,1,1.0,2.0,master,MIT License,2149,2018-08-19T09:07:18Z,async-await;asyncio;curio;trio,python,1158,17,14,160,25,62,5865,19817,3106,2025-07-28T07:58:47Z,easy,medium,1,0,0,1,0,0,0,2534,6.937713894592744,2538,6.9486652977412735,166.913772691397,319.6290322580645,309.26802600472814,True
ai-christianson/RA.Aid,ai-christianson/RA.Aid,160,6,6,20,3.0,55,10.0,2.0,master,Apache License 2.0,2060,2024-12-10T11:55:34Z,agents;ai;software-engineering,python,1332,29,57,195,26,22,10891,81975,11717,2025-06-16T05:20:17Z,hard,medium,0,3,3,6,0,0,0,187,0.5119780971937029,233,0.6379192334017796,2601.673796791444,3726.1363636363635,3229.248927038627,True
aio-libs/yarl,aio-libs/yarl,8,1,1,1,1.0,1,1.0,2.0,master,Apache License 2.0,1433,2016-08-02T12:56:42Z,aiohttp;hacktoberfest;url-parsing;urls,python,1827,8,96,173,26,92,4197,11103,1905,2025-07-30T11:56:00Z,easy,medium,1,0,0,1,0,0,0,3283,8.988364134154688,3284,8.991101984941821,203.26279317697228,120.68478260869566,159.37979598051157,True
airweave-ai/airweave,airweave-ai/airweave,144,8,8,18,2.0,27,2.5,2.0,main,MIT License,2820,2024-12-24T10:00:06Z,agents;knowledge-graph;llm;llm-agent;rag;search;search-agent;vector-database,python,1318,79,133,360,18,16,16165,95675,16216,2025-07-31T08:30:01Z,hard,medium,2,6,0,8,0,0,0,218,0.5968514715947981,219,0.5995893223819302,2208.2545871559632,5979.6875,4703.219178082191,True
al-one/hass-xiaomi-miot,al-one/hass-xiaomi-miot,64,7,7,8,1.0,9,1.0,2.0,master,Apache License 2.0,5364,2020-12-03T12:13:13Z,custom-component;home-assistant;homeassistant;iot;miio;miot;miot-spec;smart-home;xiaoai;xiaomi;xiaomi-miot,python,2397,6,129,769,35,114,2246,30780,448,2025-07-27T09:02:32Z,easy,medium,5,1,1,7,0,0,0,1696,4.643394934976044,1701,4.657084188911704,516.2171285377358,270.0,1151.7936507936508,True
alibaba/easyrec,alibaba/easyrec,8,1,1,1,1.0,1,1.0,2.0,master,Apache License 2.0,2047,2020-12-08T01:55:35Z,autoint;automl;capsule-network;ctr-prediction;deepfm;deepmatching;din;dlrm;dssm;eges;esmm;mind;multi-task-learning;online-learning;pdn;recommendation-algorithms;recommender-system;transformers-models;wide-and-deep,python,353,174,17,357,51,21,16533,78405,15381,2025-06-16T02:51:59Z,easy,medium,1,0,0,1,0,0,0,1651,4.520191649555099,1696,4.643394934976044,78.09403391883707,3733.5714285714284,440.8412441037736,True
allegro/ralph,allegro/ralph,56,3,3,7,2.0,7,2.0,2.0,ng,Apache License 2.0,2360,2012-05-17T02:04:57Z,assets-management;backoffice;cmdb;data-center;dcim;django;hacktoberfest;inventory;inventory-management;python3,python,3249,6,111,575,116,51,16225,93562,9611,2025-07-21T10:16:37Z,hard,medium,0,3,0,3,0,0,0,4813,13.177275838466803,4823,13.204654346338124,246.5608248493663,1834.549019607843,178.72486004561478,True
allenai/olmocr,allenai/olmocr,32,4,4,4,1.0,16,3.0,2.0,main,Apache License 2.0,13413,2024-09-17T02:53:40Z,,python,1377,51,14,987,73,11,8101,27638,9648,2025-07-30T09:48:20Z,medium,medium,0,0,4,4,0,0,0,316,0.865160848733744,317,0.8678986995208761,1591.6115506329115,2512.5454545454545,15454.568611987383,True
allenai/open-instruct,allenai/open-instruct,672,52,52,84,1.0,278,1.0,2.0,main,Apache License 2.0,3083,2023-06-09T04:50:38Z,,python,827,540,0,426,28,34,11128,64735,17119,2025-07-30T09:36:41Z,easy,medium,27,15,10,52,0,0,0,782,2.1409993155373033,783,2.1437371663244353,386.26822250639384,1903.9705882352941,1438.1427203065134,True
analogj/lexicon,analogj/lexicon,16,2,2,2,1.0,3,1.5,2.0,master,MIT License,1501,2016-02-02T07:53:04Z,cli;clouddns;cloudflare;cloudxns;constellix;digitalocean;dns;dns-provider;dns-service;dnsimple;dnspod;gandi;godaddy;letsencrypt;lexicon;pypi;ssl-certificate;transip;vultr;yandex,python,2049,53,215,306,30,166,5764,21002,4172,2024-12-13T08:58:53Z,easy,medium,1,0,1,2,0,0,0,3237,8.862422997946611,3467,9.492128678986996,231.20088044485638,126.51807228915662,158.13102105566773,True
andrewyng/aisuite,andrewyng/aisuite,8,1,1,1,1.0,2,2.0,2.0,main,MIT License,12332,2024-06-30T08:07:46Z,,python,220,14,2,1231,158,31,1867,9518,2707,2025-07-30T11:48:11Z,medium,small,0,0,1,0,1,0,0,395,1.08145106091718,396,1.0841889117043122,203.43037974683546,307.03225806451616,11374.401515151514,True
AnswerDotAI/ModernBERT,AnswerDotAI/ModernBERT,32,2,2,4,2.0,5,2.5,2.0,main,Apache License 2.0,1424,2024-05-13T03:52:19Z,bert;embeddings;llm;nlp,python,235,31,0,116,27,14,3292,16678,6819,2025-02-20T07:24:52Z,easy,medium,1,1,0,2,0,0,0,283,0.7748117727583846,444,1.215605749486653,303.2994699646643,1191.2857142857142,1171.4324324324325,True
antgroup/agentUniverse,antgroup/agentUniverse,104,7,7,13,2.0,31,2.0,2.0,master,Apache License 2.0,1240,2024-04-23T11:28:18Z,agent;ai;ai-agents;autonomous;awesome;awesome-list;llm;multi-agent;python,python,1058,66,13,165,15,20,9308,38743,9873,2025-03-10T08:53:36Z,hard,medium,2,4,1,7,0,0,0,320,0.8761122518822724,464,1.270362765229295,1207.6078125000001,1937.15,976.0991379310344,True
AntonOsika/gpt-engineer,AntonOsika/gpt-engineer,8,1,1,1,1.0,2,2.0,2.0,main,MIT License,54136,2023-04-29T12:52:15Z,ai;autonomous-agent;code-generation;codebase-generation;codegen;coding-assistant;gpt-4;gpt-engineer;openai;python,python,1648,49,20,7117,528,101,2543,6333,4578,2024-11-17T10:42:12Z,medium,small,0,0,1,0,1,0,0,567,1.5523613963039014,824,2.2559890485968515,1061.6084656084656,62.7029702970297,23996.570388349515,True
anyoptimization/pymoo,anyoptimization/pymoo,8,1,1,1,1.0,2,2.0,2.0,main,Apache License 2.0,2593,2017-09-19T09:52:39Z,cmaes;differential-evolution;genetic-algorithm;multi-objective-optimization;nsga2;nsga3;optimization;pso,python,1048,10,14,434,31,61,16267,42787,24025,2025-07-25T03:21:45Z,medium,medium,0,0,1,1,0,0,0,2865,7.84394250513347,2872,7.863107460643395,133.6062827225131,701.4262295081967,329.7678447075209,True
apify/crawlee-python,apify/crawlee-python,40,2,2,5,2.5,6,3.0,2.0,master,Apache License 2.0,6114,2024-01-10T08:44:47Z,apify;automation;beautifulsoup;crawler;crawling;hacktoberfest;headless;headless-chrome;pip;playwright;python;scraper;scraping;web-crawler;web-crawling;web-scraping,python,1021,25,44,421,37,30,11558,35287,6852,2025-07-30T06:58:01Z,easy,medium,1,1,0,2,0,0,0,566,1.5496235455167693,568,1.5550992470910336,658.8696996466431,1176.2333333333333,3931.581866197183,True
assafelovic/gpt-researcher,assafelovic/gpt-researcher,16,2,2,2,1.0,2,1.0,2.0,master,Apache License 2.0,22405,2023-05-12T10:33:54Z,agent;ai;automation;deepresearch;llms;mcp;mcp-server;python;research;search;webscraping,python,2703,51,56,2945,163,170,23267,173254,3800,2025-07-19T07:19:06Z,easy,large,2,0,0,0,0,2,0,798,2.184804928131417,811,2.220396988364134,1237.1813909774437,1019.1411764705882,10090.537916152898,True
astronomer/astronomer-cosmos,astronomer/astronomer-cosmos,16,2,2,2,1.0,5,2.5,2.0,main,Apache License 2.0,1002,2022-12-13T01:08:12Z,airflow;airflow-operators;apache-airflow;dbt;python;workflow,python,1142,46,133,236,12,126,8893,102612,6166,2025-07-29T11:29:16Z,easy,large,1,0,1,0,0,2,0,959,2.625598904859685,961,2.631074606433949,434.94838373305527,814.3809523809524,380.8329864724246,True
aurelio-labs/semantic-router,aurelio-labs/semantic-router,8,1,1,1,1.0,1,1.0,2.0,main,MIT License,2700,2023-10-30T12:12:45Z,ai;artificial-intelligence;chatbot;computer-vision;generative-ai;machine-learning;nlp,python,2232,50,89,257,30,45,6049,24946,35067,2025-07-30T03:27:05Z,easy,medium,1,0,0,1,0,0,0,638,1.7467488021902806,640,1.7522245037645447,1277.8025078369906,554.3555555555556,1540.8984375,True
avaiga/taipy,avaiga/taipy,8,1,1,1,1.0,3,3.0,2.0,develop,Apache License 2.0,18420,2022-02-18T03:55:45Z,automation;data-engineering;data-integration;data-ops;data-visualization;datascience;developer-tools;hacktoberfest;hacktoberfest2023;job-scheduler;mlops;orchestration;pipeline;pipelines;python;scenario;scenario-analysis;taipy-core;taipy-gui;workflow,python,7520,29,170,1903,80,72,21717,157403,27239,2025-07-30T12:24:16Z,medium,large,0,0,1,0,0,1,0,1258,3.4442162902121836,1259,3.4469541409993156,2183.3704292527823,2186.152777777778,5343.848292295473,True
basetenlabs/truss,basetenlabs/truss,16,2,2,2,1.0,4,2.0,2.0,main,MIT License,1035,2022-07-06T05:39:37Z,artificial-intelligence;easy-to-use;falcon;inference-api;inference-server;machine-learning;model-serving;open-source;packaging;stable-diffusion;whisper;wizardlm,python,2130,294,424,88,19,47,11238,51927,6571,2025-07-31T08:54:29Z,medium,medium,0,0,2,2,0,0,0,1121,3.0691307323750854,1121,3.0691307323750854,694.0075825156111,1104.8297872340424,337.2290365744871,True
beir-cellar/beir,beir-cellar/beir,16,1,1,2,2.0,15,15.0,2.0,main,Apache License 2.0,1824,2021-01-18T09:55:54Z,benchmark;bert;colbert;dataset;deep-learning;dpr;elasticsearch;information-retrieval;llm;nlp;passage-retrieval;pytorch;question-generation;rag;retrieval;retrieval-models;sbert;sentence-transformers;zero-shot-retrieval,python,489,6,9,209,20,14,2124,7398,1648,2025-06-04T05:45:05Z,hard,small,0,1,0,0,1,0,0,1597,4.372347707049966,1655,4.531143052703627,111.83922980588603,528.4285714285714,402.5474320241692,True
benedekrozemberczki/pytorch_geometric_temporal,benedekrozemberczki/pytorch_geometric_temporal,8,1,1,1,1.0,1,1.0,2.0,master,MIT License,2851,2020-06-27T01:11:33Z,deep-learning;gcn;gnn;graph-convolution;graph-convolutional-networks;graph-embedding;graph-neural-networks;network-embedding;network-science;node-embedding;pytorch;spatial-analysis;spatial-data;spatio-temporal-analysis;spatio-temporal-data;spatiotemporal;temporal-data;temporal-graphs;temporal-networks,python,2051,11,44,398,37,36,3203,12318,5016,2025-07-30T02:46:12Z,easy,medium,1,0,0,1,0,0,0,1859,5.089664613278576,1860,5.092402464065708,402.9735072619688,342.1666666666667,559.853629032258,True
bespokelabsai/curator,bespokelabsai/curator,24,3,3,3,1.0,4,1.0,2.0,main,Apache License 2.0,1465,2024-10-28T01:11:41Z,agents;deep-learning;fine-tuning;instruction-tuning;llm;machine-learning;natural-language-processing;prompt;python;synthetic-data;synthetic-dataset-generation,python,1585,17,25,117,10,20,5519,66187,5150,2025-07-10T01:56:43Z,easy,medium,2,0,1,3,0,0,0,255,0.6981519507186859,276,0.75564681724846,2270.279411764706,3309.35,1938.7364130434783,True
bigscience-workshop/petals,bigscience-workshop/petals,32,2,2,4,2.0,9,4.5,2.0,main,MIT License,9056,2022-06-12T12:10:27Z,bloom;chatbot;deep-learning;distributed-systems;falcon;gpt;guanaco;language-models;large-language-models;llama;machine-learning;mixtral;neural-networks;nlp;pipeline-parallelism;pretrained-models;pytorch;tensor-parallelism;transformer;volunteer-computing,python,522,137,11,505,90,17,1936,8387,1143,2024-08-25T08:12:19Z,hard,small,0,2,0,0,2,0,0,804,2.2012320328542097,1145,3.134839151266256,237.1399253731343,493.3529411764706,2888.824454148472,True
bitsandbytes-foundation/bitsandbytes,bitsandbytes-foundation/bitsandbytes,32,2,2,4,2.0,8,4.0,2.0,main,MIT License,7416,2021-06-04T12:10:34Z,llm;machine-learning;pytorch;qlora;quantization,python,964,67,26,766,49,97,4782,21821,3419,2025-07-21T08:19:20Z,easy,medium,1,1,0,2,0,0,0,1507,4.125941136208077,1518,4.15605749486653,233.64366290643662,224.95876288659792,1784.3833992094862,True
