label,display_name,n_with_label,n_without_label,agent_exact_match_with,bypass_exact_match_with,delta_exact_match_with,delta_exact_match_ci_low,delta_exact_match_ci_high,bypass_win_rate_exact_match_with,delta_exact_match_without,bypass_win_rate_exact_match_without,agent_similarity_with,bypass_similarity_with,delta_similarity_with,delta_similarity_ci_low,delta_similarity_ci_high,bypass_win_rate_similarity_with,delta_similarity_without,bypass_win_rate_similarity_without,agent_bleu3_with,bypass_bleu3_with,delta_bleu3_with,delta_bleu3_ci_low,delta_bleu3_ci_high,bypass_win_rate_bleu3_with,delta_bleu3_without,bypass_win_rate_bleu3_without,agent_rouge_l_with,bypass_rouge_l_with,delta_rouge_l_with,delta_rouge_l_ci_low,delta_rouge_l_ci_high,bypass_win_rate_rouge_l_with,delta_rouge_l_without,bypass_win_rate_rouge_l_without
favored simplicity,Favored Simplicity,46,66,0.0,0.32608695652173914,0.32608695652173914,0.1956521739130435,0.4782608695652174,32.608695652173914,0.4393939393939394,43.93939393939394,0.5430651471224387,0.8896548457882446,0.34658969866580586,0.2481023570054566,0.45209311069390185,84.78260869565217,0.24059639270102995,86.36363636363636,0.4872022591917258,0.8999735437268866,0.412771284535161,0.2993265356151499,0.5363437506490567,82.6086956521739,0.2706751912213278,83.33333333333333,0.6382959698652838,0.9169343679945609,0.2786383981292771,0.19201691214676497,0.37132636075703873,86.95652173913044,0.18311986609365166,81.81818181818181
favored complexity,Favored Complexity,64,48,0.0,0.296875,0.296875,0.1875,0.421875,29.6875,0.5208333333333334,52.083333333333336,0.5846315990108084,0.8633136078121304,0.278682008801322,0.17687114459256942,0.3786320835082858,81.25,0.2913924894502175,91.66666666666667,0.5557299771282249,0.8656193502961328,0.3098893731679079,0.1907588516245637,0.4278394724467581,78.125,0.3545650380516445,89.58333333333333,0.6807238844347498,0.8913300286442107,0.21060614420946094,0.11630789649761618,0.301707875497247,82.8125,0.23801008847338032,85.41666666666667
feature-oriented,Feature-Oriented,12,100,0.0,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.5833333333333334,33.333333333333336,0.4,40.0,0.568520852771347,0.9205149511840661,0.3519940984127192,0.15860366016099994,0.5481242263563293,83.33333333333333,0.27598558875942414,86.0,0.5133168164750886,0.9134918186579369,0.40017500218284835,0.16801359770794694,0.6310694322972183,83.33333333333333,0.3204994168303085,83.0,0.6722072691937292,0.9461939624961616,0.27398669330243247,0.10734938644323976,0.46059018065536056,91.66666666666667,0.21615437156498565,83.0
fix-oriented,Fix-Oriented,13,99,0.0,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.6173076923076819,38.46153846153846,0.3939393939393939,39.39393939393939,0.5377957907340966,0.8718546513548074,0.33405886062071083,0.1495367483659198,0.5275820528752357,84.61538461538461,0.2775729582709678,85.85858585858585,0.5069878717476055,0.8958847817518538,0.38889691000424825,0.17725903848301997,0.6055280866670927,92.3076923076923,0.32117557453706874,81.81818181818181,0.6469143967830764,0.8981789357800984,0.2512645389970221,0.08649860182869233,0.4385651248589986,84.61538461538461,0.21855392393097445,83.83838383838383
structural-change-bias,Structural Change Bias,44,68,0.0,0.4090909090909091,0.4090909090909091,0.25,0.5454545454545454,40.90909090909091,0.38235294117647056,38.23529411764706,0.5360154734785031,0.86319548261554,0.3271800091370369,0.19547364145245283,0.4455889761920353,86.36363636363636,0.2562730537480209,85.29411764705883,0.48413910608037747,0.8702239992866634,0.3860848932062861,0.23727843538152968,0.5227408527924003,88.63636363636364,0.2921221530610066,79.41176470588235,0.6398715704926948,0.8835849276216853,0.24371335712899048,0.12115457948486366,0.3569591028333465,86.36363636363636,0.20852779062429663,82.3529411764706
unclear,Unclear,18,94,0.0,0.2777777777777778,0.2777777777777778,0.05555555555555555,0.5,27.77777777777778,0.4148936170212766,41.48936170212766,0.7661000337530596,0.9603333586284108,0.19423332487535117,0.08238681906273375,0.32248031220919837,88.88888888888889,0.3013434915865822,85.1063829787234,0.7597573855090609,0.9562627684717305,0.19650538296266964,0.080213864873266,0.33902143683536773,77.77777777777777,0.3544143065520956,84.04255319148936,0.8404887551963234,0.97527180212539,0.13478304692906679,0.05008878881973476,0.23378245915628473,77.77777777777777,0.23911896416387818,85.1063829787234
vague-commit-message,Vague Commit Message,13,99,0.0,0.46153846153846156,0.46153846153846156,0.23076923076923078,0.6923076923076923,46.15384615384615,0.3838383838383838,38.38383838383838,0.5280555933708604,0.8179420765600386,0.28988648318917803,0.06010264969668186,0.5387138238113712,76.92307692307692,0.2833733714690478,86.86868686868686,0.48280879261282894,0.7991399033655622,0.31633111075273335,0.043781172150790346,0.6004479444412011,76.92307692307692,0.33070441686302526,83.83838383838383,0.6081294000215476,0.846088217853828,0.23795881783228062,0.032077303136812924,0.46291222429473056,76.92307692307692,0.22030113984149605,84.84848484848484
simple-commit-message,Simple Commit Message,26,86,0.0,0.46153846153846156,0.46153846153846156,0.2692307692307692,0.6538461538461539,46.15384615384615,0.37209302325581395,37.2093023255814,0.5786250446009904,0.9403405527213907,0.36171550812040043,0.2045785902412272,0.504795390136148,88.46153846153847,0.2606730796019143,84.88372093023256,0.5440835700344325,0.9388441285991432,0.3947605585647107,0.20455667367754152,0.5641465961072913,80.76923076923077,0.3091658975179367,83.72093023255815,0.65822718981223,0.9587477925980097,0.3005206027857796,0.16680540320328618,0.43021146598773513,88.46153846153847,0.1987179279499708,82.55813953488372
detailed-commit-message,Detailed Commit Message,41,71,0.0,0.34146341463414637,0.34146341463414637,0.1951219512195122,0.4878048780487805,34.146341463414636,0.4225352112676056,42.25352112676056,0.64242558492684,0.8967877626474906,0.2543621777206505,0.12414860923818356,0.38132319677474436,87.8048780487805,0.30131885592039964,84.50704225352112,0.5932711411988508,0.8941130843646944,0.3008419431658437,0.15383884808320514,0.4486087144123188,87.8048780487805,0.3453172118228936,80.28169014084507,0.7151646742846421,0.9095746960836302,0.1944100217989881,0.06895112429454087,0.3173335936989983,85.36585365853658,0.23848544482210204,83.09859154929578
modification-bias,Modification Bias,21,91,0.0,0.2857142857142857,0.2857142857142857,0.09523809523809523,0.47738095238094586,28.571428571428573,0.4175824175824176,41.75824175824176,0.5941476628087181,0.9176014536538737,0.32345379084515563,0.1759371895089804,0.4792145931333817,80.95238095238095,0.27505448845216246,86.81318681318682,0.535086696976625,0.9305711551524056,0.39548445817578054,0.2330052792646002,0.5707463566905969,85.71428571428571,0.31370184711575433,82.41758241758242,0.6783471172365244,0.9494676907875846,0.2711205735510601,0.14278068984131295,0.4146825089903729,85.71428571428571,0.211096103643467,83.51648351648352
