label,display_name,n_bypass_wins,n_agent_wins,n_ties,count_in_bypass_wins,count_in_agent_wins,count_in_ties,pct_in_bypass_wins,pct_in_agent_wins,pct_in_ties,pct_diff_vs_agent,pct_diff_vs_tie,odds_ratio_vs_agent,odds_ratio_vs_tie,chi2_pval_vs_agent,chi2_pval_vs_tie
favored complexity,Favored Complexity,44,0,68,19,0,45,43.18181818181818,0,66.17647058823529,43.18181818181818,-22.99465240641711,,0.3884444444444444,,0.027373622622600815
favored simplicity,Favored Simplicity,44,0,68,15,0,31,34.090909090909086,0,45.588235294117645,34.090909090909086,-11.497326203208559,,0.6173526140155728,,0.3118842154549343
modification-bias,Modification Bias,44,0,68,6,0,15,13.636363636363635,0,22.058823529411764,13.636363636363635,-8.42245989304813,,0.5578947368421052,,0.3856851109590351
detailed-commit-message,Detailed Commit Message,44,0,68,14,0,27,31.818181818181817,0,39.705882352941174,31.818181818181817,-7.887700534759357,,0.7086419753086419,,0.5186192284155065
unclear,Unclear,44,0,68,5,0,13,11.363636363636363,0,19.11764705882353,11.363636363636363,-7.754010695187166,,0.5424063116370809,,0.40776727427227366
simple-commit-message,Simple Commit Message,44,0,68,12,0,14,27.27272727272727,0,20.588235294117645,27.27272727272727,6.684491978609625,,1.4464285714285714,,0.5557343323445578
vague-commit-message,Vague Commit Message,44,0,68,6,0,7,13.636363636363635,0,10.294117647058822,13.636363636363635,3.3422459893048124,,1.3759398496240602,,0.8124266554680566
structural-change-bias,Structural Change Bias,44,0,68,18,0,26,40.909090909090914,0,38.23529411764706,40.909090909090914,2.6737967914438556,,1.1183431952662721,,0.9323485108912929
feature-oriented,Feature-Oriented,44,0,68,4,0,8,9.090909090909092,0,11.76470588235294,9.090909090909092,-2.6737967914438485,,0.75,,0.8933674259644091
refactor-oriented,Refactor-Oriented,44,0,68,1,0,2,2.272727272727273,0,2.941176470588235,2.272727272727273,-0.6684491978609621,,0.7674418604651163,,1.0
fix-oriented,Fix-Oriented,44,0,68,5,0,8,11.363636363636363,0,11.76470588235294,11.363636363636363,-0.4010695187165769,,0.9615384615384616,,1.0
misprioritization,Misprioritization,44,0,68,0,0,0,0.0,0,0.0,0.0,0.0,,,,
lost information (compression),Lost Information,44,0,68,0,0,0,0.0,0,0.0,0.0,0.0,,,,
accurate,Accurate,44,0,68,0,0,0,0.0,0,0.0,0.0,0.0,,,,
test-oriented,Test-Oriented,44,0,68,0,0,0,0.0,0,0.0,0.0,0.0,,,,
