method,count,min,q1,median,q3,max,mean,std
agent,8215,0.0,0.9473684210526316,0.9882163899303694,0.9990102276476412,1.0,0.9311546182860735,0.15694209198800527
bypass7,8172,0.0,0.8796198939149602,0.9666250505735676,0.9932395395578292,1.0,0.8831052914530944,0.2065956360486068
