method,count,min,q1,median,q3,max,mean
base_a,50,1.594,4.380000000000001,11.6385,45.817,1368.081,57.433719999999994
base_b,50,1.811,2.66825,4.616,12.60375,1319.879,37.5402
agent,50,2.231,16.965,32.7595,77.05125000000001,331.527,57.955659999999995
multi,50,10.252,45.80525,59.644,113.96,704.708,108.51397999999999
bypass,50,4.695,16.8955,42.08,91.79675,326.228,67.67436
bypass2,50,5.453,19.2655,48.954499999999996,106.79050000000001,599.527,89.16502
bypass3,50,5.803,11.881499999999999,17.4235,26.488500000000002,1347.73,51.24326
bypass4,50,5.371,13.813500000000001,38.045500000000004,81.72874999999999,732.526,74.8199
bypass_only,50,6.414,16.235,24.57,51.7215,1392.005,62.95978
