,agent,base_a,base_b,bypass,multi
agent,0.0,20.0,31.0,49.0,69.0
base_a,80.0,0.0,62.0,78.0,82.0
base_b,69.0,38.0,0.0,60.0,80.0
bypass,51.0,22.0,40.0,0.0,61.0
multi,31.0,18.0,20.0,39.0,0.0
