,agent,base_a,base_b,bypass,multi,prep
agent,100.0,0.0,0.0,76.0,100.0,0.0
base_a,100.0,100.0,50.0,100.0,100.0,50.0
base_b,100.0,50.0,100.0,100.0,100.0,50.0
bypass,24.0,0.0,0.0,100.0,58.0,0.0
multi,0.0,0.0,0.0,42.0,100.0,0.0
prep,100.0,50.0,50.0,100.0,100.0,100.0
