method,count,min,q1,median,q3,max,mean
base_a,50,0.0,0.0,0.0,0.0,0.0,0.0
base_b,50,0.0,0.0,0.0,0.0,0.0,0.0
agent,50,396.0,4923.25,8216.5,15699.25,128324.0,14639.22
multi,50,3982.0,16687.25,26006.0,50121.75,608295.0,51365.22
bypass,50,2505.0,12542.5,22705.0,46560.75,573736.0,45526.02
bypass2,50,2452.0,18834.5,28214.5,50319.5,723697.0,54188.92
bypass3,50,2517.0,10057.0,14049.5,24353.5,230081.0,23030.58
bypass4,50,2421.0,10797.5,20677.5,37706.75,619085.0,42137.22
bypass5,50,2507.0,10126.0,13164.5,23590.0,232207.0,23153.22
bypass6,50,2550.0,11182.25,16252.5,38255.25,712078.0,40698.62
bypass7,50,2041.0,9696.0,14364.0,23037.5,230983.0,22570.22
bypass8,50,2076.0,12241.25,16662.0,49128.5,680566.0,46596.2
bypass_only,50,2378.0,9389.0,13610.0,21987.5,232602.0,22347.78
bypass_only2,50,2507.0,9355.75,12835.5,23210.0,231693.0,22738.38
