method,count,min,q1,median,q3,max,mean
base_a,50,0.0,0.0,0.0,0.0,0.0,0.0
base_b,50,0.0,0.0,0.0,0.0,0.0,0.0
agent,50,28.0,1558.0,3177.5,6464.25,16143.0,5096.66
multi,50,720.0,4163.0,6194.5,12980.25,50731.0,11229.14
bypass,50,221.0,759.25,3847.5,9770.75,41345.0,6778.0
bypass2,50,225.0,780.25,4464.5,11528.5,51260.0,8400.8
bypass3,50,224.0,568.25,976.0,1351.0,6920.0,1280.38
bypass4,50,225.0,771.25,2437.0,7771.75,51541.0,6058.56
bypass5,50,231.0,635.75,1177.0,1481.0,8657.0,1383.6
bypass6,50,224.0,502.75,896.5,1567.0,39384.0,3095.86
bypass7,50,232.0,734.25,1186.5,1597.25,5300.0,1311.7
bypass8,50,231.0,770.25,1118.0,2490.5,48065.0,4995.78
bypass_only,50,221.0,615.25,1029.5,1449.0,3388.0,1112.98
bypass_only2,50,228.0,595.25,888.5,1380.0,3910.0,1113.82
